rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.699000000,\frac{\sqrt{\mathrm{GSynFlow}}}{\frac{\mathrm{plain}}{\mathrm{Fisher}} - \left(\mathrm{MParams}\right)^2},GSynFlow Sqrt plain Fisher Div MParams Square Sub Div <EOS>,(sqrt(GSynFlow) / ((plain / Fisher) - square(MParams))),0.699000000,0.425000000,42,9,4,2186,run_monash_time_unique1000,1,1,Monash__bitcoin_dataset_without_missing_values/seed_2186/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.999099099,0.695600000,\frac{\sqrt{\mathrm{GSynFlow}}}{\sqrt{\frac{\mathrm{plain}}{\mathrm{Fisher}}} - \mathrm{MParams}},GSynFlow Sqrt plain Fisher Div Sqrt MParams Sub Div <EOS>,(sqrt(GSynFlow) / (sqrt((plain / Fisher)) - MParams)),0.695600000,0.416100000,64,9,5,2186,run_monash_time_unique1000,2,1,Monash__bitcoin_dataset_without_missing_values/seed_2186/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.998198198,0.695000000,\frac{\mathrm{JacobFro}}{\log\left(\frac{\frac{\mathrm{plain}}{\mathrm{Fisher}}}{\left(\mathrm{MParams}\right)^2}\right)},Jacob_fro plain Fisher Div MParams Square Div Log Div <EOS>,(Jacob_fro / log(((plain / Fisher) / square(MParams)))),0.695000000,0.430000000,200,9,5,2186,run_monash_time_unique1000,3,1,Monash__bitcoin_dataset_without_missing_values/seed_2186/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.997297297,0.692800000,\frac{\mathrm{MParams}}{\sqrt{\frac{\mathrm{plain}}{\mathrm{Fisher}}} - \mathrm{MParams}},MParams plain Fisher Div Sqrt MParams Sub Div <EOS>,(MParams / (sqrt((plain / Fisher)) - MParams)),0.692800000,0.382900000,14,8,5,2186,run_monash_time_unique1000,4,1,Monash__bitcoin_dataset_without_missing_values/seed_2186/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.996396396,0.682000000,\frac{-\mathrm{MParams}}{\left(\mathrm{MParams}\right)^2 - \frac{\mathrm{plain}}{\mathrm{Fisher}}},MParams Negative MParams Square plain Fisher Div Sub Div <EOS>,(-(MParams) / (square(MParams) - (plain / Fisher))),0.682000000,0.399900000,125,9,4,2191,run_monash_time_unique1000,1,1,Monash__bitcoin_dataset_without_missing_values/seed_2191/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.995495495,0.682000000,\frac{\mathrm{MParams}}{\frac{\mathrm{plain}}{\mathrm{Fisher}} - \left(\mathrm{MParams}\right)^2},MParams plain Fisher Div MParams Square Sub Div <EOS>,(MParams / ((plain / Fisher) - square(MParams))),0.682000000,0.399900000,39,8,4,2186,run_monash_time_unique1000,5,1,Monash__bitcoin_dataset_without_missing_values/seed_2186/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.994594595,0.679100000,\frac{\mathrm{GSynFlow}}{\sqrt{\frac{\mathrm{plain}}{\mathrm{Fisher}}} - \mathrm{MParams}},GSynFlow plain Fisher Div Sqrt MParams Sub Div <EOS>,(GSynFlow / (sqrt((plain / Fisher)) - MParams)),0.679100000,0.409900000,77,8,5,2117,run_monash_time_unique1000,1,1,Monash__bitcoin_dataset_without_missing_values/seed_2117/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.993693694,0.676600000,\left(\mathrm{Snip}\right) \cdot \left(\sqrt{\frac{\mathrm{GradNorm}}{\mathrm{Fisher}}} - \left(\mathrm{MParams}\right)^2\right),Snip Grad_Norm Fisher Div Sqrt MParams Square Sub Mul <EOS>,(Snip * (sqrt((Grad_Norm / Fisher)) - square(MParams))),0.676600000,0.610100000,60,9,5,2124,run_monash_time_unique1000,1,3,Monash__bitcoin_dataset_without_missing_values/seed_2124/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.992792793,0.672700000,\frac{\mathrm{Snip}}{\sqrt{\log\left(\mathrm{L2Norm}\right) - \mathrm{Fisher}} - \mathrm{MParams}},Snip L2-Norm Log Fisher Sub Sqrt MParams Sub Div <EOS>,(Snip / (sqrt((log(L2-Norm) - Fisher)) - MParams)),0.672700000,0.429000000,110,9,6,2030,run_monash_time_unique1000,1,2,Monash__bitcoin_dataset_without_missing_values/seed_2030/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.991891892,0.666800000,\left(\mathrm{GradNorm}\right) \cdot \left(\sqrt{\frac{\mathrm{GFLOPs}}{\mathrm{plain}}} - \mathrm{MParams}\right),Grad_Norm GFLOPs plain Div Sqrt MParams Sub Mul <EOS>,(Grad_Norm * (sqrt((GFLOPs / plain)) - MParams)),0.666800000,0.510800000,65,8,5,2124,run_monash_time_unique1000,2,2,Monash__bitcoin_dataset_without_missing_values/seed_2124/run_monash_time_unique1000/visualizations/archive_latex.tex
