rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.781700000,\frac{\mathrm{L2Norm}}{\frac{\mathrm{Jacov}}{\mathrm{JacobFro}} - \mathrm{GradNorm}},L2-Norm Jacov Jacob_fro Div Grad_Norm Sub Div <EOS>,(L2-Norm / ((Jacov / Jacob_fro) - Grad_Norm)),0.781700000,0.783200000,155,7,4,2048,run_monash_time_unique1000,1,7,Monash__elecdemand_dataset/seed_2048/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.999045599,0.781700000,\frac{\mathrm{GradNorm} - \frac{\mathrm{Jacov}}{\mathrm{JacobFro}}}{\mathrm{L2Norm}},Grad_Norm Jacov Jacob_fro Div Sub L2-Norm Div <EOS>,((Grad_Norm - (Jacov / Jacob_fro)) / L2-Norm),0.781700000,0.783200000,107,7,4,2236,run_monash_time_unique1000,1,1,Monash__elecdemand_dataset/seed_2236/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.998091198,0.780800000,\frac{\mathrm{ZiCo}}{\frac{\mathrm{Jacov}}{\mathrm{L2Norm}} - \sqrt{\mathrm{GradNorm}}},ZiCo Jacov L2-Norm Div Grad_Norm Sqrt Sub Div <EOS>,(ZiCo / ((Jacov / L2-Norm) - sqrt(Grad_Norm))),0.780800000,0.741700000,8,8,4,2153,run_monash_time_unique1000,1,1,Monash__elecdemand_dataset/seed_2153/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.997136797,0.780400000,\frac{\left(\mathrm{JacobFro} - \mathrm{GradNorm} + \mathrm{L2Norm}\right)^2}{\mathrm{Jacov}},Jacob_fro Grad_Norm Sub L2-Norm Add Square Jacov Div <EOS>,(square(((Jacob_fro - Grad_Norm) + L2-Norm)) / Jacov),0.780400000,0.788300000,22,8,5,2027,run_monash_time_unique1000,1,17,Monash__elecdemand_dataset/seed_2027/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.996182397,0.780400000,\frac{\left(\mathrm{JacobFro} + \mathrm{L2Norm} - \mathrm{GradNorm}\right)^2}{\mathrm{Jacov}},Jacob_fro L2-Norm Add Grad_Norm Sub Square Jacov Div <EOS>,(square(((Jacob_fro + L2-Norm) - Grad_Norm)) / Jacov),0.780400000,0.788300000,144,8,5,2028,run_monash_time_unique1000,1,6,Monash__elecdemand_dataset/seed_2028/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.995227996,0.780400000,\frac{\left(\mathrm{JacobFro} + \mathrm{L2Norm} - \mathrm{GradNorm}\right)^2}{\mathrm{Jacov}},Jacob_fro L2-Norm Grad_Norm Sub Add Square Jacov Div <EOS>,(square((Jacob_fro + (L2-Norm - Grad_Norm))) / Jacov),0.780400000,0.788300000,58,8,5,2030,run_monash_time_unique1000,1,36,Monash__elecdemand_dataset/seed_2030/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.994273595,0.780400000,\frac{\sqrt{\mathrm{Jacov}}}{\mathrm{L2Norm} - \mathrm{GradNorm} + \mathrm{JacobFro}},Jacov Sqrt L2-Norm Grad_Norm Sub Jacob_fro Add Div <EOS>,(sqrt(Jacov) / ((L2-Norm - Grad_Norm) + Jacob_fro)),0.780400000,0.788300000,113,8,4,2032,run_monash_time_unique1000,1,6,Monash__elecdemand_dataset/seed_2032/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.993319194,0.780400000,\frac{\left(\mathrm{L2Norm} + \mathrm{JacobFro} - \mathrm{GradNorm}\right)^2}{\mathrm{Jacov}},L2-Norm Jacob_fro Grad_Norm Sub Add Square Jacov Div <EOS>,(square((L2-Norm + (Jacob_fro - Grad_Norm))) / Jacov),0.780400000,0.788300000,23,8,5,2036,run_monash_time_unique1000,1,17,Monash__elecdemand_dataset/seed_2036/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.992364793,0.780400000,\frac{\left(\mathrm{L2Norm} - \mathrm{GradNorm} + \mathrm{JacobFro}\right)^2}{\mathrm{Jacov}},L2-Norm Grad_Norm Sub Jacob_fro Add Square Jacov Div <EOS>,(square(((L2-Norm - Grad_Norm) + Jacob_fro)) / Jacov),0.780400000,0.788300000,63,8,5,2039,run_monash_time_unique1000,1,35,Monash__elecdemand_dataset/seed_2039/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.991410392,0.780400000,\frac{\sqrt{\mathrm{Jacov}}}{\mathrm{JacobFro} + \mathrm{L2Norm} - \mathrm{GradNorm}},Jacov Sqrt Jacob_fro L2-Norm Grad_Norm Sub Add Div <EOS>,(sqrt(Jacov) / (Jacob_fro + (L2-Norm - Grad_Norm))),0.780400000,0.788300000,50,8,4,2043,run_monash_time_unique1000,1,7,Monash__elecdemand_dataset/seed_2043/run_monash_time_unique1000/visualizations/archive_latex.tex
