rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.639500000,\left(\left(\frac{\mathrm{plain}}{\mathrm{GraSP}}\right)^2\right) \cdot \left(\log\left(\left(\mathrm{Jacov}\right) \cdot \left(\mathrm{GSynFlow}\right)\right)\right),plain GraSP Div Square Jacov GSynFlow Mul Log Mul <EOS>,(square((plain / GraSP)) * log((Jacov * GSynFlow))),0.639500000,0.573700000,97,9,4,2122,run_monash_time_unique1000,1,1,Monash__electricity_hourly_dataset/seed_2122/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.999099099,0.628100000,\frac{\frac{\mathrm{MParams}}{\mathrm{Jacov}}}{\left(\mathrm{GSynFlow}\right)^2} - \log\left(\mathrm{GraSP}\right),MParams Jacov Div GSynFlow Square Div GraSP Log Sub <EOS>,(((MParams / Jacov) / square(GSynFlow)) - log(GraSP)),0.628100000,0.624600000,193,9,4,2092,run_monash_time_unique1000,1,1,Monash__electricity_hourly_dataset/seed_2092/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.998198198,0.628100000,\frac{\mathrm{MParams}}{\left(\left(\mathrm{GSynFlow}\right)^2\right) \cdot \left(\mathrm{Jacov}\right)} - \log\left(\mathrm{GraSP}\right),MParams GSynFlow Square Jacov Mul Div GraSP Log Sub <EOS>,((MParams / (square(GSynFlow) * Jacov)) - log(GraSP)),0.628100000,0.624600000,61,9,5,2209,run_monash_time_unique1000,1,1,Monash__electricity_hourly_dataset/seed_2209/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.997297297,0.627700000,\frac{\mathrm{GraSP}}{\mathrm{plain}} - \frac{\mathrm{GFLOPs}}{\left(\mathrm{GSynFlow}\right)^2},GraSP plain Div GFLOPs GSynFlow Square Div Sub <EOS>,((GraSP / plain) - (GFLOPs / square(GSynFlow))),0.627700000,0.589100000,170,8,4,2067,run_monash_time_unique1000,1,6,Monash__electricity_hourly_dataset/seed_2067/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.996396396,0.626400000,\left(\log\left(\left(\mathrm{Jacov}\right) \cdot \left(\mathrm{GSynFlow}\right)\right)\right) \cdot \left(\frac{-\mathrm{GradNorm}}{\mathrm{GraSP}}\right),Jacov GSynFlow Mul Log Grad_Norm Negative GraSP Div Mul <EOS>,(log((Jacov * GSynFlow)) * (-(Grad_Norm) / GraSP)),0.626400000,0.555400000,186,9,4,2181,run_monash_time_unique1000,1,1,Monash__electricity_hourly_dataset/seed_2181/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.995495495,0.626000000,\left(\log\left(\left(\mathrm{Snip}\right) \cdot \left(\mathrm{GSynFlow}\right)\right)\right) \cdot \left(\left(\frac{\mathrm{plain}}{\mathrm{GraSP}}\right)^2\right),Snip GSynFlow Mul Log plain GraSP Div Square Mul <EOS>,(log((Snip * GSynFlow)) * square((plain / GraSP))),0.626000000,0.569000000,135,9,4,2172,run_monash_time_unique1000,1,1,Monash__electricity_hourly_dataset/seed_2172/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.994594595,0.624400000,\frac{\mathrm{L2Norm}}{-\mathrm{GSynFlow}} + \frac{\mathrm{GraSP}}{\mathrm{plain}},L2-Norm GSynFlow Negative Div GraSP plain Div Add <EOS>,((L2-Norm / -(GSynFlow)) + (GraSP / plain)),0.624400000,0.563500000,183,8,4,2082,run_monash_time_unique1000,1,1,Monash__electricity_hourly_dataset/seed_2082/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.993693694,0.624400000,\frac{\mathrm{GraSP}}{\mathrm{plain}} - \frac{\mathrm{L2Norm}}{\mathrm{GSynFlow}},GraSP plain Div L2-Norm GSynFlow Div Sub <EOS>,((GraSP / plain) - (L2-Norm / GSynFlow)),0.624400000,0.563500000,159,7,3,2084,run_monash_time_unique1000,1,3,Monash__electricity_hourly_dataset/seed_2084/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.992792793,0.624400000,\frac{-\mathrm{L2Norm}}{\mathrm{GSynFlow}} + \frac{\mathrm{GraSP}}{\mathrm{plain}},L2-Norm Negative GSynFlow Div GraSP plain Div Add <EOS>,((-(L2-Norm) / GSynFlow) + (GraSP / plain)),0.624400000,0.563500000,21,8,4,2225,run_monash_time_unique1000,1,1,Monash__electricity_hourly_dataset/seed_2225/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.991891892,0.623900000,\frac{\left(\frac{\mathrm{MParams}}{\left(\mathrm{GSynFlow}\right)^2}\right)^2}{\mathrm{Jacov}} + \mathrm{GraSP},MParams GSynFlow Square Div Square Jacov Div GraSP Add <EOS>,((square((MParams / square(GSynFlow))) / Jacov) + GraSP),0.623900000,0.615800000,169,9,6,2052,run_monash_time_unique1000,1,1,Monash__electricity_hourly_dataset/seed_2052/run_monash_time_unique1000/visualizations/archive_latex.tex
