rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.514000000,\mathrm{Jacov} + \frac{\mathrm{Snip} - \mathrm{GSynFlow}}{\mathrm{GFLOPs}},Jacov Snip GSynFlow Sub GFLOPs Div Add <EOS>,(Jacov + ((Snip - GSynFlow) / GFLOPs)),0.514000000,0.456500000,21,7,4,2092,run_monash_time_unique1000,1,2,Monash__kdd_cup_2018_dataset_without_missing_values/seed_2092/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.999099099,0.507900000,\frac{\left(\mathrm{JacobFro}\right) \cdot \left(\left(\mathrm{GFLOPs}\right)^2\right)}{\mathrm{GraSP}} + \mathrm{Jacov},Jacob_fro GFLOPs Square Mul GraSP Div Jacov Add <EOS>,(((Jacob_fro * square(GFLOPs)) / GraSP) + Jacov),0.507900000,0.560200000,189,8,5,2156,run_monash_time_unique1000,1,1,Monash__kdd_cup_2018_dataset_without_missing_values/seed_2156/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.998198198,0.507900000,\mathrm{Jacov} + \frac{\mathrm{JacobFro}}{\frac{\mathrm{GraSP}}{\left(\mathrm{GFLOPs}\right)^2}},Jacov Jacob_fro GraSP GFLOPs Square Div Div Add <EOS>,(Jacov + (Jacob_fro / (GraSP / square(GFLOPs)))),0.507900000,0.560200000,188,8,5,2180,run_monash_time_unique1000,1,1,Monash__kdd_cup_2018_dataset_without_missing_values/seed_2180/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.997297297,0.499600000,\left(\mathrm{GradNorm}\right) \cdot \left(\log\left(\frac{\mathrm{Fisher}}{\mathrm{GSynFlow}}\right)\right) + \mathrm{Jacov},Grad_Norm Fisher GSynFlow Div Log Mul Jacov Add <EOS>,((Grad_Norm * log((Fisher / GSynFlow))) + Jacov),0.499600000,0.482000000,11,8,5,2039,run_monash_time_unique1000,1,1,Monash__kdd_cup_2018_dataset_without_missing_values/seed_2039/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.996396396,0.498000000,\left(\mathrm{GradNorm}\right) \cdot \left(\log\left(\frac{\mathrm{plain}}{\mathrm{GSynFlow}}\right)\right) + \mathrm{Jacov},Grad_Norm plain GSynFlow Div Log Mul Jacov Add <EOS>,((Grad_Norm * log((plain / GSynFlow))) + Jacov),0.498000000,0.474200000,8,8,5,2039,run_monash_time_unique1000,2,1,Monash__kdd_cup_2018_dataset_without_missing_values/seed_2039/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.995495495,0.495600000,\left(\mathrm{GradNorm}\right) \cdot \left(\log\left(\frac{\mathrm{GradNorm}}{\mathrm{GSynFlow}}\right)\right) + \mathrm{Jacov},Grad_Norm Grad_Norm GSynFlow Div Log Mul Jacov Add <EOS>,((Grad_Norm * log((Grad_Norm / GSynFlow))) + Jacov),0.495600000,0.493200000,57,8,5,2115,run_monash_time_unique1000,1,3,Monash__kdd_cup_2018_dataset_without_missing_values/seed_2115/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.994594595,0.494500000,\mathrm{Jacov} - \left(\mathrm{GradNorm} + \mathrm{plain}\right) \cdot \left(\log\left(\mathrm{GSynFlow}\right)\right),Jacov Grad_Norm plain Add GSynFlow Log Mul Sub <EOS>,(Jacov - ((Grad_Norm + plain) * log(GSynFlow))),0.494500000,0.472100000,19,8,4,2097,run_monash_time_unique1000,1,1,Monash__kdd_cup_2018_dataset_without_missing_values/seed_2097/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.993693694,0.494200000,\mathrm{GradNorm} + \mathrm{Jacov} - \left(\mathrm{GradNorm}\right) \cdot \left(\log\left(\mathrm{GSynFlow}\right)\right),Grad_Norm Jacov Grad_Norm GSynFlow Log Mul Sub Add <EOS>,(Grad_Norm + (Jacov - (Grad_Norm * log(GSynFlow)))),0.494200000,0.474000000,17,8,5,2097,run_monash_time_unique1000,2,1,Monash__kdd_cup_2018_dataset_without_missing_values/seed_2097/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.992792793,0.493300000,\frac{\mathrm{GSynFlow}}{\mathrm{GraSP}} - \mathrm{L2Norm} - \mathrm{Jacov},GSynFlow GraSP Div L2-Norm Jacov Sub Sub <EOS>,((GSynFlow / GraSP) - (L2-Norm - Jacov)),0.493300000,0.438000000,97,7,3,2096,run_monash_time_unique1000,1,2,Monash__kdd_cup_2018_dataset_without_missing_values/seed_2096/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.991891892,0.493300000,\mathrm{Jacov} + \frac{\mathrm{GSynFlow}}{\mathrm{GraSP}} - \mathrm{L2Norm},Jacov GSynFlow GraSP Div Add L2-Norm Sub <EOS>,((Jacov + (GSynFlow / GraSP)) - L2-Norm),0.493300000,0.438000000,145,7,4,2143,run_monash_time_unique1000,1,1,Monash__kdd_cup_2018_dataset_without_missing_values/seed_2143/run_monash_time_unique1000/visualizations/archive_latex.tex
