rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.771100000,\frac{\mathrm{GradNorm}}{\sqrt{\mathrm{Fisher}}} + \frac{\mathrm{MParams}}{\sqrt{\mathrm{GSynFlow}}},Grad_Norm Fisher Sqrt Div MParams GSynFlow Sqrt Div Add <EOS>,((Grad_Norm / sqrt(Fisher)) + (MParams / sqrt(GSynFlow))),0.771100000,0.746200000,167,9,4,2124,run_monash_time_unique1000,1,5,Monash__oikolab_weather_dataset/seed_2124/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.997766749,0.771100000,\frac{\mathrm{MParams}}{\sqrt{\mathrm{GSynFlow}}} + \frac{\mathrm{GradNorm}}{\sqrt{\mathrm{Fisher}}},MParams GSynFlow Sqrt Div Grad_Norm Fisher Sqrt Div Add <EOS>,((MParams / sqrt(GSynFlow)) + (Grad_Norm / sqrt(Fisher))),0.771100000,0.746200000,188,9,4,2141,run_monash_time_unique1000,1,2,Monash__oikolab_weather_dataset/seed_2141/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.995533499,0.759100000,\frac{\left(\mathrm{GradNorm}\right)^2}{\mathrm{Fisher}} + \frac{\sqrt{\mathrm{MParams}}}{\mathrm{GSynFlow}},Grad_Norm Square Fisher Div MParams Sqrt GSynFlow Div Add <EOS>,((square(Grad_Norm) / Fisher) + (sqrt(MParams) / GSynFlow)),0.759100000,0.696000000,121,9,4,2055,run_monash_time_unique1000,1,1,Monash__oikolab_weather_dataset/seed_2055/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.993300248,0.759100000,\frac{\sqrt{\mathrm{MParams}}}{\mathrm{GSynFlow}} + \frac{\left(\mathrm{GradNorm}\right)^2}{\mathrm{Fisher}},MParams Sqrt GSynFlow Div Grad_Norm Square Fisher Div Add <EOS>,((sqrt(MParams) / GSynFlow) + (square(Grad_Norm) / Fisher)),0.759100000,0.696000000,24,9,4,2282,run_monash_time_unique1000,1,1,Monash__oikolab_weather_dataset/seed_2282/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.991066998,0.758000000,\sqrt{\frac{\mathrm{MParams}}{\mathrm{GSynFlow}}} + \frac{\mathrm{GradNorm}}{\sqrt{\mathrm{Fisher}}},MParams GSynFlow Div Sqrt Grad_Norm Fisher Sqrt Div Add <EOS>,(sqrt((MParams / GSynFlow)) + (Grad_Norm / sqrt(Fisher))),0.758000000,0.702700000,88,9,4,2113,run_monash_time_unique1000,1,1,Monash__oikolab_weather_dataset/seed_2113/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.988833747,0.758000000,\frac{\mathrm{GradNorm}}{\sqrt{\mathrm{Fisher}}} + \sqrt{\frac{\mathrm{MParams}}{\mathrm{GSynFlow}}},Grad_Norm Fisher Sqrt Div MParams GSynFlow Div Sqrt Add <EOS>,((Grad_Norm / sqrt(Fisher)) + sqrt((MParams / GSynFlow))),0.758000000,0.702700000,139,9,4,2150,run_monash_time_unique1000,1,1,Monash__oikolab_weather_dataset/seed_2150/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.986600496,0.749800000,\frac{\mathrm{MParams}}{\mathrm{GSynFlow}} + \frac{\left(\mathrm{GFLOPs}\right)^2}{\mathrm{plain}},MParams GSynFlow Div GFLOPs Square plain Div Add <EOS>,((MParams / GSynFlow) + (square(GFLOPs) / plain)),0.749800000,0.703500000,200,8,4,2027,run_monash_time_unique1000,1,30,Monash__oikolab_weather_dataset/seed_2027/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.984367246,0.749800000,\frac{\left(\mathrm{GFLOPs}\right)^2}{\mathrm{plain}} + \frac{\mathrm{MParams}}{\mathrm{GSynFlow}},GFLOPs Square plain Div MParams GSynFlow Div Add <EOS>,((square(GFLOPs) / plain) + (MParams / GSynFlow)),0.749800000,0.703500000,148,8,4,2028,run_monash_time_unique1000,1,24,Monash__oikolab_weather_dataset/seed_2028/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.982133995,0.744900000,\frac{\left(\mathrm{GradNorm}\right)^2}{\mathrm{Fisher}} + \frac{\mathrm{MParams}}{\mathrm{GSynFlow}},Grad_Norm Square Fisher Div MParams GSynFlow Div Add <EOS>,((square(Grad_Norm) / Fisher) + (MParams / GSynFlow)),0.744900000,0.725800000,105,8,4,2037,run_monash_time_unique1000,1,16,Monash__oikolab_weather_dataset/seed_2037/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.979900744,0.744900000,\frac{\mathrm{MParams}}{\mathrm{GSynFlow}} + \frac{\left(\mathrm{GradNorm}\right)^2}{\mathrm{Fisher}},MParams GSynFlow Div Grad_Norm Square Fisher Div Add <EOS>,((MParams / GSynFlow) + (square(Grad_Norm) / Fisher)),0.744900000,0.725800000,94,8,4,2044,run_monash_time_unique1000,1,16,Monash__oikolab_weather_dataset/seed_2044/run_monash_time_unique1000/visualizations/archive_latex.tex
