rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.808300000,\frac{\left(\left(\mathrm{JacobFro}\right)^2 + \frac{\mathrm{MParams}}{\mathrm{GSynFlow}}\right)^2}{\mathrm{Jacov}},Jacob_fro Square MParams GSynFlow Div Add Square Jacov Div <EOS>,(square((square(Jacob_fro) + (MParams / GSynFlow))) / Jacov),0.808300000,0.776800000,144,9,5,2119,run_monash_time_unique1000,1,1,Monash__pedestrian_counts_dataset/seed_2119/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.998823529,0.808300000,\frac{\left(\frac{\mathrm{MParams}}{\mathrm{GSynFlow}} + \left(\mathrm{JacobFro}\right)^2\right)^2}{\mathrm{Jacov}},MParams GSynFlow Div Jacob_fro Square Add Square Jacov Div <EOS>,(square(((MParams / GSynFlow) + square(Jacob_fro))) / Jacov),0.808300000,0.776800000,190,9,5,2285,run_monash_time_unique1000,1,1,Monash__pedestrian_counts_dataset/seed_2285/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.997647059,0.799400000,\frac{\left(\mathrm{plain}\right) \cdot \left(\mathrm{ZiCo}\right) + \log\left(\mathrm{Jacov}\right)}{\mathrm{JacobFro}},plain ZiCo Mul Jacov Log Add Jacob_fro Div <EOS>,(((plain * ZiCo) + log(Jacov)) / Jacob_fro),0.799400000,0.735400000,15,8,4,2161,run_monash_time_unique1000,1,1,Monash__pedestrian_counts_dataset/seed_2161/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.996470588,0.799400000,\frac{\left(\mathrm{ZiCo}\right) \cdot \left(\mathrm{plain}\right) + \log\left(\mathrm{Jacov}\right)}{\mathrm{JacobFro}},ZiCo plain Mul Jacov Log Add Jacob_fro Div <EOS>,(((ZiCo * plain) + log(Jacov)) / Jacob_fro),0.799400000,0.735400000,146,8,4,2173,run_monash_time_unique1000,1,1,Monash__pedestrian_counts_dataset/seed_2173/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.995294118,0.799300000,\frac{\left(\left(\log\left(\mathrm{Snip} - \mathrm{Jacov}\right)\right)^2\right) \cdot \left(\mathrm{ZiCo}\right)}{\mathrm{JacobFro}},Snip Jacov Sub Log Square ZiCo Mul Jacob_fro Div <EOS>,((square(log((Snip - Jacov))) * ZiCo) / Jacob_fro),0.799300000,0.755600000,87,9,6,2031,run_monash_time_unique1000,1,6,Monash__pedestrian_counts_dataset/seed_2031/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.994117647,0.799300000,\frac{\log\left(\mathrm{Snip} - \mathrm{Jacov}\right)}{\sqrt{\frac{\mathrm{JacobFro}}{\mathrm{ZiCo}}}},Snip Jacov Sub Log Jacob_fro ZiCo Div Sqrt Div <EOS>,(log((Snip - Jacov)) / sqrt((Jacob_fro / ZiCo))),0.799300000,0.755600000,93,9,4,2039,run_monash_time_unique1000,1,21,Monash__pedestrian_counts_dataset/seed_2039/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.992941176,0.799300000,\frac{\log\left(\mathrm{Jacov} - \mathrm{Snip}\right)}{\sqrt{\frac{\mathrm{JacobFro}}{\mathrm{ZiCo}}}},Jacov Snip Sub Log Jacob_fro ZiCo Div Sqrt Div <EOS>,(log((Jacov - Snip)) / sqrt((Jacob_fro / ZiCo))),0.799300000,0.755600000,130,9,4,2061,run_monash_time_unique1000,1,6,Monash__pedestrian_counts_dataset/seed_2061/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.991764706,0.799300000,\frac{\left(\log\left(\mathrm{Snip} - \mathrm{Jacov}\right)\right)^2}{\frac{\mathrm{JacobFro}}{\mathrm{ZiCo}}},Snip Jacov Sub Log Square Jacob_fro ZiCo Div Div <EOS>,(square(log((Snip - Jacov))) / (Jacob_fro / ZiCo)),0.799300000,0.755600000,61,9,5,2079,run_monash_time_unique1000,1,4,Monash__pedestrian_counts_dataset/seed_2079/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.990588235,0.799300000,\left(\frac{\mathrm{ZiCo}}{\mathrm{JacobFro}}\right) \cdot \left(\left(\log\left(\mathrm{Snip} - \mathrm{Jacov}\right)\right)^2\right),ZiCo Jacob_fro Div Snip Jacov Sub Log Square Mul <EOS>,((ZiCo / Jacob_fro) * square(log((Snip - Jacov)))),0.799300000,0.755600000,61,9,5,2098,run_monash_time_unique1000,1,1,Monash__pedestrian_counts_dataset/seed_2098/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.989411765,0.799300000,\frac{\left(\mathrm{ZiCo}\right) \cdot \left(\left(\log\left(\mathrm{Snip} - \mathrm{Jacov}\right)\right)^2\right)}{\mathrm{JacobFro}},ZiCo Snip Jacov Sub Log Square Mul Jacob_fro Div <EOS>,((ZiCo * square(log((Snip - Jacov)))) / Jacob_fro),0.799300000,0.755600000,86,9,6,2106,run_monash_time_unique1000,1,1,Monash__pedestrian_counts_dataset/seed_2106/run_monash_time_unique1000/visualizations/archive_latex.tex
11,0.988235294,0.799300000,\frac{\left(\left(\log\left(\mathrm{Jacov} - \mathrm{Snip}\right)\right)^2\right) \cdot \left(\mathrm{ZiCo}\right)}{\mathrm{JacobFro}},Jacov Snip Sub Log Square ZiCo Mul Jacob_fro Div <EOS>,((square(log((Jacov - Snip))) * ZiCo) / Jacob_fro),0.799300000,0.755600000,57,9,6,2123,run_monash_time_unique1000,1,1,Monash__pedestrian_counts_dataset/seed_2123/run_monash_time_unique1000/visualizations/archive_latex.tex
12,0.987058824,0.799300000,\left(\mathrm{ZiCo}\right) \cdot \left(\frac{\left(\log\left(\mathrm{Jacov} - \mathrm{Snip}\right)\right)^2}{\mathrm{JacobFro}}\right),ZiCo Jacov Snip Sub Log Square Jacob_fro Div Mul <EOS>,(ZiCo * (square(log((Jacov - Snip))) / Jacob_fro)),0.799300000,0.755600000,60,9,6,2132,run_monash_time_unique1000,1,2,Monash__pedestrian_counts_dataset/seed_2132/run_monash_time_unique1000/visualizations/archive_latex.tex
13,0.985882353,0.799300000,\left(\frac{\left(\log\left(\mathrm{Jacov} - \mathrm{Snip}\right)\right)^2}{\mathrm{JacobFro}}\right) \cdot \left(\mathrm{ZiCo}\right),Jacov Snip Sub Log Square Jacob_fro Div ZiCo Mul <EOS>,((square(log((Jacov - Snip))) / Jacob_fro) * ZiCo),0.799300000,0.755600000,93,9,6,2154,run_monash_time_unique1000,1,1,Monash__pedestrian_counts_dataset/seed_2154/run_monash_time_unique1000/visualizations/archive_latex.tex
14,0.984705882,0.799300000,\left(\log\left(\mathrm{Snip} - \mathrm{Jacov}\right)\right) \cdot \left(\sqrt{\frac{\mathrm{ZiCo}}{\mathrm{JacobFro}}}\right),Snip Jacov Sub Log ZiCo Jacob_fro Div Sqrt Mul <EOS>,(log((Snip - Jacov)) * sqrt((ZiCo / Jacob_fro))),0.799300000,0.755600000,40,9,4,2181,run_monash_time_unique1000,1,2,Monash__pedestrian_counts_dataset/seed_2181/run_monash_time_unique1000/visualizations/archive_latex.tex
15,0.983529412,0.799300000,\left(\frac{\left(\log\left(\mathrm{Snip} - \mathrm{Jacov}\right)\right)^2}{\mathrm{JacobFro}}\right) \cdot \left(\mathrm{ZiCo}\right),Snip Jacov Sub Log Square Jacob_fro Div ZiCo Mul <EOS>,((square(log((Snip - Jacov))) / Jacob_fro) * ZiCo),0.799300000,0.755600000,74,9,6,2182,run_monash_time_unique1000,1,3,Monash__pedestrian_counts_dataset/seed_2182/run_monash_time_unique1000/visualizations/archive_latex.tex
16,0.982352941,0.799300000,\frac{\left(\log\left(\mathrm{Jacov} - \mathrm{Snip}\right)\right)^2}{\frac{\mathrm{JacobFro}}{\mathrm{ZiCo}}},Jacov Snip Sub Log Square Jacob_fro ZiCo Div Div <EOS>,(square(log((Jacov - Snip))) / (Jacob_fro / ZiCo)),0.799300000,0.755600000,192,9,5,2231,run_monash_time_unique1000,1,1,Monash__pedestrian_counts_dataset/seed_2231/run_monash_time_unique1000/visualizations/archive_latex.tex
17,0.981176471,0.799300000,\left(\mathrm{ZiCo}\right) \cdot \left(\frac{\left(\log\left(\mathrm{Snip} - \mathrm{Jacov}\right)\right)^2}{\mathrm{JacobFro}}\right),ZiCo Snip Jacov Sub Log Square Jacob_fro Div Mul <EOS>,(ZiCo * (square(log((Snip - Jacov))) / Jacob_fro)),0.799300000,0.755600000,159,9,6,2258,run_monash_time_unique1000,1,2,Monash__pedestrian_counts_dataset/seed_2258/run_monash_time_unique1000/visualizations/archive_latex.tex
18,0.980000000,0.799100000,\frac{\log\left(\mathrm{Snip} - \mathrm{Jacov}\right)}{\log\left(\mathrm{JacobFro}\right)} + \mathrm{ZiCo},Snip Jacov Sub Log Jacob_fro Log Div ZiCo Add <EOS>,((log((Snip - Jacov)) / log(Jacob_fro)) + ZiCo),0.799100000,0.769200000,66,9,5,2032,run_monash_time_unique1000,1,9,Monash__pedestrian_counts_dataset/seed_2032/run_monash_time_unique1000/visualizations/archive_latex.tex
19,0.978823529,0.799100000,\mathrm{ZiCo} + \frac{\log\left(\mathrm{Snip} - \mathrm{Jacov}\right)}{\log\left(\mathrm{JacobFro}\right)},ZiCo Snip Jacov Sub Log Jacob_fro Log Div Add <EOS>,(ZiCo + (log((Snip - Jacov)) / log(Jacob_fro))),0.799100000,0.769200000,65,9,5,2035,run_monash_time_unique1000,1,10,Monash__pedestrian_counts_dataset/seed_2035/run_monash_time_unique1000/visualizations/archive_latex.tex
20,0.977647059,0.799100000,\frac{\log\left(\left(\mathrm{Jacov}\right) \cdot \left(\mathrm{ZiCo}\right)\right)}{\mathrm{JacobFro} - \mathrm{plain}},Jacov ZiCo Mul Log Jacob_fro plain Sub Div <EOS>,(log((Jacov * ZiCo)) / (Jacob_fro - plain)),0.799100000,0.752200000,193,8,4,2046,run_monash_time_unique1000,1,4,Monash__pedestrian_counts_dataset/seed_2046/run_monash_time_unique1000/visualizations/archive_latex.tex
21,0.976470588,0.799100000,\frac{\log\left(\left(\mathrm{ZiCo}\right) \cdot \left(\mathrm{Jacov}\right)\right)}{\mathrm{JacobFro} - \mathrm{plain}},ZiCo Jacov Mul Log Jacob_fro plain Sub Div <EOS>,(log((ZiCo * Jacov)) / (Jacob_fro - plain)),0.799100000,0.752200000,96,8,4,2076,run_monash_time_unique1000,1,2,Monash__pedestrian_counts_dataset/seed_2076/run_monash_time_unique1000/visualizations/archive_latex.tex
22,0.975294118,0.799100000,\frac{\log\left(\mathrm{Jacov} - \mathrm{Snip}\right)}{\log\left(\mathrm{JacobFro}\right)} + \mathrm{ZiCo},Jacov Snip Sub Log Jacob_fro Log Div ZiCo Add <EOS>,((log((Jacov - Snip)) / log(Jacob_fro)) + ZiCo),0.799100000,0.769200000,125,9,5,2314,run_monash_time_unique1000,1,1,Monash__pedestrian_counts_dataset/seed_2314/run_monash_time_unique1000/visualizations/archive_latex.tex
23,0.974117647,0.799100000,\frac{\log\left(\left(\mathrm{ZiCo}\right) \cdot \left(\mathrm{Jacov}\right)\right)}{\mathrm{JacobFro} + -\mathrm{plain}},ZiCo Jacov Mul Log Jacob_fro plain Negative Add Div <EOS>,(log((ZiCo * Jacov)) / (Jacob_fro + -(plain))),0.799100000,0.752200000,190,9,4,2185,run_monash_time_unique1000,2,1,Monash__pedestrian_counts_dataset/seed_2185/run_monash_time_unique1000/visualizations/archive_latex.tex
24,0.972941176,0.799000000,\frac{\log\left(\mathrm{Jacov}\right)}{\mathrm{JacobFro} - \left(\mathrm{MParams}\right) \cdot \left(\mathrm{plain}\right)},Jacov Log Jacob_fro MParams plain Mul Sub Div <EOS>,(log(Jacov) / (Jacob_fro - (MParams * plain))),0.799000000,0.741500000,121,8,4,2196,run_monash_time_unique1000,1,1,Monash__pedestrian_counts_dataset/seed_2196/run_monash_time_unique1000/visualizations/archive_latex.tex
25,0.971764706,0.799000000,\frac{\left(\mathrm{MParams}\right) \cdot \left(\mathrm{plain}\right) - \mathrm{JacobFro}}{\log\left(\mathrm{Jacov}\right)},MParams plain Mul Jacob_fro Sub Jacov Log Div <EOS>,(((MParams * plain) - Jacob_fro) / log(Jacov)),0.799000000,0.741500000,50,8,4,2243,run_monash_time_unique1000,1,1,Monash__pedestrian_counts_dataset/seed_2243/run_monash_time_unique1000/visualizations/archive_latex.tex
26,0.970588235,0.798600000,\frac{\left(\mathrm{JacobFro} - \mathrm{plain} - \log\left(\mathrm{Snip}\right)\right)^2}{\mathrm{Jacov}},Jacob_fro plain Sub Snip Log Sub Square Jacov Div <EOS>,(square(((Jacob_fro - plain) - log(Snip))) / Jacov),0.798600000,0.755300000,50,9,5,2086,run_monash_time_unique1000,1,1,Monash__pedestrian_counts_dataset/seed_2086/run_monash_time_unique1000/visualizations/archive_latex.tex
27,0.969411765,0.798600000,\frac{\log\left(\left(\mathrm{Jacov}\right)^2\right) + \sqrt{\left(\mathrm{plain}\right)^2}}{\mathrm{JacobFro}},Jacov Square Log plain Square Sqrt Add Jacob_fro Div <EOS>,((log(square(Jacov)) + sqrt(square(plain))) / Jacob_fro),0.798600000,0.742600000,103,9,5,2271,run_monash_time_unique1000,1,1,Monash__pedestrian_counts_dataset/seed_2271/run_monash_time_unique1000/visualizations/archive_latex.tex
28,0.968235294,0.798600000,\frac{\left(\mathrm{JacobFro} - \log\left(\mathrm{Snip}\right) + \mathrm{plain}\right)^2}{\mathrm{Jacov}},Jacob_fro Snip Log plain Add Sub Square Jacov Div <EOS>,(square((Jacob_fro - (log(Snip) + plain))) / Jacov),0.798600000,0.755300000,21,9,6,2322,run_monash_time_unique1000,1,1,Monash__pedestrian_counts_dataset/seed_2322/run_monash_time_unique1000/visualizations/archive_latex.tex
29,0.967058824,0.798600000,\frac{\log\left(\left(\mathrm{Jacov}\right)^2\right) + \left(\sqrt{\mathrm{plain}}\right)^2}{\mathrm{JacobFro}},Jacov Square Log plain Sqrt Square Add Jacob_fro Div <EOS>,((log(square(Jacov)) + square(sqrt(plain))) / Jacob_fro),0.798600000,0.742600000,184,9,5,2251,run_monash_time_unique1000,2,1,Monash__pedestrian_counts_dataset/seed_2251/run_monash_time_unique1000/visualizations/archive_latex.tex
30,0.965882353,0.798200000,\frac{\log\left(\mathrm{Jacov} - \mathrm{Snip}\right)}{\sqrt{\mathrm{JacobFro}} - \mathrm{ZiCo}},Jacov Snip Sub Log Jacob_fro Sqrt ZiCo Sub Div <EOS>,(log((Jacov - Snip)) / (sqrt(Jacob_fro) - ZiCo)),0.798200000,0.750000000,151,9,4,2045,run_monash_time_unique1000,1,5,Monash__pedestrian_counts_dataset/seed_2045/run_monash_time_unique1000/visualizations/archive_latex.tex
31,0.964705882,0.798200000,\frac{\log\left(\mathrm{Snip} - \mathrm{Jacov}\right)}{\sqrt{\mathrm{JacobFro}} - \mathrm{ZiCo}},Snip Jacov Sub Log Jacob_fro Sqrt ZiCo Sub Div <EOS>,(log((Snip - Jacov)) / (sqrt(Jacob_fro) - ZiCo)),0.798200000,0.750000000,137,9,4,2107,run_monash_time_unique1000,1,9,Monash__pedestrian_counts_dataset/seed_2107/run_monash_time_unique1000/visualizations/archive_latex.tex
