rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.507100000,\mathrm{GFLOPs} - \log\left(\mathrm{GSynFlow}\right) - \frac{\mathrm{Jacov}}{\mathrm{JacobFro}},GFLOPs GSynFlow Log Sub Jacov Jacob_fro Div Sub <EOS>,((GFLOPs - log(GSynFlow)) - (Jacov / Jacob_fro)),0.507100000,0.516700000,76,8,4,2213,run_monash_time_unique1000,1,2,Monash__saugeenday_dataset/seed_2213/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.998890259,0.507100000,-\frac{\mathrm{Jacov}}{\mathrm{JacobFro}} + \mathrm{GFLOPs} - \log\left(\mathrm{GSynFlow}\right),Jacov Jacob_fro Div Negative GFLOPs GSynFlow Log Sub Add <EOS>,(-((Jacov / Jacob_fro)) + (GFLOPs - log(GSynFlow))),0.507100000,0.516700000,146,9,4,2273,run_monash_time_unique1000,1,1,Monash__saugeenday_dataset/seed_2273/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.997780518,0.491400000,\frac{\mathrm{Snip} - \mathrm{Jacov}}{\mathrm{JacobFro}} - \log\left(\mathrm{GSynFlow}\right),Snip Jacov Sub Jacob_fro Div GSynFlow Log Sub <EOS>,(((Snip - Jacov) / Jacob_fro) - log(GSynFlow)),0.491400000,0.517800000,166,8,4,2051,run_monash_time_unique1000,1,7,Monash__saugeenday_dataset/seed_2051/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.996670777,0.491400000,-\log\left(\mathrm{GSynFlow}\right) + \frac{\mathrm{Snip} - \mathrm{Jacov}}{\mathrm{JacobFro}},GSynFlow Log Negative Snip Jacov Sub Jacob_fro Div Add <EOS>,(-(log(GSynFlow)) + ((Snip - Jacov) / Jacob_fro)),0.491400000,0.517800000,117,9,4,2104,run_monash_time_unique1000,1,1,Monash__saugeenday_dataset/seed_2104/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.995561036,0.491400000,\frac{\mathrm{Snip} - \mathrm{Jacov}}{\mathrm{JacobFro}} + -\log\left(\mathrm{GSynFlow}\right),Snip Jacov Sub Jacob_fro Div GSynFlow Log Negative Add <EOS>,(((Snip - Jacov) / Jacob_fro) + -(log(GSynFlow))),0.491400000,0.517800000,106,9,4,2135,run_monash_time_unique1000,1,2,Monash__saugeenday_dataset/seed_2135/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.994451295,0.491400000,-\log\left(\mathrm{GSynFlow}\right) - \frac{\mathrm{Jacov} - \mathrm{Snip}}{\mathrm{JacobFro}},GSynFlow Log Negative Jacov Snip Sub Jacob_fro Div Sub <EOS>,(-(log(GSynFlow)) - ((Jacov - Snip) / Jacob_fro)),0.491400000,0.517800000,56,9,4,2229,run_monash_time_unique1000,2,1,Monash__saugeenday_dataset/seed_2229/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.993341554,0.484600000,\frac{\mathrm{Snip} - \mathrm{Jacov}}{\mathrm{JacobFro}} - \log\left(\sqrt{\mathrm{GSynFlow}}\right),Snip Jacov Sub Jacob_fro Div GSynFlow Sqrt Log Sub <EOS>,(((Snip - Jacov) / Jacob_fro) - log(sqrt(GSynFlow))),0.484600000,0.562200000,92,9,4,2131,run_monash_time_unique1000,1,3,Monash__saugeenday_dataset/seed_2131/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.992231813,0.482800000,\frac{\mathrm{JacobFro}}{\frac{\mathrm{GFLOPs}}{\log\left(\mathrm{MParams}\right)} + \mathrm{Jacov}},Jacob_fro GFLOPs MParams Log Div Jacov Add Div <EOS>,(Jacob_fro / ((GFLOPs / log(MParams)) + Jacov)),0.482800000,0.588200000,117,8,5,2093,run_monash_time_unique1000,1,1,Monash__saugeenday_dataset/seed_2093/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.991122072,0.482800000,\frac{\mathrm{JacobFro}}{\mathrm{Jacov} + \frac{\mathrm{GFLOPs}}{\log\left(\mathrm{MParams}\right)}},Jacob_fro Jacov GFLOPs MParams Log Div Add Div <EOS>,(Jacob_fro / (Jacov + (GFLOPs / log(MParams)))),0.482800000,0.588200000,193,8,5,2240,run_monash_time_unique1000,1,2,Monash__saugeenday_dataset/seed_2240/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.990012330,0.480400000,\frac{\left(\mathrm{JacobFro}\right)^2}{\frac{\mathrm{GFLOPs}}{\log\left(\mathrm{MParams}\right)} + \mathrm{Jacov}},Jacob_fro Square GFLOPs MParams Log Div Jacov Add Div <EOS>,(square(Jacob_fro) / ((GFLOPs / log(MParams)) + Jacov)),0.480400000,0.594500000,172,9,5,2093,run_monash_time_unique1000,2,1,Monash__saugeenday_dataset/seed_2093/run_monash_time_unique1000/visualizations/archive_latex.tex
