rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.495200000,\frac{\sqrt{\mathrm{Jacov}}}{\mathrm{JacobFro} - \mathrm{Fisher} - \mathrm{GradNorm}},Jacov Sqrt Jacob_fro Fisher Sub Grad_Norm Sub Div <EOS>,(sqrt(Jacov) / ((Jacob_fro - Fisher) - Grad_Norm)),0.495200000,0.499500000,179,8,4,2029,run_monash_time_unique1000,1,13,Monash__solar_10_minutes_dataset/seed_2029/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.999099099,0.495200000,\frac{\sqrt{\mathrm{Jacov}}}{\mathrm{JacobFro} - \mathrm{Fisher} + \mathrm{GradNorm}},Jacov Sqrt Jacob_fro Fisher Grad_Norm Add Sub Div <EOS>,(sqrt(Jacov) / (Jacob_fro - (Fisher + Grad_Norm))),0.495200000,0.499500000,199,8,4,2031,run_monash_time_unique1000,1,15,Monash__solar_10_minutes_dataset/seed_2031/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.998198198,0.495200000,\frac{\sqrt{\mathrm{Jacov}}}{\mathrm{JacobFro} - \mathrm{GradNorm} + \mathrm{Fisher}},Jacov Sqrt Jacob_fro Grad_Norm Fisher Add Sub Div <EOS>,(sqrt(Jacov) / (Jacob_fro - (Grad_Norm + Fisher))),0.495200000,0.499500000,73,8,4,2034,run_monash_time_unique1000,1,13,Monash__solar_10_minutes_dataset/seed_2034/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.997297297,0.495200000,\frac{\sqrt{\mathrm{Jacov}}}{\mathrm{JacobFro} - \mathrm{GradNorm} - \mathrm{Fisher}},Jacov Sqrt Jacob_fro Grad_Norm Sub Fisher Sub Div <EOS>,(sqrt(Jacov) / ((Jacob_fro - Grad_Norm) - Fisher)),0.495200000,0.499500000,88,8,4,2043,run_monash_time_unique1000,1,17,Monash__solar_10_minutes_dataset/seed_2043/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.996396396,0.495200000,\frac{\sqrt{\mathrm{Jacov}}}{-\mathrm{Fisher} - \mathrm{GradNorm} - \mathrm{JacobFro}},Jacov Sqrt Fisher Negative Grad_Norm Jacob_fro Sub Sub Div <EOS>,(sqrt(Jacov) / (-(Fisher) - (Grad_Norm - Jacob_fro))),0.495200000,0.499500000,80,9,4,2069,run_monash_time_unique1000,1,2,Monash__solar_10_minutes_dataset/seed_2069/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.995495495,0.495200000,\frac{\sqrt{-\mathrm{Jacov}}}{\mathrm{JacobFro} - \mathrm{GradNorm} - \mathrm{Fisher}},Jacov Negative Sqrt Jacob_fro Grad_Norm Sub Fisher Sub Div <EOS>,(sqrt(-(Jacov)) / ((Jacob_fro - Grad_Norm) - Fisher)),0.495200000,0.499500000,172,9,4,2072,run_monash_time_unique1000,1,1,Monash__solar_10_minutes_dataset/seed_2072/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.994594595,0.495200000,\frac{-\sqrt{\mathrm{Jacov}}}{\mathrm{GradNorm} - \mathrm{JacobFro} + \mathrm{Fisher}},Jacov Sqrt Negative Grad_Norm Jacob_fro Sub Fisher Add Div <EOS>,(-(sqrt(Jacov)) / ((Grad_Norm - Jacob_fro) + Fisher)),0.495200000,0.499500000,83,9,4,2095,run_monash_time_unique1000,1,1,Monash__solar_10_minutes_dataset/seed_2095/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.993693694,0.495200000,\frac{-\sqrt{\mathrm{Jacov}}}{\mathrm{Fisher} - \mathrm{JacobFro} + \mathrm{GradNorm}},Jacov Sqrt Negative Fisher Jacob_fro Sub Grad_Norm Add Div <EOS>,(-(sqrt(Jacov)) / ((Fisher - Jacob_fro) + Grad_Norm)),0.495200000,0.499500000,102,9,4,2098,run_monash_time_unique1000,1,1,Monash__solar_10_minutes_dataset/seed_2098/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.992792793,0.495200000,\frac{\sqrt{\mathrm{Jacov}}}{\mathrm{JacobFro} + -\mathrm{GradNorm} - \mathrm{Fisher}},Jacov Sqrt Jacob_fro Grad_Norm Negative Add Fisher Sub Div <EOS>,(sqrt(Jacov) / ((Jacob_fro + -(Grad_Norm)) - Fisher)),0.495200000,0.499500000,101,9,5,2179,run_monash_time_unique1000,1,1,Monash__solar_10_minutes_dataset/seed_2179/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.991891892,0.495200000,\frac{\sqrt{\mathrm{Jacov}}}{-\mathrm{GradNorm} + \mathrm{JacobFro} - \mathrm{Fisher}},Jacov Sqrt Grad_Norm Negative Jacob_fro Fisher Sub Add Div <EOS>,(sqrt(Jacov) / (-(Grad_Norm) + (Jacob_fro - Fisher))),0.495200000,0.499500000,147,9,4,2189,run_monash_time_unique1000,1,1,Monash__solar_10_minutes_dataset/seed_2189/run_monash_time_unique1000/visualizations/archive_latex.tex
