rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.799900000,\frac{\mathrm{MParams}}{\left(\mathrm{GFLOPs} - \sqrt{\mathrm{MParams}}\right) \cdot \left(\sqrt{\mathrm{JacobFro}}\right)},MParams GFLOPs MParams Sqrt Sub Jacob_fro Sqrt Mul Div <EOS>,(MParams / ((GFLOPs - sqrt(MParams)) * sqrt(Jacob_fro))),0.799900000,0.679900000,113,9,5,2171,run_monash_time_unique1000,1,1,Monash__solar_4_seconds_dataset/seed_2171/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.999099099,0.799700000,\frac{\frac{\mathrm{MParams}}{\mathrm{GFLOPs}}}{\sqrt{\left(\mathrm{JacobFro}\right) \cdot \left(\mathrm{L2Norm}\right)}},MParams GFLOPs Div Jacob_fro L2-Norm Mul Sqrt Div <EOS>,((MParams / GFLOPs) / sqrt((Jacob_fro * L2-Norm))),0.799700000,0.673700000,94,8,4,2043,run_monash_time_unique1000,1,1,Monash__solar_4_seconds_dataset/seed_2043/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.998198198,0.799700000,\frac{\mathrm{MParams}}{\left(\sqrt{\mathrm{JacobFro}}\right) \cdot \left(\left(\sqrt{\mathrm{L2Norm}}\right) \cdot \left(\mathrm{GFLOPs}\right)\right)},MParams Jacob_fro Sqrt L2-Norm Sqrt GFLOPs Mul Mul Div <EOS>,(MParams / (sqrt(Jacob_fro) * (sqrt(L2-Norm) * GFLOPs))),0.799700000,0.673700000,61,9,5,2070,run_monash_time_unique1000,1,1,Monash__solar_4_seconds_dataset/seed_2070/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.997297297,0.799700000,\frac{\frac{\mathrm{MParams}}{\mathrm{GFLOPs}}}{\sqrt{\left(\mathrm{L2Norm}\right) \cdot \left(\mathrm{JacobFro}\right)}},MParams GFLOPs Div L2-Norm Jacob_fro Mul Sqrt Div <EOS>,((MParams / GFLOPs) / sqrt((L2-Norm * Jacob_fro))),0.799700000,0.673700000,48,8,4,2096,run_monash_time_unique1000,1,1,Monash__solar_4_seconds_dataset/seed_2096/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.996396396,0.799700000,\frac{\mathrm{MParams}}{\left(\sqrt{\left(\mathrm{L2Norm}\right) \cdot \left(\mathrm{JacobFro}\right)}\right) \cdot \left(\mathrm{GFLOPs}\right)},MParams L2-Norm Jacob_fro Mul Sqrt GFLOPs Mul Div <EOS>,(MParams / (sqrt((L2-Norm * Jacob_fro)) * GFLOPs)),0.799700000,0.673700000,44,8,5,2125,run_monash_time_unique1000,1,1,Monash__solar_4_seconds_dataset/seed_2125/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.995495495,0.799600000,\frac{\frac{\left(\frac{\mathrm{MParams}}{\mathrm{GFLOPs}}\right)^2}{\mathrm{L2Norm}}}{\mathrm{JacobFro}},MParams GFLOPs Div Square L2-Norm Div Jacob_fro Div <EOS>,((square((MParams / GFLOPs)) / L2-Norm) / Jacob_fro),0.799600000,0.673700000,78,8,5,2052,run_monash_time_unique1000,1,1,Monash__solar_4_seconds_dataset/seed_2052/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.994594595,0.799600000,\frac{\left(\frac{\mathrm{MParams}}{\mathrm{GFLOPs}}\right)^2}{\left(\mathrm{L2Norm}\right) \cdot \left(\mathrm{JacobFro}\right)},MParams GFLOPs Div Square L2-Norm Jacob_fro Mul Div <EOS>,(square((MParams / GFLOPs)) / (L2-Norm * Jacob_fro)),0.799600000,0.673700000,110,8,4,2211,run_monash_time_unique1000,1,1,Monash__solar_4_seconds_dataset/seed_2211/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.993693694,0.799300000,\frac{\frac{\mathrm{MParams}}{\mathrm{GFLOPs}}}{\log\left(\left(\mathrm{GSynFlow}\right) \cdot \left(\mathrm{JacobFro}\right)\right)},MParams GFLOPs Div GSynFlow Jacob_fro Mul Log Div <EOS>,((MParams / GFLOPs) / log((GSynFlow * Jacob_fro))),0.799300000,0.653700000,110,8,4,2035,run_monash_time_unique1000,1,6,Monash__solar_4_seconds_dataset/seed_2035/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.992792793,0.799300000,\frac{\frac{\mathrm{MParams}}{\mathrm{GFLOPs}}}{\log\left(\left(\mathrm{JacobFro}\right) \cdot \left(\mathrm{GSynFlow}\right)\right)},MParams GFLOPs Div Jacob_fro GSynFlow Mul Log Div <EOS>,((MParams / GFLOPs) / log((Jacob_fro * GSynFlow))),0.799300000,0.653700000,113,8,4,2105,run_monash_time_unique1000,1,4,Monash__solar_4_seconds_dataset/seed_2105/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.991891892,0.799300000,\frac{\mathrm{MParams}}{\left(\log\left(\left(\mathrm{JacobFro}\right) \cdot \left(\mathrm{GSynFlow}\right)\right)\right) \cdot \left(\mathrm{GFLOPs}\right)},MParams Jacob_fro GSynFlow Mul Log GFLOPs Mul Div <EOS>,(MParams / (log((Jacob_fro * GSynFlow)) * GFLOPs)),0.799300000,0.653700000,50,8,5,2125,run_monash_time_unique1000,2,1,Monash__solar_4_seconds_dataset/seed_2125/run_monash_time_unique1000/visualizations/archive_latex.tex
