rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.637600000,\mathrm{GFLOPs} - \frac{\mathrm{L2Norm} + \left(\mathrm{MParams}\right)^2}{\log\left(\mathrm{Jacov}\right)},GFLOPs L2-Norm MParams Square Add Jacov Log Div Sub <EOS>,(GFLOPs - ((L2-Norm + square(MParams)) / log(Jacov))),0.637600000,0.528400000,193,9,5,2166,run_monash_time_unique1000,1,1,Monash__sunspot_dataset_without_missing_values/seed_2166/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.999099099,0.622700000,\left(\log\left(\log\left(\left(\mathrm{GFLOPs}\right) \cdot \left(\mathrm{ZiCo}\right)\right)\right)\right) \cdot \left(\mathrm{L2Norm}\right) - \mathrm{Jacov},GFLOPs ZiCo Mul Log Log L2-Norm Mul Jacov Sub <EOS>,((log(log((GFLOPs * ZiCo))) * L2-Norm) - Jacov),0.622700000,0.522000000,72,9,6,2058,run_monash_time_unique1000,1,1,Monash__sunspot_dataset_without_missing_values/seed_2058/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.998198198,0.622300000,\sqrt{\left(\mathrm{Jacov}\right) \cdot \left(\mathrm{GFLOPs}\right)} - \mathrm{L2Norm} - \mathrm{Fisher},Jacov GFLOPs Mul Sqrt L2-Norm Sub Fisher Sub <EOS>,((sqrt((Jacov * GFLOPs)) - L2-Norm) - Fisher),0.622300000,0.557400000,181,8,5,2100,run_monash_time_unique1000,1,1,Monash__sunspot_dataset_without_missing_values/seed_2100/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.997297297,0.621900000,\left(\log\left(\log\left(\mathrm{JacobFro} - \mathrm{GradNorm}\right)\right)\right) \cdot \left(\mathrm{L2Norm}\right) - \mathrm{Jacov},Jacob_fro Grad_Norm Sub Log Log L2-Norm Mul Jacov Sub <EOS>,((log(log((Jacob_fro - Grad_Norm))) * L2-Norm) - Jacov),0.621900000,0.551200000,43,9,6,2139,run_monash_time_unique1000,1,1,Monash__sunspot_dataset_without_missing_values/seed_2139/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.996396396,0.619300000,\left(-\left(\mathrm{Snip}\right)^2\right) \cdot \left(\mathrm{L2Norm} + \left(\mathrm{Jacov}\right) \cdot \left(\mathrm{ZiCo}\right)\right),Snip Square Negative L2-Norm Jacov ZiCo Mul Add Mul <EOS>,(-(square(Snip)) * (L2-Norm + (Jacov * ZiCo))),0.619300000,0.645200000,54,9,4,2028,run_monash_time_unique1000,1,8,Monash__sunspot_dataset_without_missing_values/seed_2028/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.995495495,0.619300000,\left(\left(\mathrm{Snip}\right)^2\right) \cdot \left(-\mathrm{L2Norm} - \left(\mathrm{ZiCo}\right) \cdot \left(\mathrm{Jacov}\right)\right),Snip Square L2-Norm Negative ZiCo Jacov Mul Sub Mul <EOS>,(square(Snip) * (-(L2-Norm) - (ZiCo * Jacov))),0.619300000,0.645200000,41,9,4,2030,run_monash_time_unique1000,1,4,Monash__sunspot_dataset_without_missing_values/seed_2030/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.994594595,0.619300000,\left(\left(\mathrm{Snip}\right)^2\right) \cdot \left(-\mathrm{L2Norm} - \left(\mathrm{Jacov}\right) \cdot \left(\mathrm{ZiCo}\right)\right),Snip Square L2-Norm Negative Jacov ZiCo Mul Sub Mul <EOS>,(square(Snip) * (-(L2-Norm) - (Jacov * ZiCo))),0.619300000,0.645200000,32,9,4,2034,run_monash_time_unique1000,1,5,Monash__sunspot_dataset_without_missing_values/seed_2034/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.993693694,0.619300000,\left(-\mathrm{L2Norm} - \left(\mathrm{ZiCo}\right) \cdot \left(\mathrm{Jacov}\right)\right) \cdot \left(\left(\mathrm{Snip}\right)^2\right),L2-Norm Negative ZiCo Jacov Mul Sub Snip Square Mul <EOS>,((-(L2-Norm) - (ZiCo * Jacov)) * square(Snip)),0.619300000,0.645200000,74,9,4,2036,run_monash_time_unique1000,1,4,Monash__sunspot_dataset_without_missing_values/seed_2036/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.992792793,0.619300000,\left(\mathrm{L2Norm} + \left(\mathrm{Jacov}\right) \cdot \left(\mathrm{ZiCo}\right)\right) \cdot \left(-\left(\mathrm{Snip}\right)^2\right),L2-Norm Jacov ZiCo Mul Add Snip Square Negative Mul <EOS>,((L2-Norm + (Jacov * ZiCo)) * -(square(Snip))),0.619300000,0.645200000,70,9,4,2040,run_monash_time_unique1000,1,2,Monash__sunspot_dataset_without_missing_values/seed_2040/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.991891892,0.619300000,\left(-\mathrm{L2Norm} - \left(\mathrm{Jacov}\right) \cdot \left(\mathrm{ZiCo}\right)\right) \cdot \left(\left(\mathrm{Snip}\right)^2\right),L2-Norm Negative Jacov ZiCo Mul Sub Snip Square Mul <EOS>,((-(L2-Norm) - (Jacov * ZiCo)) * square(Snip)),0.619300000,0.645200000,104,9,4,2042,run_monash_time_unique1000,1,5,Monash__sunspot_dataset_without_missing_values/seed_2042/run_monash_time_unique1000/visualizations/archive_latex.tex
