rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.815000000,\frac{\left(\mathrm{JacobFro} - \sqrt{\mathrm{GradNorm}}\right)^2}{\frac{\mathrm{Jacov}}{\mathrm{L2Norm}}},Jacob_fro Grad_Norm Sqrt Sub Square Jacov L2-Norm Div Div <EOS>,(square((Jacob_fro - sqrt(Grad_Norm))) / (Jacov / L2-Norm)),0.815000000,0.725800000,161,9,5,2233,run_monash_time_unique1000,1,1,Monash__traffic_hourly_dataset/seed_2233/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.999099099,0.813900000,\frac{\left(\left(\mathrm{JacobFro}\right)^2 + \frac{\mathrm{GraSP}}{\mathrm{L2Norm}}\right)^2}{\mathrm{Jacov}},Jacob_fro Square GraSP L2-Norm Div Add Square Jacov Div <EOS>,(square((square(Jacob_fro) + (GraSP / L2-Norm))) / Jacov),0.813900000,0.769900000,41,9,5,2119,run_monash_time_unique1000,1,1,Monash__traffic_hourly_dataset/seed_2119/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.998198198,0.813900000,\frac{\sqrt{\mathrm{Jacov}}}{\left(\mathrm{JacobFro}\right)^2 + \frac{\mathrm{GraSP}}{\mathrm{L2Norm}}},Jacov Sqrt Jacob_fro Square GraSP L2-Norm Div Add Div <EOS>,(sqrt(Jacov) / (square(Jacob_fro) + (GraSP / L2-Norm))),0.813900000,0.769900000,25,9,4,2156,run_monash_time_unique1000,1,1,Monash__traffic_hourly_dataset/seed_2156/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.997297297,0.813900000,\frac{\sqrt{\mathrm{Jacov}}}{\frac{\mathrm{GraSP}}{\mathrm{L2Norm}} + \left(\mathrm{JacobFro}\right)^2},Jacov Sqrt GraSP L2-Norm Div Jacob_fro Square Add Div <EOS>,(sqrt(Jacov) / ((GraSP / L2-Norm) + square(Jacob_fro))),0.813900000,0.769900000,123,9,4,2292,run_monash_time_unique1000,1,1,Monash__traffic_hourly_dataset/seed_2292/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.996396396,0.813600000,\frac{\left(\left(\log\left(\mathrm{Snip}\right) - \mathrm{JacobFro}\right)^2\right) \cdot \left(\mathrm{L2Norm}\right)}{\mathrm{Jacov}},Snip Log Jacob_fro Sub Square L2-Norm Mul Jacov Div <EOS>,((square((log(Snip) - Jacob_fro)) * L2-Norm) / Jacov),0.813600000,0.742100000,87,9,6,2089,run_monash_time_unique1000,1,1,Monash__traffic_hourly_dataset/seed_2089/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.995495495,0.813600000,\left(\mathrm{L2Norm}\right) \cdot \left(\frac{\left(\mathrm{JacobFro} - \log\left(\mathrm{Snip}\right)\right)^2}{\mathrm{Jacov}}\right),L2-Norm Jacob_fro Snip Log Sub Square Jacov Div Mul <EOS>,(L2-Norm * (square((Jacob_fro - log(Snip))) / Jacov)),0.813600000,0.742100000,27,9,6,2255,run_monash_time_unique1000,1,1,Monash__traffic_hourly_dataset/seed_2255/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.994594595,0.812800000,\frac{\left(\mathrm{JacobFro} - \log\left(\frac{\mathrm{Snip}}{\mathrm{MParams}}\right)\right)^2}{\mathrm{Jacov}},Jacob_fro Snip MParams Div Log Sub Square Jacov Div <EOS>,(square((Jacob_fro - log((Snip / MParams)))) / Jacov),0.812800000,0.736000000,105,9,6,2096,run_monash_time_unique1000,1,5,Monash__traffic_hourly_dataset/seed_2096/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.993693694,0.812800000,\frac{\log\left(\frac{\mathrm{Snip}}{\mathrm{MParams}}\right) - \mathrm{JacobFro}}{\sqrt{\mathrm{Jacov}}},Snip MParams Div Log Jacob_fro Sub Jacov Sqrt Div <EOS>,((log((Snip / MParams)) - Jacob_fro) / sqrt(Jacov)),0.812800000,0.736000000,101,9,5,2262,run_monash_time_unique1000,1,1,Monash__traffic_hourly_dataset/seed_2262/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.992792793,0.812200000,\frac{\left(\log\left(\mathrm{Jacov} + \mathrm{GraSP}\right) - \mathrm{JacobFro}\right)^2}{\mathrm{Jacov}},Jacov GraSP Add Log Jacob_fro Sub Square Jacov Div <EOS>,(square((log((Jacov + GraSP)) - Jacob_fro)) / Jacov),0.812200000,0.757500000,32,9,6,2029,run_monash_time_unique1000,1,3,Monash__traffic_hourly_dataset/seed_2029/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.991891892,0.812200000,\frac{\sqrt{\mathrm{Jacov}}}{\mathrm{JacobFro} - \log\left(\mathrm{Jacov} + \mathrm{GraSP}\right)},Jacov Sqrt Jacob_fro Jacov GraSP Add Log Sub Div <EOS>,(sqrt(Jacov) / (Jacob_fro - log((Jacov + GraSP)))),0.812200000,0.757500000,55,9,5,2030,run_monash_time_unique1000,1,1,Monash__traffic_hourly_dataset/seed_2030/run_monash_time_unique1000/visualizations/archive_latex.tex
11,0.990990991,0.812200000,\frac{\left(\mathrm{JacobFro} - \log\left(\mathrm{Jacov} + \mathrm{GraSP}\right)\right)^2}{\mathrm{Jacov}},Jacob_fro Jacov GraSP Add Log Sub Square Jacov Div <EOS>,(square((Jacob_fro - log((Jacov + GraSP)))) / Jacov),0.812200000,0.757500000,38,9,6,2048,run_monash_time_unique1000,1,10,Monash__traffic_hourly_dataset/seed_2048/run_monash_time_unique1000/visualizations/archive_latex.tex
12,0.990090090,0.812200000,\frac{\left(\mathrm{JacobFro} - \log\left(\mathrm{GraSP} + \mathrm{Jacov}\right)\right)^2}{\mathrm{Jacov}},Jacob_fro GraSP Jacov Add Log Sub Square Jacov Div <EOS>,(square((Jacob_fro - log((GraSP + Jacov)))) / Jacov),0.812200000,0.757500000,128,9,6,2057,run_monash_time_unique1000,1,8,Monash__traffic_hourly_dataset/seed_2057/run_monash_time_unique1000/visualizations/archive_latex.tex
