rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.807000000,\mathrm{GFLOPs} - \frac{\mathrm{JacobFro}}{\left(\mathrm{L2Norm}\right) \cdot \left(\sqrt{\mathrm{GSynFlow}}\right)},GFLOPs Jacob_fro L2-Norm GSynFlow Sqrt Mul Div Sub <EOS>,(GFLOPs - (Jacob_fro / (L2-Norm * sqrt(GSynFlow)))),0.807000000,0.771900000,173,8,5,2028,run_monash_time_unique1000,1,2,Monash__us_births_dataset/seed_2028/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.999099099,0.807000000,\mathrm{GFLOPs} - \frac{\mathrm{JacobFro}}{\left(\sqrt{\mathrm{GSynFlow}}\right) \cdot \left(\mathrm{L2Norm}\right)},GFLOPs Jacob_fro GSynFlow Sqrt L2-Norm Mul Div Sub <EOS>,(GFLOPs - (Jacob_fro / (sqrt(GSynFlow) * L2-Norm))),0.807000000,0.771900000,9,8,5,2100,run_monash_time_unique1000,1,1,Monash__us_births_dataset/seed_2100/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.998198198,0.807000000,\mathrm{GFLOPs} - \frac{\left(\mathrm{GradNorm}\right)^2}{\mathrm{Snip}},GFLOPs Grad_Norm Square Snip Div Sub <EOS>,(GFLOPs - (square(Grad_Norm) / Snip)),0.807000000,0.707100000,74,6,4,2209,run_monash_time_unique1000,1,1,Monash__us_births_dataset/seed_2209/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.997297297,0.806900000,\sqrt{\mathrm{GFLOPs}} - \frac{\left(\frac{\mathrm{GradNorm}}{\mathrm{Snip}}\right)^2}{\mathrm{GSynFlow}},GFLOPs Sqrt Grad_Norm Snip Div Square GSynFlow Div Sub <EOS>,(sqrt(GFLOPs) - (square((Grad_Norm / Snip)) / GSynFlow)),0.806900000,0.776000000,105,9,5,2274,run_monash_time_unique1000,1,1,Monash__us_births_dataset/seed_2274/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.996396396,0.805700000,\left(\mathrm{GFLOPs}\right)^2 + \frac{\log\left(\mathrm{GSynFlow}\right)}{\mathrm{ZiCo} + \mathrm{GSynFlow}},GFLOPs Square GSynFlow Log ZiCo GSynFlow Add Div Add <EOS>,(square(GFLOPs) + (log(GSynFlow) / (ZiCo + GSynFlow))),0.805700000,0.771700000,188,9,4,2276,run_monash_time_unique1000,1,1,Monash__us_births_dataset/seed_2276/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.995495495,0.804500000,\mathrm{GFLOPs} + \frac{\log\left(\mathrm{ZiCo}\right)}{\left(\mathrm{L2Norm}\right) \cdot \left(\mathrm{GSynFlow}\right)},GFLOPs ZiCo Log L2-Norm GSynFlow Mul Div Add <EOS>,(GFLOPs + (log(ZiCo) / (L2-Norm * GSynFlow))),0.804500000,0.770000000,11,8,4,2051,run_monash_time_unique1000,1,1,Monash__us_births_dataset/seed_2051/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.994594595,0.804500000,\frac{\frac{\log\left(\mathrm{ZiCo}\right)}{\mathrm{GSynFlow}}}{\mathrm{L2Norm}} + \mathrm{GFLOPs},ZiCo Log GSynFlow Div L2-Norm Div GFLOPs Add <EOS>,(((log(ZiCo) / GSynFlow) / L2-Norm) + GFLOPs),0.804500000,0.770000000,151,8,5,2143,run_monash_time_unique1000,1,1,Monash__us_births_dataset/seed_2143/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.993693694,0.804500000,\frac{\log\left(\mathrm{ZiCo}\right)}{\left(\mathrm{GSynFlow}\right) \cdot \left(\mathrm{L2Norm}\right)} + \mathrm{GFLOPs},ZiCo Log GSynFlow L2-Norm Mul Div GFLOPs Add <EOS>,((log(ZiCo) / (GSynFlow * L2-Norm)) + GFLOPs),0.804500000,0.770000000,73,8,4,2289,run_monash_time_unique1000,1,1,Monash__us_births_dataset/seed_2289/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.992792793,0.803900000,\mathrm{GFLOPs} - \frac{\sqrt{\log\left(\mathrm{ZiCo}\right)}}{\left(\mathrm{GSynFlow}\right) \cdot \left(\mathrm{L2Norm}\right)},GFLOPs ZiCo Log Sqrt GSynFlow L2-Norm Mul Div Sub <EOS>,(GFLOPs - (sqrt(log(ZiCo)) / (GSynFlow * L2-Norm))),0.803900000,0.769300000,127,9,5,2292,run_monash_time_unique1000,1,1,Monash__us_births_dataset/seed_2292/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.991891892,0.803500000,\log\left(\mathrm{GSynFlow}\right) + \left(\mathrm{GFLOPs}\right)^2 - \mathrm{JacobFro},GSynFlow Log GFLOPs Square Jacob_fro Sub Add <EOS>,(log(GSynFlow) + (square(GFLOPs) - Jacob_fro)),0.803500000,0.737100000,58,7,4,2065,run_monash_time_unique1000,1,1,Monash__us_births_dataset/seed_2065/run_monash_time_unique1000/visualizations/archive_latex.tex
11,0.990990991,0.803500000,\left(\mathrm{GFLOPs}\right)^2 - \mathrm{JacobFro} - \log\left(\mathrm{GSynFlow}\right),GFLOPs Square Jacob_fro GSynFlow Log Sub Sub <EOS>,(square(GFLOPs) - (Jacob_fro - log(GSynFlow))),0.803500000,0.737100000,98,7,4,2088,run_monash_time_unique1000,1,2,Monash__us_births_dataset/seed_2088/run_monash_time_unique1000/visualizations/archive_latex.tex
12,0.990090090,0.803500000,\left(\mathrm{GFLOPs}\right)^2 - \mathrm{JacobFro} + \log\left(\mathrm{GSynFlow}\right),GFLOPs Square Jacob_fro Sub GSynFlow Log Add <EOS>,((square(GFLOPs) - Jacob_fro) + log(GSynFlow)),0.803500000,0.737100000,149,7,4,2093,run_monash_time_unique1000,1,1,Monash__us_births_dataset/seed_2093/run_monash_time_unique1000/visualizations/archive_latex.tex
13,0.989189189,0.803500000,\left(\mathrm{GFLOPs}\right)^2 + \log\left(\mathrm{GSynFlow}\right) - \mathrm{JacobFro},GFLOPs Square GSynFlow Log Add Jacob_fro Sub <EOS>,((square(GFLOPs) + log(GSynFlow)) - Jacob_fro),0.803500000,0.737100000,169,7,4,2160,run_monash_time_unique1000,1,3,Monash__us_births_dataset/seed_2160/run_monash_time_unique1000/visualizations/archive_latex.tex
14,0.988288288,0.803500000,\log\left(\mathrm{GSynFlow}\right) - \mathrm{JacobFro} + \left(\mathrm{GFLOPs}\right)^2,GSynFlow Log Jacob_fro Sub GFLOPs Square Add <EOS>,((log(GSynFlow) - Jacob_fro) + square(GFLOPs)),0.803500000,0.737100000,111,7,4,2173,run_monash_time_unique1000,1,2,Monash__us_births_dataset/seed_2173/run_monash_time_unique1000/visualizations/archive_latex.tex
15,0.987387387,0.803500000,\log\left(\mathrm{GSynFlow}\right) + \left(\mathrm{GFLOPs}\right)^2 - \mathrm{JacobFro},GSynFlow Log GFLOPs Square Add Jacob_fro Sub <EOS>,((log(GSynFlow) + square(GFLOPs)) - Jacob_fro),0.803500000,0.737100000,101,7,4,2179,run_monash_time_unique1000,1,3,Monash__us_births_dataset/seed_2179/run_monash_time_unique1000/visualizations/archive_latex.tex
16,0.986486486,0.803500000,\left(\mathrm{GFLOPs}\right)^2 + \log\left(\mathrm{GSynFlow}\right) - \mathrm{JacobFro},GFLOPs Square GSynFlow Log Jacob_fro Sub Add <EOS>,(square(GFLOPs) + (log(GSynFlow) - Jacob_fro)),0.803500000,0.737100000,151,7,4,2239,run_monash_time_unique1000,1,1,Monash__us_births_dataset/seed_2239/run_monash_time_unique1000/visualizations/archive_latex.tex
17,0.985585586,0.803500000,\left(\left(\left(\mathrm{ZiCo}\right)^2\right) \cdot \left(\mathrm{GFLOPs}\right)\right) \cdot \left(\mathrm{JacobFro}\right) - \mathrm{JacobFro},ZiCo Square GFLOPs Mul Jacob_fro Mul Jacob_fro Sub <EOS>,(((square(ZiCo) * GFLOPs) * Jacob_fro) - Jacob_fro),0.803500000,0.720700000,48,8,5,2271,run_monash_time_unique1000,1,1,Monash__us_births_dataset/seed_2271/run_monash_time_unique1000/visualizations/archive_latex.tex
