rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.628400000,\frac{\frac{\mathrm{JacobFro}}{\left(\mathrm{ZiCo}\right)^2}}{\mathrm{Snip}} - \mathrm{GSynFlow},Jacob_fro ZiCo Square Div Snip Div GSynFlow Sub <EOS>,(((Jacob_fro / square(ZiCo)) / Snip) - GSynFlow),0.628400000,0.392100000,9,8,5,2120,run_monash_time_unique1000,1,1,Monash__weather_dataset/seed_2120/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.999099099,0.628400000,\frac{\mathrm{JacobFro}}{\left(\mathrm{Snip}\right) \cdot \left(\left(\mathrm{ZiCo}\right)^2\right)} - \mathrm{GSynFlow},Jacob_fro Snip ZiCo Square Mul Div GSynFlow Sub <EOS>,((Jacob_fro / (Snip * square(ZiCo))) - GSynFlow),0.628400000,0.392100000,72,8,5,2141,run_monash_time_unique1000,1,1,Monash__weather_dataset/seed_2141/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.998198198,0.628400000,\frac{\mathrm{JacobFro}}{\left(\left(\mathrm{ZiCo}\right)^2\right) \cdot \left(\mathrm{Snip}\right)} - \mathrm{GSynFlow},Jacob_fro ZiCo Square Snip Mul Div GSynFlow Sub <EOS>,((Jacob_fro / (square(ZiCo) * Snip)) - GSynFlow),0.628400000,0.392100000,5,8,5,2164,run_monash_time_unique1000,1,1,Monash__weather_dataset/seed_2164/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.997297297,0.620700000,\frac{\sqrt{\mathrm{JacobFro}}}{\mathrm{Snip} - \mathrm{GSynFlow}} - \log\left(\mathrm{ZiCo}\right),Jacob_fro Sqrt Snip GSynFlow Sub Div ZiCo Log Sub <EOS>,((sqrt(Jacob_fro) / (Snip - GSynFlow)) - log(ZiCo)),0.620700000,0.407600000,37,9,4,2043,run_monash_time_unique1000,1,1,Monash__weather_dataset/seed_2043/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.996396396,0.614400000,\frac{\mathrm{JacobFro}}{\left(\mathrm{Snip}\right)^2 - \left(\mathrm{GSynFlow}\right)^2} - \mathrm{ZiCo},Jacob_fro Snip Square GSynFlow Square Sub Div ZiCo Sub <EOS>,((Jacob_fro / (square(Snip) - square(GSynFlow))) - ZiCo),0.614400000,0.417000000,49,9,5,2295,run_monash_time_unique1000,1,1,Monash__weather_dataset/seed_2295/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.995495495,0.611600000,\frac{\mathrm{JacobFro}}{\left(\mathrm{Snip} - \mathrm{GSynFlow}\right) \cdot \left(\left(\mathrm{ZiCo}\right)^2\right)},Jacob_fro Snip GSynFlow Sub ZiCo Square Mul Div <EOS>,(Jacob_fro / ((Snip - GSynFlow) * square(ZiCo))),0.611600000,0.384200000,18,8,4,2031,run_monash_time_unique1000,1,7,Monash__weather_dataset/seed_2031/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.994594595,0.611600000,\frac{\frac{\mathrm{JacobFro}}{\mathrm{Snip} - \mathrm{GSynFlow}}}{\left(\mathrm{ZiCo}\right)^2},Jacob_fro Snip GSynFlow Sub Div ZiCo Square Div <EOS>,((Jacob_fro / (Snip - GSynFlow)) / square(ZiCo)),0.611600000,0.384200000,125,8,4,2038,run_monash_time_unique1000,1,3,Monash__weather_dataset/seed_2038/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.993693694,0.611600000,\frac{\mathrm{JacobFro}}{\left(\left(\mathrm{ZiCo}\right)^2\right) \cdot \left(\mathrm{Snip} - \mathrm{GSynFlow}\right)},Jacob_fro ZiCo Square Snip GSynFlow Sub Mul Div <EOS>,(Jacob_fro / (square(ZiCo) * (Snip - GSynFlow))),0.611600000,0.384200000,113,8,4,2039,run_monash_time_unique1000,1,3,Monash__weather_dataset/seed_2039/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.992792793,0.611600000,\frac{\frac{\mathrm{JacobFro}}{\left(\mathrm{ZiCo}\right)^2}}{\mathrm{Snip} - \mathrm{GSynFlow}},Jacob_fro ZiCo Square Div Snip GSynFlow Sub Div <EOS>,((Jacob_fro / square(ZiCo)) / (Snip - GSynFlow)),0.611600000,0.384200000,86,8,4,2050,run_monash_time_unique1000,1,10,Monash__weather_dataset/seed_2050/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.991891892,0.611600000,\frac{\left(\frac{\sqrt{\mathrm{JacobFro}}}{\mathrm{ZiCo}}\right)^2}{\mathrm{Snip} - \mathrm{GSynFlow}},Jacob_fro Sqrt ZiCo Div Square Snip GSynFlow Sub Div <EOS>,(square((sqrt(Jacob_fro) / ZiCo)) / (Snip - GSynFlow)),0.611600000,0.384200000,33,9,5,2239,run_monash_time_unique1000,1,2,Monash__weather_dataset/seed_2239/run_monash_time_unique1000/visualizations/archive_latex.tex
11,0.990990991,0.611600000,\frac{\mathrm{JacobFro}}{\left(\mathrm{Snip} + -\mathrm{GSynFlow}\right) \cdot \left(\left(\mathrm{ZiCo}\right)^2\right)},Jacob_fro Snip GSynFlow Negative Add ZiCo Square Mul Div <EOS>,(Jacob_fro / ((Snip + -(GSynFlow)) * square(ZiCo))),0.611600000,0.384200000,15,9,5,2297,run_monash_time_unique1000,1,1,Monash__weather_dataset/seed_2297/run_monash_time_unique1000/visualizations/archive_latex.tex
12,0.990090090,0.605700000,\frac{\frac{\sqrt{\mathrm{JacobFro}}}{\mathrm{Snip} - \mathrm{GSynFlow}}}{\left(\mathrm{ZiCo}\right)^2},Jacob_fro Sqrt Snip GSynFlow Sub Div ZiCo Square Div <EOS>,((sqrt(Jacob_fro) / (Snip - GSynFlow)) / square(ZiCo)),0.605700000,0.400800000,100,9,4,2099,run_monash_time_unique1000,2,1,Monash__weather_dataset/seed_2099/run_monash_time_unique1000/visualizations/archive_latex.tex
13,0.989189189,0.603000000,\frac{\mathrm{JacobFro}}{\mathrm{Snip}} - \left(\log\left(\mathrm{MParams} - \mathrm{GSynFlow}\right)\right)^2,Jacob_fro Snip Div MParams GSynFlow Sub Log Square Sub <EOS>,((Jacob_fro / Snip) - square(log((MParams - GSynFlow)))),0.603000000,0.400400000,199,9,5,2129,run_monash_time_unique1000,1,2,Monash__weather_dataset/seed_2129/run_monash_time_unique1000/visualizations/archive_latex.tex
14,0.988288288,0.603000000,\frac{\mathrm{JacobFro}}{\mathrm{Snip}} - \left(\log\left(\mathrm{GSynFlow} - \mathrm{MParams}\right)\right)^2,Jacob_fro Snip Div GSynFlow MParams Sub Log Square Sub <EOS>,((Jacob_fro / Snip) - square(log((GSynFlow - MParams)))),0.603000000,0.400400000,197,9,5,2139,run_monash_time_unique1000,1,5,Monash__weather_dataset/seed_2139/run_monash_time_unique1000/visualizations/archive_latex.tex
15,0.987387387,0.602600000,\frac{\left(\mathrm{Fisher}\right)^2 + \sqrt{\mathrm{JacobFro}}}{\mathrm{Snip} - \mathrm{GSynFlow}},Fisher Square Jacob_fro Sqrt Add Snip GSynFlow Sub Div <EOS>,((square(Fisher) + sqrt(Jacob_fro)) / (Snip - GSynFlow)),0.602600000,0.394300000,28,9,4,2049,run_monash_time_unique1000,1,6,Monash__weather_dataset/seed_2049/run_monash_time_unique1000/visualizations/archive_latex.tex
