rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.673200000,\frac{\mathrm{MParams} - \mathrm{GSynFlow}}{\left(\sqrt{\mathrm{JacobFro}}\right) \cdot \left(\mathrm{GFLOPs}\right)},MParams GSynFlow Sub Jacob_fro Sqrt GFLOPs Mul Div <EOS>,((MParams - GSynFlow) / (sqrt(Jacob_fro) * GFLOPs)),0.673200000,0.479300000,13,8,4,2181,run_monash_time_unique1000,1,1,Monash__wind_4_seconds_dataset/seed_2181/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.999099099,0.673200000,\frac{\frac{\mathrm{MParams} - \mathrm{GSynFlow}}{\sqrt{\mathrm{JacobFro}}}}{\mathrm{GFLOPs}},MParams GSynFlow Sub Jacob_fro Sqrt Div GFLOPs Div <EOS>,(((MParams - GSynFlow) / sqrt(Jacob_fro)) / GFLOPs),0.673200000,0.479300000,134,8,4,2196,run_monash_time_unique1000,1,1,Monash__wind_4_seconds_dataset/seed_2196/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.998198198,0.666700000,\frac{\frac{\mathrm{MParams} - \sqrt{\mathrm{GSynFlow}}}{\mathrm{GFLOPs}}}{\mathrm{JacobFro}},MParams GSynFlow Sqrt Sub GFLOPs Div Jacob_fro Div <EOS>,(((MParams - sqrt(GSynFlow)) / GFLOPs) / Jacob_fro),0.666700000,0.481600000,194,8,5,2130,run_monash_time_unique1000,1,1,Monash__wind_4_seconds_dataset/seed_2130/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.997297297,0.664400000,\frac{\frac{\mathrm{MParams} - \mathrm{GSynFlow}}{\mathrm{GFLOPs}}}{\mathrm{JacobFro}},MParams GSynFlow Sub GFLOPs Div Jacob_fro Div <EOS>,(((MParams - GSynFlow) / GFLOPs) / Jacob_fro),0.664400000,0.476600000,5,7,4,2060,run_monash_time_unique1000,1,2,Monash__wind_4_seconds_dataset/seed_2060/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.996396396,0.664400000,\frac{\mathrm{MParams} - \mathrm{GSynFlow}}{\left(\mathrm{JacobFro}\right) \cdot \left(\mathrm{GFLOPs}\right)},MParams GSynFlow Sub Jacob_fro GFLOPs Mul Div <EOS>,((MParams - GSynFlow) / (Jacob_fro * GFLOPs)),0.664400000,0.476600000,14,7,3,2181,run_monash_time_unique1000,2,1,Monash__wind_4_seconds_dataset/seed_2181/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.995495495,0.655200000,\left(-\mathrm{GraSP} + \mathrm{JacobFro}\right) \cdot \left(\sqrt{\left(\mathrm{GSynFlow}\right) \cdot \left(\mathrm{Fisher}\right)}\right),GraSP Jacob_fro Add Negative GSynFlow Fisher Mul Sqrt Mul <EOS>,(-((GraSP + Jacob_fro)) * sqrt((GSynFlow * Fisher))),0.655200000,0.493500000,166,9,4,2034,run_monash_time_unique1000,1,2,Monash__wind_4_seconds_dataset/seed_2034/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.994594595,0.655200000,\left(-\sqrt{\left(\mathrm{Fisher}\right) \cdot \left(\mathrm{GSynFlow}\right)}\right) \cdot \left(\mathrm{JacobFro} + \mathrm{GraSP}\right),Fisher GSynFlow Mul Sqrt Negative Jacob_fro GraSP Add Mul <EOS>,(-(sqrt((Fisher * GSynFlow))) * (Jacob_fro + GraSP)),0.655200000,0.493500000,142,9,5,2038,run_monash_time_unique1000,1,1,Monash__wind_4_seconds_dataset/seed_2038/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.993693694,0.655200000,\left(\sqrt{\left(\mathrm{Fisher}\right) \cdot \left(\mathrm{GSynFlow}\right)}\right) \cdot \left(-\mathrm{GraSP} + \mathrm{JacobFro}\right),Fisher GSynFlow Mul Sqrt GraSP Jacob_fro Add Negative Mul <EOS>,(sqrt((Fisher * GSynFlow)) * -((GraSP + Jacob_fro))),0.655200000,0.493500000,103,9,4,2051,run_monash_time_unique1000,1,2,Monash__wind_4_seconds_dataset/seed_2051/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.992792793,0.655200000,\left(\sqrt{\left(\mathrm{GSynFlow}\right) \cdot \left(\mathrm{Fisher}\right)}\right) \cdot \left(-\mathrm{JacobFro} - \mathrm{GraSP}\right),GSynFlow Fisher Mul Sqrt Jacob_fro Negative GraSP Sub Mul <EOS>,(sqrt((GSynFlow * Fisher)) * (-(Jacob_fro) - GraSP)),0.655200000,0.493500000,123,9,4,2069,run_monash_time_unique1000,1,1,Monash__wind_4_seconds_dataset/seed_2069/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.991891892,0.655200000,\left(\sqrt{\left(\mathrm{Fisher}\right) \cdot \left(\mathrm{GSynFlow}\right)}\right) \cdot \left(-\mathrm{GraSP} - \mathrm{JacobFro}\right),Fisher GSynFlow Mul Sqrt GraSP Negative Jacob_fro Sub Mul <EOS>,(sqrt((Fisher * GSynFlow)) * (-(GraSP) - Jacob_fro)),0.655200000,0.493500000,160,9,4,2094,run_monash_time_unique1000,1,1,Monash__wind_4_seconds_dataset/seed_2094/run_monash_time_unique1000/visualizations/archive_latex.tex
11,0.990990991,0.655200000,\left(-\mathrm{GraSP} - \mathrm{JacobFro}\right) \cdot \left(\sqrt{\left(\mathrm{GSynFlow}\right) \cdot \left(\mathrm{Fisher}\right)}\right),GraSP Negative Jacob_fro Sub GSynFlow Fisher Mul Sqrt Mul <EOS>,((-(GraSP) - Jacob_fro) * sqrt((GSynFlow * Fisher))),0.655200000,0.493500000,109,9,4,2154,run_monash_time_unique1000,1,1,Monash__wind_4_seconds_dataset/seed_2154/run_monash_time_unique1000/visualizations/archive_latex.tex
12,0.990090090,0.655200000,\left(-\mathrm{JacobFro} + \mathrm{GraSP}\right) \cdot \left(\sqrt{\left(\mathrm{Fisher}\right) \cdot \left(\mathrm{GSynFlow}\right)}\right),Jacob_fro GraSP Add Negative Fisher GSynFlow Mul Sqrt Mul <EOS>,(-((Jacob_fro + GraSP)) * sqrt((Fisher * GSynFlow))),0.655200000,0.493500000,115,9,4,2162,run_monash_time_unique1000,1,1,Monash__wind_4_seconds_dataset/seed_2162/run_monash_time_unique1000/visualizations/archive_latex.tex
13,0.989189189,0.655200000,\left(\sqrt{\left(\mathrm{GSynFlow}\right) \cdot \left(\mathrm{Fisher}\right)}\right) \cdot \left(-\mathrm{GraSP} - \mathrm{JacobFro}\right),GSynFlow Fisher Mul Sqrt GraSP Negative Jacob_fro Sub Mul <EOS>,(sqrt((GSynFlow * Fisher)) * (-(GraSP) - Jacob_fro)),0.655200000,0.493500000,35,9,4,2169,run_monash_time_unique1000,1,1,Monash__wind_4_seconds_dataset/seed_2169/run_monash_time_unique1000/visualizations/archive_latex.tex
14,0.988288288,0.655200000,\left(\sqrt{\left(\mathrm{Fisher}\right) \cdot \left(\mathrm{GSynFlow}\right)}\right) \cdot \left(-\mathrm{JacobFro} + \mathrm{GraSP}\right),Fisher GSynFlow Mul Sqrt Jacob_fro GraSP Add Negative Mul <EOS>,(sqrt((Fisher * GSynFlow)) * -((Jacob_fro + GraSP))),0.655200000,0.493500000,189,9,4,2188,run_monash_time_unique1000,1,1,Monash__wind_4_seconds_dataset/seed_2188/run_monash_time_unique1000/visualizations/archive_latex.tex
