rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.629700000,\frac{\mathrm{Jacov} + \left(\mathrm{GradNorm}\right)^2}{\sqrt{\mathrm{Jacov}} - \mathrm{ZiCo}},Jacov Grad_Norm Square Add Jacov Sqrt ZiCo Sub Div <EOS>,((Jacov + square(Grad_Norm)) / (sqrt(Jacov) - ZiCo)),0.629700000,0.574400000,142,9,4,2172,run_monash_time_unique1000,1,2,Monash__wind_farms_minutely_dataset_without_missing_values/seed_2172/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.999088146,0.626500000,\left(\mathrm{GradNorm}\right)^2 - \frac{\log\left(\mathrm{GSynFlow}\right)}{\mathrm{Fisher}} + \mathrm{Jacov},Grad_Norm Square GSynFlow Log Fisher Div Sub Jacov Add <EOS>,((square(Grad_Norm) - (log(GSynFlow) / Fisher)) + Jacov),0.626500000,0.517100000,7,9,5,2037,run_monash_time_unique1000,1,2,Monash__wind_farms_minutely_dataset_without_missing_values/seed_2037/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.998176292,0.626500000,\mathrm{Jacov} + \left(\mathrm{GradNorm}\right)^2 - \frac{\log\left(\mathrm{GSynFlow}\right)}{\mathrm{Fisher}},Jacov Grad_Norm Square Add GSynFlow Log Fisher Div Sub <EOS>,((Jacov + square(Grad_Norm)) - (log(GSynFlow) / Fisher)),0.626500000,0.517100000,174,9,4,2057,run_monash_time_unique1000,1,3,Monash__wind_farms_minutely_dataset_without_missing_values/seed_2057/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.997264438,0.626500000,\left(\mathrm{GradNorm}\right)^2 + \mathrm{Jacov} - \frac{\log\left(\mathrm{GSynFlow}\right)}{\mathrm{Fisher}},Grad_Norm Square Jacov Add GSynFlow Log Fisher Div Sub <EOS>,((square(Grad_Norm) + Jacov) - (log(GSynFlow) / Fisher)),0.626500000,0.517100000,187,9,4,2309,run_monash_time_unique1000,1,1,Monash__wind_farms_minutely_dataset_without_missing_values/seed_2309/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.996352584,0.621600000,\left(\sqrt{\mathrm{JacobFro}}\right) \cdot \left(\left(\mathrm{MParams}\right) \cdot \left(\log\left(\mathrm{plain}\right)\right)\right) + \mathrm{Jacov},Jacob_fro Sqrt MParams plain Log Mul Mul Jacov Add <EOS>,((sqrt(Jacob_fro) * (MParams * log(plain))) + Jacov),0.621600000,0.520300000,197,9,5,2080,run_monash_time_unique1000,1,2,Monash__wind_farms_minutely_dataset_without_missing_values/seed_2080/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.995440729,0.617000000,\left(\left(\mathrm{GradNorm}\right)^2 - \mathrm{L2Norm}\right) \cdot \left(\mathrm{GFLOPs}\right) + \mathrm{Jacov},Grad_Norm Square L2-Norm Sub GFLOPs Mul Jacov Add <EOS>,(((square(Grad_Norm) - L2-Norm) * GFLOPs) + Jacov),0.617000000,0.591600000,125,8,5,2299,run_monash_time_unique1000,1,1,Monash__wind_farms_minutely_dataset_without_missing_values/seed_2299/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.994528875,0.613400000,\mathrm{Jacov} + \mathrm{Snip} - \left(\log\left(\mathrm{Jacov}\right)\right) \cdot \left(\log\left(\mathrm{GSynFlow}\right)\right),Jacov Snip Add Jacov Log GSynFlow Log Mul Sub <EOS>,((Jacov + Snip) - (log(Jacov) * log(GSynFlow))),0.613400000,0.483800000,9,9,4,2251,run_monash_time_unique1000,1,1,Monash__wind_farms_minutely_dataset_without_missing_values/seed_2251/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.993617021,0.610800000,\mathrm{Jacov} + \left(\mathrm{GradNorm}\right)^2 - \frac{\log\left(\mathrm{GSynFlow}\right)}{\mathrm{ZiCo}},Jacov Grad_Norm Square Add GSynFlow Log ZiCo Div Sub <EOS>,((Jacov + square(Grad_Norm)) - (log(GSynFlow) / ZiCo)),0.610800000,0.553300000,166,9,4,2109,run_monash_time_unique1000,1,1,Monash__wind_farms_minutely_dataset_without_missing_values/seed_2109/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.992705167,0.610700000,\frac{\mathrm{MParams}}{\mathrm{GSynFlow}} + \mathrm{Jacov} + \left(\mathrm{GradNorm}\right)^2,MParams GSynFlow Div Jacov Add Grad_Norm Square Add <EOS>,(((MParams / GSynFlow) + Jacov) + square(Grad_Norm)),0.610700000,0.444000000,60,8,4,2287,run_monash_time_unique1000,1,1,Monash__wind_farms_minutely_dataset_without_missing_values/seed_2287/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.991793313,0.607700000,\left(\mathrm{GradNorm}\right)^2 + \mathrm{Jacov} + \frac{\left(\mathrm{MParams}\right)^2}{\mathrm{GSynFlow}},Grad_Norm Square Jacov Add MParams Square GSynFlow Div Add <EOS>,((square(Grad_Norm) + Jacov) + (square(MParams) / GSynFlow)),0.607700000,0.505700000,104,9,4,2031,run_monash_time_unique1000,1,7,Monash__wind_farms_minutely_dataset_without_missing_values/seed_2031/run_monash_time_unique1000/visualizations/archive_latex.tex
