rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.751500000,\log\left(\mathrm{Jacov}\right) - \mathrm{JacobFro} - \left(\left(\mathrm{ZiCo}\right)^2\right) \cdot \left(\mathrm{L2Norm}\right),Jacov Log Jacob_fro ZiCo Square L2-Norm Mul Sub Sub <EOS>,(log(Jacov) - (Jacob_fro - (square(ZiCo) * L2-Norm))),0.751500000,0.805900000,179,9,5,2051,run_monash_time_unique1000,1,1,TIME__Australia_Solar__H/seed_2051/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.999099099,0.751500000,\left(\left(\mathrm{ZiCo}\right)^2\right) \cdot \left(\mathrm{L2Norm}\right) + \log\left(\mathrm{Jacov}\right) - \mathrm{JacobFro},ZiCo Square L2-Norm Mul Jacov Log Add Jacob_fro Sub <EOS>,(((square(ZiCo) * L2-Norm) + log(Jacov)) - Jacob_fro),0.751500000,0.805900000,22,9,5,2255,run_monash_time_unique1000,1,1,TIME__Australia_Solar__H/seed_2255/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.998198198,0.751500000,\log\left(\mathrm{Jacov}\right) + \left(\mathrm{L2Norm}\right) \cdot \left(\left(\mathrm{ZiCo}\right)^2\right) - \mathrm{JacobFro},Jacov Log L2-Norm ZiCo Square Mul Jacob_fro Sub Add <EOS>,(log(Jacov) + ((L2-Norm * square(ZiCo)) - Jacob_fro)),0.751500000,0.805900000,19,9,5,2323,run_monash_time_unique1000,1,1,TIME__Australia_Solar__H/seed_2323/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.997297297,0.742000000,\left(\log\left(\mathrm{GFLOPs}\right)\right) \cdot \left(\log\left(\mathrm{Jacov}\right)\right) - \frac{\mathrm{JacobFro}}{\mathrm{ZiCo}},GFLOPs Log Jacov Log Mul Jacob_fro ZiCo Div Sub <EOS>,((log(GFLOPs) * log(Jacov)) - (Jacob_fro / ZiCo)),0.742000000,0.790300000,162,9,4,2046,run_monash_time_unique1000,1,1,TIME__Australia_Solar__H/seed_2046/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.996396396,0.739700000,\frac{\left(\left(\mathrm{ZiCo}\right)^2\right) \cdot \left(\mathrm{L2Norm}\right) + \log\left(\mathrm{Jacov}\right)}{\mathrm{JacobFro}},ZiCo Square L2-Norm Mul Jacov Log Add Jacob_fro Div <EOS>,(((square(ZiCo) * L2-Norm) + log(Jacov)) / Jacob_fro),0.739700000,0.790700000,55,9,5,2255,run_monash_time_unique1000,2,1,TIME__Australia_Solar__H/seed_2255/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.995495495,0.739400000,\left(\left(\log\left(\mathrm{Jacov}\right)\right) \cdot \left(\mathrm{L2Norm}\right)\right) \cdot \left(\left(\frac{\mathrm{ZiCo}}{\mathrm{JacobFro}}\right)^2\right),Jacov Log L2-Norm Mul ZiCo Jacob_fro Div Square Mul <EOS>,((log(Jacov) * L2-Norm) * square((ZiCo / Jacob_fro))),0.739400000,0.773900000,68,9,4,2123,run_monash_time_unique1000,1,1,TIME__Australia_Solar__H/seed_2123/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.994594595,0.739300000,\frac{\log\left(\left(\mathrm{Jacov}\right) \cdot \left(\left(\mathrm{GFLOPs}\right)^2\right)\right) - \mathrm{JacobFro}}{\mathrm{ZiCo}},Jacov GFLOPs Square Mul Log Jacob_fro Sub ZiCo Div <EOS>,((log((Jacov * square(GFLOPs))) - Jacob_fro) / ZiCo),0.739300000,0.786200000,101,9,6,2041,run_monash_time_unique1000,1,1,TIME__Australia_Solar__H/seed_2041/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.993693694,0.738300000,\frac{\log\left(\left(\mathrm{GradNorm} + \mathrm{L2Norm}\right) \cdot \left(\left(\mathrm{ZiCo}\right)^2\right)\right)}{\mathrm{JacobFro}},Grad_Norm L2-Norm Add ZiCo Square Mul Log Jacob_fro Div <EOS>,(log(((Grad_Norm + L2-Norm) * square(ZiCo))) / Jacob_fro),0.738300000,0.792600000,18,9,5,2275,run_monash_time_unique1000,1,1,TIME__Australia_Solar__H/seed_2275/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.992792793,0.736600000,\mathrm{ZiCo} + \frac{\sqrt{\mathrm{L2Norm} + \mathrm{GradNorm}}}{\mathrm{JacobFro}},ZiCo L2-Norm Grad_Norm Add Sqrt Jacob_fro Div Add <EOS>,(ZiCo + (sqrt((L2-Norm + Grad_Norm)) / Jacob_fro)),0.736600000,0.786600000,48,8,5,2048,run_monash_time_unique1000,1,3,TIME__Australia_Solar__H/seed_2048/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.991891892,0.736600000,\mathrm{ZiCo} + \frac{\sqrt{\mathrm{GradNorm} + \mathrm{L2Norm}}}{\mathrm{JacobFro}},ZiCo Grad_Norm L2-Norm Add Sqrt Jacob_fro Div Add <EOS>,(ZiCo + (sqrt((Grad_Norm + L2-Norm)) / Jacob_fro)),0.736600000,0.786600000,26,8,5,2120,run_monash_time_unique1000,1,1,TIME__Australia_Solar__H/seed_2120/run_monash_time_unique1000/visualizations/archive_latex.tex
11,0.990990991,0.736600000,\frac{\left(\mathrm{ZiCo}\right) \cdot \left(\left(\log\left(\mathrm{GradNorm} + \mathrm{L2Norm}\right)\right)^2\right)}{\mathrm{JacobFro}},ZiCo Grad_Norm L2-Norm Add Log Square Mul Jacob_fro Div <EOS>,((ZiCo * square(log((Grad_Norm + L2-Norm)))) / Jacob_fro),0.736600000,0.791500000,42,9,6,2163,run_monash_time_unique1000,1,1,TIME__Australia_Solar__H/seed_2163/run_monash_time_unique1000/visualizations/archive_latex.tex
12,0.990090090,0.736600000,\left(\log\left(\mathrm{L2Norm} + \mathrm{GradNorm}\right)\right) \cdot \left(\sqrt{\frac{\mathrm{ZiCo}}{\mathrm{JacobFro}}}\right),L2-Norm Grad_Norm Add Log ZiCo Jacob_fro Div Sqrt Mul <EOS>,(log((L2-Norm + Grad_Norm)) * sqrt((ZiCo / Jacob_fro))),0.736600000,0.791500000,50,9,4,2123,run_monash_time_unique1000,2,1,TIME__Australia_Solar__H/seed_2123/run_monash_time_unique1000/visualizations/archive_latex.tex
13,0.989189189,0.736400000,\left(\frac{\log\left(\mathrm{Jacov}\right) - \mathrm{JacobFro}}{\mathrm{Snip}}\right) \cdot \left(\mathrm{GradNorm}\right),Jacov Log Jacob_fro Sub Snip Div Grad_Norm Mul <EOS>,(((log(Jacov) - Jacob_fro) / Snip) * Grad_Norm),0.736400000,0.784500000,78,8,5,2115,run_monash_time_unique1000,1,1,TIME__Australia_Solar__H/seed_2115/run_monash_time_unique1000/visualizations/archive_latex.tex
14,0.988288288,0.735300000,\left(\mathrm{ZiCo}\right)^2 + \frac{\mathrm{L2Norm} + \mathrm{GradNorm}}{\left(\mathrm{JacobFro}\right)^2},ZiCo Square L2-Norm Grad_Norm Add Jacob_fro Square Div Add <EOS>,(square(ZiCo) + ((L2-Norm + Grad_Norm) / square(Jacob_fro))),0.735300000,0.787400000,21,9,4,2048,run_monash_time_unique1000,2,1,TIME__Australia_Solar__H/seed_2048/run_monash_time_unique1000/visualizations/archive_latex.tex
15,0.987387387,0.734800000,\frac{\left(\log\left(\mathrm{Snip}\right) + \sqrt{\mathrm{L2Norm}}\right) \cdot \left(\mathrm{ZiCo}\right)}{\mathrm{JacobFro}},Snip Log L2-Norm Sqrt Add ZiCo Mul Jacob_fro Div <EOS>,(((log(Snip) + sqrt(L2-Norm)) * ZiCo) / Jacob_fro),0.734800000,0.797000000,177,9,5,2165,run_monash_time_unique1000,1,1,TIME__Australia_Solar__H/seed_2165/run_monash_time_unique1000/visualizations/archive_latex.tex
16,0.986486486,0.734800000,\left(\mathrm{ZiCo}\right) \cdot \left(\frac{\log\left(\mathrm{Snip}\right) + \sqrt{\mathrm{L2Norm}}}{\mathrm{JacobFro}}\right),ZiCo Snip Log L2-Norm Sqrt Add Jacob_fro Div Mul <EOS>,(ZiCo * ((log(Snip) + sqrt(L2-Norm)) / Jacob_fro)),0.734800000,0.797000000,20,9,5,2055,run_monash_time_unique1000,2,1,TIME__Australia_Solar__H/seed_2055/run_monash_time_unique1000/visualizations/archive_latex.tex
