rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.557600000,\sqrt{\mathrm{JacobFro} + \frac{\mathrm{L2Norm}}{\log\left(\mathrm{GSynFlow}\right)} - \mathrm{Jacov}},Jacob_fro L2-Norm GSynFlow Log Div Add Jacov Sub Sqrt <EOS>,sqrt(((Jacob_fro + (L2-Norm / log(GSynFlow))) - Jacov)),0.557600000,0.518300000,105,9,6,2030,run_monash_time_unique1000,1,2,TIME__CPHL__15T/seed_2030/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.999099099,0.557600000,\left(\frac{\mathrm{L2Norm}}{\log\left(\mathrm{GSynFlow}\right)} + \mathrm{JacobFro} - \mathrm{Jacov}\right)^2,L2-Norm GSynFlow Log Div Jacob_fro Add Jacov Sub Square <EOS>,square((((L2-Norm / log(GSynFlow)) + Jacob_fro) - Jacov)),0.557600000,0.518300000,80,9,6,2047,run_monash_time_unique1000,1,2,TIME__CPHL__15T/seed_2047/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.998198198,0.557600000,\sqrt{\frac{\mathrm{L2Norm}}{\log\left(\mathrm{GSynFlow}\right)} + \mathrm{JacobFro} - \mathrm{Jacov}},L2-Norm GSynFlow Log Div Jacob_fro Add Jacov Sub Sqrt <EOS>,sqrt((((L2-Norm / log(GSynFlow)) + Jacob_fro) - Jacov)),0.557600000,0.518300000,119,9,6,2104,run_monash_time_unique1000,1,1,TIME__CPHL__15T/seed_2104/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.997297297,0.557600000,\sqrt{\frac{\mathrm{L2Norm}}{\log\left(\mathrm{GSynFlow}\right)} - \mathrm{Jacov} - \mathrm{JacobFro}},L2-Norm GSynFlow Log Div Jacov Jacob_fro Sub Sub Sqrt <EOS>,sqrt(((L2-Norm / log(GSynFlow)) - (Jacov - Jacob_fro))),0.557600000,0.518300000,73,9,5,2112,run_monash_time_unique1000,1,2,TIME__CPHL__15T/seed_2112/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.996396396,0.557600000,\left(\frac{\mathrm{L2Norm}}{\log\left(\mathrm{GSynFlow}\right)} - \mathrm{Jacov} - \mathrm{JacobFro}\right)^2,L2-Norm GSynFlow Log Div Jacov Jacob_fro Sub Sub Square <EOS>,square(((L2-Norm / log(GSynFlow)) - (Jacov - Jacob_fro))),0.557600000,0.518300000,123,9,5,2120,run_monash_time_unique1000,1,1,TIME__CPHL__15T/seed_2120/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.995495495,0.557600000,\sqrt{\frac{\mathrm{L2Norm}}{\log\left(\mathrm{GSynFlow}\right)} - \mathrm{Jacov} + \mathrm{JacobFro}},L2-Norm GSynFlow Log Div Jacov Sub Jacob_fro Add Sqrt <EOS>,sqrt((((L2-Norm / log(GSynFlow)) - Jacov) + Jacob_fro)),0.557600000,0.518300000,73,9,6,2130,run_monash_time_unique1000,1,1,TIME__CPHL__15T/seed_2130/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.994594595,0.557600000,\log\left(\frac{\mathrm{L2Norm}}{\log\left(\mathrm{GSynFlow}\right)} - \mathrm{Jacov} - \mathrm{JacobFro}\right),L2-Norm GSynFlow Log Div Jacov Jacob_fro Sub Sub Log <EOS>,log(((L2-Norm / log(GSynFlow)) - (Jacov - Jacob_fro))),0.557600000,0.518300000,124,9,5,2160,run_monash_time_unique1000,1,2,TIME__CPHL__15T/seed_2160/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.993693694,0.551100000,\frac{\left(\frac{\mathrm{L2Norm}}{\log\left(\mathrm{GSynFlow}\right)} - \mathrm{Jacov}\right)^2}{\mathrm{L2Norm}},L2-Norm GSynFlow Log Div Jacov Sub Square L2-Norm Div <EOS>,(square(((L2-Norm / log(GSynFlow)) - Jacov)) / L2-Norm),0.551100000,0.550000000,158,9,6,2117,run_monash_time_unique1000,1,3,TIME__CPHL__15T/seed_2117/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.992792793,0.546300000,\frac{\mathrm{Fisher}}{\log\left(\mathrm{GSynFlow}\right)} - \frac{\mathrm{Jacov}}{\mathrm{L2Norm}},Fisher GSynFlow Log Div Jacov L2-Norm Div Sub <EOS>,((Fisher / log(GSynFlow)) - (Jacov / L2-Norm)),0.546300000,0.512600000,157,8,4,2032,run_monash_time_unique1000,1,3,TIME__CPHL__15T/seed_2032/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.991891892,0.546300000,\frac{\mathrm{Fisher}}{\log\left(-\mathrm{GSynFlow}\right)} - \frac{\mathrm{Jacov}}{\mathrm{L2Norm}},Fisher GSynFlow Negative Log Div Jacov L2-Norm Div Sub <EOS>,((Fisher / log(-(GSynFlow))) - (Jacov / L2-Norm)),0.546300000,0.512600000,120,9,5,2102,run_monash_time_unique1000,1,1,TIME__CPHL__15T/seed_2102/run_monash_time_unique1000/visualizations/archive_latex.tex
11,0.990990991,0.545000000,\sqrt{\frac{\mathrm{L2Norm}}{\log\left(\left(\mathrm{GSynFlow}\right)^2\right)} - \mathrm{Jacov}},L2-Norm GSynFlow Square Log Div Jacov Sub Sqrt <EOS>,sqrt(((L2-Norm / log(square(GSynFlow))) - Jacov)),0.545000000,0.458500000,110,8,6,2160,run_monash_time_unique1000,2,1,TIME__CPHL__15T/seed_2160/run_monash_time_unique1000/visualizations/archive_latex.tex
12,0.990090090,0.545000000,\left(\frac{\mathrm{L2Norm}}{\log\left(\mathrm{GSynFlow}\right)} - \mathrm{Jacov} + \mathrm{Jacov}\right)^2,L2-Norm GSynFlow Log Div Jacov Jacov Add Sub Square <EOS>,square(((L2-Norm / log(GSynFlow)) - (Jacov + Jacov))),0.545000000,0.458500000,178,9,5,2217,run_monash_time_unique1000,3,1,TIME__CPHL__15T/seed_2217/run_monash_time_unique1000/visualizations/archive_latex.tex
13,0.989189189,0.544000000,\sqrt{\frac{\mathrm{L2Norm} - \mathrm{GFLOPs}}{\log\left(\mathrm{GSynFlow}\right)} - \mathrm{Jacov}},L2-Norm GFLOPs Sub GSynFlow Log Div Jacov Sub Sqrt <EOS>,sqrt((((L2-Norm - GFLOPs) / log(GSynFlow)) - Jacov)),0.544000000,0.521700000,180,9,5,2030,run_monash_time_unique1000,2,2,TIME__CPHL__15T/seed_2030/run_monash_time_unique1000/visualizations/archive_latex.tex
14,0.988288288,0.541500000,\log\left(\frac{\mathrm{L2Norm}}{\log\left(\mathrm{GSynFlow}\right)} - \mathrm{Jacov} - \mathrm{GradNorm}\right),L2-Norm GSynFlow Log Div Jacov Grad_Norm Sub Sub Log <EOS>,log(((L2-Norm / log(GSynFlow)) - (Jacov - Grad_Norm))),0.541500000,0.514000000,72,9,5,2079,run_monash_time_unique1000,1,2,TIME__CPHL__15T/seed_2079/run_monash_time_unique1000/visualizations/archive_latex.tex
15,0.987387387,0.541500000,\left(\frac{\mathrm{L2Norm}}{\log\left(\mathrm{GSynFlow}\right)} - \mathrm{Jacov} - \mathrm{GradNorm}\right)^2,L2-Norm GSynFlow Log Div Jacov Grad_Norm Sub Sub Square <EOS>,square(((L2-Norm / log(GSynFlow)) - (Jacov - Grad_Norm))),0.541500000,0.514000000,134,9,5,2176,run_monash_time_unique1000,1,3,TIME__CPHL__15T/seed_2176/run_monash_time_unique1000/visualizations/archive_latex.tex
