rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.469300000,\frac{\mathrm{JacobFro}}{\sqrt{\log\left(\mathrm{L2Norm} - \left(\mathrm{Snip}\right) \cdot \left(\mathrm{ZiCo}\right)\right)}},Jacob_fro L2-Norm Snip ZiCo Mul Sub Log Sqrt Div <EOS>,(Jacob_fro / sqrt(log((L2-Norm - (Snip * ZiCo))))),0.469300000,0.409500000,30,9,6,2236,run_monash_time_unique1000,1,1,TIME__CPHL__H/seed_2236/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.999099099,0.452300000,\frac{\mathrm{JacobFro}}{\sqrt{\mathrm{JacobFro}} - \log\left(\mathrm{Snip}\right)} - \mathrm{GSynFlow},Jacob_fro Jacob_fro Sqrt Snip Log Sub Div GSynFlow Sub <EOS>,((Jacob_fro / (sqrt(Jacob_fro) - log(Snip))) - GSynFlow),0.452300000,0.318300000,15,9,5,2197,run_monash_time_unique1000,1,1,TIME__CPHL__H/seed_2197/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.998198198,0.452100000,\left(\mathrm{L2Norm}\right) \cdot \left(\mathrm{JacobFro} - \left(\left(\mathrm{Fisher}\right)^2\right) \cdot \left(\sqrt{\mathrm{GSynFlow}}\right)\right),L2-Norm Jacob_fro Fisher Square GSynFlow Sqrt Mul Sub Mul <EOS>,(L2-Norm * (Jacob_fro - (square(Fisher) * sqrt(GSynFlow)))),0.452100000,0.412000000,93,9,5,2202,run_monash_time_unique1000,1,1,TIME__CPHL__H/seed_2202/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.997297297,0.439800000,\left(\frac{\mathrm{GSynFlow}}{\mathrm{JacobFro} - \left(\log\left(\mathrm{Snip}\right)\right)^2}\right) \cdot \left(\mathrm{ZiCo}\right),GSynFlow Jacob_fro Snip Log Square Sub Div ZiCo Mul <EOS>,((GSynFlow / (Jacob_fro - square(log(Snip)))) * ZiCo),0.439800000,0.413600000,164,9,6,2197,run_monash_time_unique1000,2,1,TIME__CPHL__H/seed_2197/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.996396396,0.439600000,\left(\frac{\mathrm{GSynFlow}}{\mathrm{JacobFro} - \left(\log\left(\mathrm{Snip}\right)\right)^2}\right) \cdot \left(\mathrm{plain}\right),GSynFlow Jacob_fro Snip Log Square Sub Div plain Mul <EOS>,((GSynFlow / (Jacob_fro - square(log(Snip)))) * plain),0.439600000,0.408300000,181,9,6,2197,run_monash_time_unique1000,3,1,TIME__CPHL__H/seed_2197/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.995495495,0.439500000,\left(\frac{\mathrm{ZiCo}}{\sqrt{\mathrm{JacobFro}} - \log\left(\mathrm{Snip}\right)}\right) \cdot \left(\mathrm{GSynFlow}\right),ZiCo Jacob_fro Sqrt Snip Log Sub Div GSynFlow Mul <EOS>,((ZiCo / (sqrt(Jacob_fro) - log(Snip))) * GSynFlow),0.439500000,0.416300000,16,9,5,2197,run_monash_time_unique1000,4,1,TIME__CPHL__H/seed_2197/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.994594595,0.437900000,\left(\frac{\mathrm{GSynFlow}}{\mathrm{JacobFro} - \left(\log\left(\mathrm{Snip}\right)\right)^2}\right) \cdot \left(\mathrm{Fisher}\right),GSynFlow Jacob_fro Snip Log Square Sub Div Fisher Mul <EOS>,((GSynFlow / (Jacob_fro - square(log(Snip)))) * Fisher),0.437900000,0.408000000,172,9,6,2197,run_monash_time_unique1000,5,1,TIME__CPHL__H/seed_2197/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.993693694,0.437600000,\left(\frac{\mathrm{JacobFro}}{\sqrt{\mathrm{JacobFro}} - \log\left(\mathrm{Snip}\right)}\right) \cdot \left(\mathrm{GSynFlow}\right),Jacob_fro Jacob_fro Sqrt Snip Log Sub Div GSynFlow Mul <EOS>,((Jacob_fro / (sqrt(Jacob_fro) - log(Snip))) * GSynFlow),0.437600000,0.414700000,12,9,5,2197,run_monash_time_unique1000,6,1,TIME__CPHL__H/seed_2197/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.992792793,0.437100000,\left(\frac{\mathrm{JacobFro}}{\mathrm{JacobFro} - \left(\log\left(\mathrm{Snip}\right)\right)^2}\right) \cdot \left(\mathrm{GSynFlow}\right),Jacob_fro Jacob_fro Snip Log Square Sub Div GSynFlow Mul <EOS>,((Jacob_fro / (Jacob_fro - square(log(Snip)))) * GSynFlow),0.437100000,0.416700000,186,9,6,2197,run_monash_time_unique1000,7,1,TIME__CPHL__H/seed_2197/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.991891892,0.436900000,\left(\frac{\mathrm{Fisher}}{\sqrt{\mathrm{JacobFro}} - \log\left(\mathrm{Snip}\right)}\right) \cdot \left(\mathrm{GSynFlow}\right),Fisher Jacob_fro Sqrt Snip Log Sub Div GSynFlow Mul <EOS>,((Fisher / (sqrt(Jacob_fro) - log(Snip))) * GSynFlow),0.436900000,0.405400000,15,9,5,2197,run_monash_time_unique1000,8,1,TIME__CPHL__H/seed_2197/run_monash_time_unique1000/visualizations/archive_latex.tex
