rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.855700000,\frac{\mathrm{MParams}}{\mathrm{GFLOPs}} - \left(\sqrt{\log\left(\mathrm{Jacov}\right)}\right) \cdot \left(\mathrm{ZiCo}\right),MParams GFLOPs Div Jacov Log Sqrt ZiCo Mul Sub <EOS>,((MParams / GFLOPs) - (sqrt(log(Jacov)) * ZiCo)),0.855700000,0.744700000,115,9,5,2169,run_monash_time_unique1000,1,1,TIME__Coastal_T_S__5T/seed_2169/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.999099099,0.851400000,\frac{\mathrm{MParams}}{\mathrm{GFLOPs}} - \left(\log\left(\log\left(\mathrm{Jacov}\right)\right)\right) \cdot \left(\mathrm{ZiCo}\right),MParams GFLOPs Div Jacov Log Log ZiCo Mul Sub <EOS>,((MParams / GFLOPs) - (log(log(Jacov)) * ZiCo)),0.851400000,0.744900000,116,9,5,2169,run_monash_time_unique1000,2,1,TIME__Coastal_T_S__5T/seed_2169/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.998198198,0.851000000,\frac{\mathrm{MParams}}{\mathrm{GFLOPs}} - \left(\mathrm{ZiCo}\right) \cdot \left(\log\left(\sqrt{\mathrm{JacobFro}}\right)\right),MParams GFLOPs Div ZiCo Jacob_fro Sqrt Log Mul Sub <EOS>,((MParams / GFLOPs) - (ZiCo * log(sqrt(Jacob_fro)))),0.851000000,0.691800000,163,9,5,2127,run_monash_time_unique1000,1,1,TIME__Coastal_T_S__5T/seed_2127/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.997297297,0.851000000,\frac{\mathrm{MParams}}{\mathrm{GFLOPs}} - \left(\log\left(\sqrt{\mathrm{JacobFro}}\right)\right) \cdot \left(\mathrm{ZiCo}\right),MParams GFLOPs Div Jacob_fro Sqrt Log ZiCo Mul Sub <EOS>,((MParams / GFLOPs) - (log(sqrt(Jacob_fro)) * ZiCo)),0.851000000,0.691800000,128,9,5,2169,run_monash_time_unique1000,3,1,TIME__Coastal_T_S__5T/seed_2169/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.996396396,0.845700000,\frac{\mathrm{MParams}}{\mathrm{GFLOPs}} - \sqrt{\left(\log\left(\mathrm{JacobFro}\right)\right) \cdot \left(\mathrm{ZiCo}\right)},MParams GFLOPs Div Jacob_fro Log ZiCo Mul Sqrt Sub <EOS>,((MParams / GFLOPs) - sqrt((log(Jacob_fro) * ZiCo))),0.845700000,0.718800000,82,9,5,2181,run_monash_time_unique1000,1,2,TIME__Coastal_T_S__5T/seed_2181/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.995495495,0.845700000,\frac{\mathrm{MParams}}{\mathrm{GFLOPs}} - \sqrt{\left(\mathrm{ZiCo}\right) \cdot \left(\log\left(\mathrm{JacobFro}\right)\right)},MParams GFLOPs Div ZiCo Jacob_fro Log Mul Sqrt Sub <EOS>,((MParams / GFLOPs) - sqrt((ZiCo * log(Jacob_fro)))),0.845700000,0.718800000,161,9,5,2127,run_monash_time_unique1000,2,1,TIME__Coastal_T_S__5T/seed_2127/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.994594595,0.837500000,\frac{\frac{\frac{\mathrm{MParams}}{\mathrm{GFLOPs}}}{\left(\mathrm{ZiCo}\right)^2}}{\log\left(\mathrm{Jacov}\right)},MParams GFLOPs Div ZiCo Square Div Jacov Log Div <EOS>,(((MParams / GFLOPs) / square(ZiCo)) / log(Jacov)),0.837500000,0.730000000,45,9,4,2028,run_monash_time_unique1000,1,1,TIME__Coastal_T_S__5T/seed_2028/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.993693694,0.837500000,\frac{\frac{\mathrm{MParams}}{\mathrm{GFLOPs}}}{\left(\left(\mathrm{ZiCo}\right)^2\right) \cdot \left(\log\left(\mathrm{Jacov}\right)\right)},MParams GFLOPs Div ZiCo Square Jacov Log Mul Div <EOS>,((MParams / GFLOPs) / (square(ZiCo) * log(Jacov))),0.837500000,0.730000000,166,9,4,2127,run_monash_time_unique1000,3,1,TIME__Coastal_T_S__5T/seed_2127/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.992792793,0.837500000,\frac{\frac{\mathrm{MParams}}{\mathrm{GFLOPs}}}{\left(\log\left(\mathrm{Jacov}\right)\right) \cdot \left(\left(\mathrm{ZiCo}\right)^2\right)},MParams GFLOPs Div Jacov Log ZiCo Square Mul Div <EOS>,((MParams / GFLOPs) / (log(Jacov) * square(ZiCo))),0.837500000,0.730000000,137,9,4,2169,run_monash_time_unique1000,5,1,TIME__Coastal_T_S__5T/seed_2169/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.991891892,0.829900000,\log\left(\frac{\mathrm{MParams}}{\mathrm{GFLOPs}}\right) - \left(\log\left(\mathrm{JacobFro}\right)\right) \cdot \left(\mathrm{ZiCo}\right),MParams GFLOPs Div Log Jacob_fro Log ZiCo Mul Sub <EOS>,(log((MParams / GFLOPs)) - (log(Jacob_fro) * ZiCo)),0.829900000,0.723800000,175,9,4,2181,run_monash_time_unique1000,2,1,TIME__Coastal_T_S__5T/seed_2181/run_monash_time_unique1000/visualizations/archive_latex.tex
