rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.661200000,\frac{\left(\mathrm{MParams}\right) \cdot \left(\sqrt{\mathrm{Jacov}}\right) - \log\left(\mathrm{GSynFlow}\right)}{\mathrm{ZiCo}},MParams Jacov Sqrt Mul GSynFlow Log Sub ZiCo Div <EOS>,(((MParams * sqrt(Jacov)) - log(GSynFlow)) / ZiCo),0.661200000,0.389400000,145,9,5,2179,run_monash_time_unique1000,1,1,TIME__Coastal_T_S__H/seed_2179/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.999099099,0.656300000,\left(\sqrt{-\mathrm{Jacov}}\right) \cdot \left(\mathrm{MParams}\right) - \log\left(\mathrm{GSynFlow}\right),Jacov Negative Sqrt MParams Mul GSynFlow Log Sub <EOS>,((sqrt(-(Jacov)) * MParams) - log(GSynFlow)),0.656300000,0.396800000,151,8,5,2095,run_monash_time_unique1000,1,1,TIME__Coastal_T_S__H/seed_2095/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.998198198,0.656300000,\left(\sqrt{\mathrm{Jacov}}\right) \cdot \left(\mathrm{MParams}\right) - \log\left(\mathrm{GSynFlow}\right),Jacov Sqrt MParams Mul GSynFlow Log Sub <EOS>,((sqrt(Jacov) * MParams) - log(GSynFlow)),0.656300000,0.396800000,13,7,4,2097,run_monash_time_unique1000,1,3,TIME__Coastal_T_S__H/seed_2097/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.997297297,0.656300000,\left(\mathrm{MParams}\right) \cdot \left(\sqrt{\mathrm{Jacov}}\right) - \log\left(\mathrm{GSynFlow}\right),MParams Jacov Sqrt Mul GSynFlow Log Sub <EOS>,((MParams * sqrt(Jacov)) - log(GSynFlow)),0.656300000,0.396800000,128,7,4,2098,run_monash_time_unique1000,1,3,TIME__Coastal_T_S__H/seed_2098/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.996396396,0.655400000,\left(\sqrt{\mathrm{Jacov}}\right) \cdot \left(\mathrm{MParams}\right) - \log\left(\left(\mathrm{GSynFlow}\right) \cdot \left(\mathrm{ZiCo}\right)\right),Jacov Sqrt MParams Mul GSynFlow ZiCo Mul Log Sub <EOS>,((sqrt(Jacov) * MParams) - log((GSynFlow * ZiCo))),0.655400000,0.398800000,95,9,4,2097,run_monash_time_unique1000,2,1,TIME__Coastal_T_S__H/seed_2097/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.995495495,0.640700000,\left(\sqrt{\mathrm{Jacov}}\right) \cdot \left(\mathrm{MParams}\right) - \log\left(\frac{\mathrm{GSynFlow}}{\mathrm{L2Norm}}\right),Jacov Sqrt MParams Mul GSynFlow L2-Norm Div Log Sub <EOS>,((sqrt(Jacov) * MParams) - log((GSynFlow / L2-Norm))),0.640700000,0.388900000,181,9,4,2097,run_monash_time_unique1000,3,1,TIME__Coastal_T_S__H/seed_2097/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.994594595,0.638300000,\mathrm{MParams} - \log\left(\mathrm{GSynFlow}\right) - \sqrt{\left(\mathrm{MParams}\right) \cdot \left(\mathrm{Jacov}\right)},MParams GSynFlow Log MParams Jacov Mul Sqrt Sub Sub <EOS>,(MParams - (log(GSynFlow) - sqrt((MParams * Jacov)))),0.638300000,0.585300000,8,9,5,2194,run_monash_time_unique1000,1,1,TIME__Coastal_T_S__H/seed_2194/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.993693694,0.638300000,\sqrt{\left(\mathrm{Jacov}\right) \cdot \left(\mathrm{MParams}\right)} - \log\left(\mathrm{GSynFlow}\right) + \mathrm{MParams},Jacov MParams Mul Sqrt GSynFlow Log Sub MParams Add <EOS>,((sqrt((Jacov * MParams)) - log(GSynFlow)) + MParams),0.638300000,0.585300000,66,9,5,2140,run_monash_time_unique1000,2,1,TIME__Coastal_T_S__H/seed_2140/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.992792793,0.638300000,\sqrt{\left(\mathrm{MParams}\right) \cdot \left(\mathrm{Jacov}\right)} - \log\left(\mathrm{GSynFlow}\right) + \mathrm{MParams},MParams Jacov Mul Sqrt GSynFlow Log Sub MParams Add <EOS>,((sqrt((MParams * Jacov)) - log(GSynFlow)) + MParams),0.638300000,0.585300000,94,9,5,2157,run_monash_time_unique1000,2,1,TIME__Coastal_T_S__H/seed_2157/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.991891892,0.638300000,\sqrt{\left(\mathrm{MParams}\right) \cdot \left(\mathrm{Jacov}\right)} + \mathrm{MParams} - \log\left(\mathrm{GSynFlow}\right),MParams Jacov Mul Sqrt MParams Add GSynFlow Log Sub <EOS>,((sqrt((MParams * Jacov)) + MParams) - log(GSynFlow)),0.638300000,0.585300000,139,9,5,2179,run_monash_time_unique1000,3,1,TIME__Coastal_T_S__H/seed_2179/run_monash_time_unique1000/visualizations/archive_latex.tex
