rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.726600000,\left(\left(\mathrm{JacobFro}\right) \cdot \left(\mathrm{Jacov}\right) + \left(\mathrm{L2Norm}\right)^2\right) \cdot \left(\left(\mathrm{Snip}\right)^2\right),Jacob_fro Jacov Mul L2-Norm Square Add Snip Square Mul <EOS>,(((Jacob_fro * Jacov) + square(L2-Norm)) * square(Snip)),0.726600000,0.540800000,140,9,4,2066,run_monash_time_unique1000,1,1,TIME__Crypto__D/seed_2066/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.999099099,0.726600000,\left(\left(\mathrm{Snip}\right)^2\right) \cdot \left(\left(\mathrm{JacobFro}\right) \cdot \left(\mathrm{Jacov}\right) + \left(\mathrm{L2Norm}\right)^2\right),Snip Square Jacob_fro Jacov Mul L2-Norm Square Add Mul <EOS>,(square(Snip) * ((Jacob_fro * Jacov) + square(L2-Norm))),0.726600000,0.540800000,97,9,4,2155,run_monash_time_unique1000,1,1,TIME__Crypto__D/seed_2155/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.998198198,0.724700000,\left(\left(\mathrm{GraSP}\right) \cdot \left(-\mathrm{L2Norm} - \mathrm{Jacov}\right)\right) \cdot \left(\mathrm{L2Norm}\right),GraSP L2-Norm Negative Jacov Sub Mul L2-Norm Mul <EOS>,((GraSP * (-(L2-Norm) - Jacov)) * L2-Norm),0.724700000,0.534600000,35,8,5,2167,run_monash_time_unique1000,1,1,TIME__Crypto__D/seed_2167/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.997297297,0.720500000,\left(\mathrm{GFLOPs} - \sqrt{\mathrm{Jacov}}\right) \cdot \left(\sqrt{\left(\mathrm{GraSP}\right) \cdot \left(\mathrm{GFLOPs}\right)}\right),GFLOPs Jacov Sqrt Sub GraSP GFLOPs Mul Sqrt Mul <EOS>,((GFLOPs - sqrt(Jacov)) * sqrt((GraSP * GFLOPs))),0.720500000,0.561100000,86,9,4,2039,run_monash_time_unique1000,1,2,TIME__Crypto__D/seed_2039/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.996396396,0.720500000,\left(\sqrt{\left(\mathrm{GraSP}\right) \cdot \left(\mathrm{GFLOPs}\right)}\right) \cdot \left(\mathrm{GFLOPs} - \sqrt{\mathrm{Jacov}}\right),GraSP GFLOPs Mul Sqrt GFLOPs Jacov Sqrt Sub Mul <EOS>,(sqrt((GraSP * GFLOPs)) * (GFLOPs - sqrt(Jacov))),0.720500000,0.561100000,168,9,4,2081,run_monash_time_unique1000,1,1,TIME__Crypto__D/seed_2081/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.995495495,0.720500000,\left(\mathrm{GFLOPs} - \sqrt{\mathrm{Jacov}}\right) \cdot \left(\sqrt{\left(\mathrm{GFLOPs}\right) \cdot \left(\mathrm{GraSP}\right)}\right),GFLOPs Jacov Sqrt Sub GFLOPs GraSP Mul Sqrt Mul <EOS>,((GFLOPs - sqrt(Jacov)) * sqrt((GFLOPs * GraSP))),0.720500000,0.561100000,104,9,4,2193,run_monash_time_unique1000,1,1,TIME__Crypto__D/seed_2193/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.994594595,0.720300000,\left(\left(\mathrm{GradNorm}\right) \cdot \left(\sqrt{\mathrm{GFLOPs}}\right)\right) \cdot \left(\mathrm{Jacov} + \mathrm{L2Norm}\right),Grad_Norm GFLOPs Sqrt Mul Jacov L2-Norm Add Mul <EOS>,((Grad_Norm * sqrt(GFLOPs)) * (Jacov + L2-Norm)),0.720300000,0.534500000,57,8,4,2067,run_monash_time_unique1000,1,1,TIME__Crypto__D/seed_2067/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.993693694,0.720300000,\left(\sqrt{\mathrm{GFLOPs}}\right) \cdot \left(\left(\mathrm{L2Norm} + \mathrm{Jacov}\right) \cdot \left(\mathrm{GradNorm}\right)\right),GFLOPs Sqrt L2-Norm Jacov Add Grad_Norm Mul Mul <EOS>,(sqrt(GFLOPs) * ((L2-Norm + Jacov) * Grad_Norm)),0.720300000,0.534500000,25,8,4,2184,run_monash_time_unique1000,1,1,TIME__Crypto__D/seed_2184/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.992792793,0.720300000,\left(\left(\mathrm{GradNorm}\right) \cdot \left(\sqrt{\mathrm{GFLOPs}}\right)\right) \cdot \left(\mathrm{L2Norm} + \mathrm{Jacov}\right),Grad_Norm GFLOPs Sqrt Mul L2-Norm Jacov Add Mul <EOS>,((Grad_Norm * sqrt(GFLOPs)) * (L2-Norm + Jacov)),0.720300000,0.534500000,26,8,4,2200,run_monash_time_unique1000,1,1,TIME__Crypto__D/seed_2200/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.991891892,0.720000000,\left(\left(\mathrm{GraSP}\right)^2\right) \cdot \left(\frac{\mathrm{L2Norm} + \mathrm{Jacov}}{\sqrt{\mathrm{Fisher}}}\right),GraSP Square L2-Norm Jacov Add Fisher Sqrt Div Mul <EOS>,(square(GraSP) * ((L2-Norm + Jacov) / sqrt(Fisher))),0.720000000,0.543600000,126,9,4,2027,run_monash_time_unique1000,1,1,TIME__Crypto__D/seed_2027/run_monash_time_unique1000/visualizations/archive_latex.tex
