rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.746600000,\left(\mathrm{GFLOPs} + \mathrm{JacobFro}\right) \cdot \left(\sqrt{\mathrm{Fisher} + \left(\mathrm{ZiCo}\right)^2}\right),GFLOPs Jacob_fro Add Fisher ZiCo Square Add Sqrt Mul <EOS>,((GFLOPs + Jacob_fro) * sqrt((Fisher + square(ZiCo)))),0.746600000,0.598300000,20,9,5,2136,run_monash_time_unique1000,1,2,TIME__EWELD_Load__15T/seed_2136/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.999099099,0.746600000,\left(\mathrm{GFLOPs} + \mathrm{JacobFro}\right) \cdot \left(\sqrt{\left(\mathrm{ZiCo}\right)^2 + \mathrm{Fisher}}\right),GFLOPs Jacob_fro Add ZiCo Square Fisher Add Sqrt Mul <EOS>,((GFLOPs + Jacob_fro) * sqrt((square(ZiCo) + Fisher))),0.746600000,0.598300000,180,9,5,2169,run_monash_time_unique1000,1,1,TIME__EWELD_Load__15T/seed_2169/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.998198198,0.744700000,\left(\mathrm{Fisher} + \sqrt{\mathrm{ZiCo}}\right) \cdot \left(\mathrm{GFLOPs} + \mathrm{JacobFro}\right),Fisher ZiCo Sqrt Add GFLOPs Jacob_fro Add Mul <EOS>,((Fisher + sqrt(ZiCo)) * (GFLOPs + Jacob_fro)),0.744700000,0.589500000,142,8,4,2029,run_monash_time_unique1000,1,2,TIME__EWELD_Load__15T/seed_2029/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.997297297,0.744700000,\left(\mathrm{Fisher} + \sqrt{\mathrm{ZiCo}}\right) \cdot \left(\mathrm{JacobFro} + \mathrm{GFLOPs}\right),Fisher ZiCo Sqrt Add Jacob_fro GFLOPs Add Mul <EOS>,((Fisher + sqrt(ZiCo)) * (Jacob_fro + GFLOPs)),0.744700000,0.589500000,20,8,4,2064,run_monash_time_unique1000,1,1,TIME__EWELD_Load__15T/seed_2064/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.996396396,0.744700000,\left(\mathrm{GFLOPs} + \mathrm{JacobFro}\right) \cdot \left(\sqrt{\mathrm{ZiCo}} + \mathrm{Fisher}\right),GFLOPs Jacob_fro Add ZiCo Sqrt Fisher Add Mul <EOS>,((GFLOPs + Jacob_fro) * (sqrt(ZiCo) + Fisher)),0.744700000,0.589500000,25,8,4,2071,run_monash_time_unique1000,1,4,TIME__EWELD_Load__15T/seed_2071/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.995495495,0.744700000,\left(\mathrm{JacobFro} + \mathrm{GFLOPs}\right) \cdot \left(\sqrt{\mathrm{ZiCo}} + \mathrm{Fisher}\right),Jacob_fro GFLOPs Add ZiCo Sqrt Fisher Add Mul <EOS>,((Jacob_fro + GFLOPs) * (sqrt(ZiCo) + Fisher)),0.744700000,0.589500000,135,8,4,2081,run_monash_time_unique1000,1,3,TIME__EWELD_Load__15T/seed_2081/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.994594595,0.744700000,\left(\sqrt{\mathrm{ZiCo}} + \mathrm{Fisher}\right) \cdot \left(\mathrm{JacobFro} + \mathrm{GFLOPs}\right),ZiCo Sqrt Fisher Add Jacob_fro GFLOPs Add Mul <EOS>,((sqrt(ZiCo) + Fisher) * (Jacob_fro + GFLOPs)),0.744700000,0.589500000,154,8,4,2119,run_monash_time_unique1000,1,1,TIME__EWELD_Load__15T/seed_2119/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.993693694,0.744700000,\left(\mathrm{GFLOPs} + \mathrm{JacobFro}\right) \cdot \left(\mathrm{Fisher} + \sqrt{\mathrm{ZiCo}}\right),GFLOPs Jacob_fro Add Fisher ZiCo Sqrt Add Mul <EOS>,((GFLOPs + Jacob_fro) * (Fisher + sqrt(ZiCo))),0.744700000,0.589500000,70,8,4,2145,run_monash_time_unique1000,1,2,TIME__EWELD_Load__15T/seed_2145/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.992792793,0.744700000,\left(\sqrt{\mathrm{ZiCo}} + \mathrm{Fisher}\right) \cdot \left(\mathrm{GFLOPs} + \mathrm{JacobFro}\right),ZiCo Sqrt Fisher Add GFLOPs Jacob_fro Add Mul <EOS>,((sqrt(ZiCo) + Fisher) * (GFLOPs + Jacob_fro)),0.744700000,0.589500000,141,8,4,2158,run_monash_time_unique1000,1,1,TIME__EWELD_Load__15T/seed_2158/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.991891892,0.744600000,\mathrm{ZiCo} + \sqrt{\mathrm{Fisher}} + \log\left(\mathrm{GFLOPs} + \mathrm{JacobFro}\right),ZiCo Fisher Sqrt Add GFLOPs Jacob_fro Add Log Add <EOS>,((ZiCo + sqrt(Fisher)) + log((GFLOPs + Jacob_fro))),0.744600000,0.602700000,163,9,4,2158,run_monash_time_unique1000,2,1,TIME__EWELD_Load__15T/seed_2158/run_monash_time_unique1000/visualizations/archive_latex.tex
