rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.652500000,\frac{\mathrm{GradNorm} - \mathrm{Fisher} - \mathrm{JacobFro}}{\left(\mathrm{Jacov}\right)^2},Grad_Norm Fisher Sub Jacob_fro Sub Jacov Square Div <EOS>,(((Grad_Norm - Fisher) - Jacob_fro) / square(Jacov)),0.652500000,0.484000000,105,8,4,2087,run_monash_time_unique1000,1,2,TIME__Finland_Traffic__15T/seed_2087/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.999099099,0.646500000,\frac{\left(\mathrm{JacobFro}\right)^2}{\mathrm{Jacov} - \mathrm{GSynFlow}} + \mathrm{Fisher},Jacob_fro Square Jacov GSynFlow Sub Div Fisher Add <EOS>,((square(Jacob_fro) / (Jacov - GSynFlow)) + Fisher),0.646500000,0.557000000,28,8,4,2083,run_monash_time_unique1000,1,1,TIME__Finland_Traffic__15T/seed_2083/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.998198198,0.642100000,\frac{\mathrm{GradNorm} - \mathrm{JacobFro}}{\mathrm{GSynFlow} + \left(\mathrm{Jacov}\right)^2},Grad_Norm Jacob_fro Sub GSynFlow Jacov Square Add Div <EOS>,((Grad_Norm - Jacob_fro) / (GSynFlow + square(Jacov))),0.642100000,0.506600000,72,8,4,2207,run_monash_time_unique1000,1,1,TIME__Finland_Traffic__15T/seed_2207/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.997297297,0.640300000,\frac{\left(\mathrm{MParams}\right) \cdot \left(\log\left(\mathrm{GSynFlow}\right)\right) + \sqrt{\mathrm{Jacov}}}{\mathrm{JacobFro}},MParams GSynFlow Log Mul Jacov Sqrt Add Jacob_fro Div <EOS>,(((MParams * log(GSynFlow)) + sqrt(Jacov)) / Jacob_fro),0.640300000,0.495800000,176,9,5,2165,run_monash_time_unique1000,1,1,TIME__Finland_Traffic__15T/seed_2165/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.996396396,0.638400000,\frac{\left(\mathrm{GradNorm}\right) \cdot \left(\mathrm{GFLOPs}\right) - \mathrm{Jacov}}{\mathrm{JacobFro}},Grad_Norm GFLOPs Mul Jacov Sub Jacob_fro Div <EOS>,(((Grad_Norm * GFLOPs) - Jacov) / Jacob_fro),0.638400000,0.486600000,145,7,4,2080,run_monash_time_unique1000,1,4,TIME__Finland_Traffic__15T/seed_2080/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.995495495,0.638400000,\frac{\left(\mathrm{GFLOPs}\right) \cdot \left(\mathrm{GradNorm}\right) - \mathrm{Jacov}}{\mathrm{JacobFro}},GFLOPs Grad_Norm Mul Jacov Sub Jacob_fro Div <EOS>,(((GFLOPs * Grad_Norm) - Jacov) / Jacob_fro),0.638400000,0.486600000,33,7,4,2124,run_monash_time_unique1000,1,3,TIME__Finland_Traffic__15T/seed_2124/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.994594595,0.637500000,\log\left(\mathrm{GSynFlow}\right) - \frac{\mathrm{Jacov}}{\mathrm{JacobFro} - \left(\mathrm{plain}\right)^2},GSynFlow Log Jacov Jacob_fro plain Square Sub Div Sub <EOS>,(log(GSynFlow) - (Jacov / (Jacob_fro - square(plain)))),0.637500000,0.505900000,24,9,5,2068,run_monash_time_unique1000,1,1,TIME__Finland_Traffic__15T/seed_2068/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.993693694,0.637400000,\frac{\left(\mathrm{GFLOPs} + \mathrm{Fisher}\right)^2 - \mathrm{Jacov}}{\mathrm{JacobFro}},GFLOPs Fisher Add Square Jacov Sub Jacob_fro Div <EOS>,((square((GFLOPs + Fisher)) - Jacov) / Jacob_fro),0.637400000,0.491900000,143,8,5,2065,run_monash_time_unique1000,1,1,TIME__Finland_Traffic__15T/seed_2065/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.992792793,0.637100000,\frac{\frac{\sqrt{\mathrm{GradNorm}}}{\mathrm{ZiCo}} - \mathrm{JacobFro}}{-\mathrm{Jacov}},Grad_Norm Sqrt ZiCo Div Jacob_fro Sub Jacov Negative Div <EOS>,(((sqrt(Grad_Norm) / ZiCo) - Jacob_fro) / -(Jacov)),0.637100000,0.494700000,198,9,5,2151,run_monash_time_unique1000,1,2,TIME__Finland_Traffic__15T/seed_2151/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.991891892,0.636700000,\frac{\left(\mathrm{GradNorm}\right) \cdot \left(\mathrm{GFLOPs}\right) - \mathrm{Jacov}}{\sqrt{\mathrm{JacobFro}}},Grad_Norm GFLOPs Mul Jacov Sub Jacob_fro Sqrt Div <EOS>,(((Grad_Norm * GFLOPs) - Jacov) / sqrt(Jacob_fro)),0.636700000,0.478600000,54,8,4,2040,run_monash_time_unique1000,1,1,TIME__Finland_Traffic__15T/seed_2040/run_monash_time_unique1000/visualizations/archive_latex.tex
11,0.990990991,0.635600000,\sqrt{\left(\log\left(\mathrm{Fisher}\right)\right) \cdot \left(\mathrm{GradNorm}\right)} - \frac{\mathrm{Jacov}}{\mathrm{JacobFro}},Fisher Log Grad_Norm Mul Sqrt Jacov Jacob_fro Div Sub <EOS>,(sqrt((log(Fisher) * Grad_Norm)) - (Jacov / Jacob_fro)),0.635600000,0.489300000,14,9,5,2112,run_monash_time_unique1000,1,1,TIME__Finland_Traffic__15T/seed_2112/run_monash_time_unique1000/visualizations/archive_latex.tex
12,0.990090090,0.635400000,\frac{\mathrm{GFLOPs} - \mathrm{JacobFro} + \left(\mathrm{plain}\right)^2}{-\mathrm{Jacov}},GFLOPs Jacob_fro Sub plain Square Add Jacov Negative Div <EOS>,(((GFLOPs - Jacob_fro) + square(plain)) / -(Jacov)),0.635400000,0.506200000,143,9,4,2133,run_monash_time_unique1000,1,1,TIME__Finland_Traffic__15T/seed_2133/run_monash_time_unique1000/visualizations/archive_latex.tex
13,0.989189189,0.633700000,\frac{\mathrm{Fisher} - \mathrm{JacobFro}}{\left(\mathrm{GFLOPs}\right)^2 - \mathrm{Jacov}},Fisher Jacob_fro Sub GFLOPs Square Jacov Sub Div <EOS>,((Fisher - Jacob_fro) / (square(GFLOPs) - Jacov)),0.633700000,0.491900000,8,8,4,2113,run_monash_time_unique1000,1,1,TIME__Finland_Traffic__15T/seed_2113/run_monash_time_unique1000/visualizations/archive_latex.tex
14,0.988288288,0.633700000,\frac{\mathrm{JacobFro} - \mathrm{Fisher}}{\mathrm{Jacov} - \left(\mathrm{GFLOPs}\right)^2},Jacob_fro Fisher Sub Jacov GFLOPs Square Sub Div <EOS>,((Jacob_fro - Fisher) / (Jacov - square(GFLOPs))),0.633700000,0.491900000,168,8,4,2173,run_monash_time_unique1000,1,1,TIME__Finland_Traffic__15T/seed_2173/run_monash_time_unique1000/visualizations/archive_latex.tex
15,0.987387387,0.632600000,\sqrt{\mathrm{Fisher}} - \frac{\mathrm{Jacov} - \left(\mathrm{GFLOPs}\right)^2}{\mathrm{JacobFro}},Fisher Sqrt Jacov GFLOPs Square Sub Jacob_fro Div Sub <EOS>,(sqrt(Fisher) - ((Jacov - square(GFLOPs)) / Jacob_fro)),0.632600000,0.495700000,22,9,5,2181,run_monash_time_unique1000,1,1,TIME__Finland_Traffic__15T/seed_2181/run_monash_time_unique1000/visualizations/archive_latex.tex
16,0.986486486,0.632000000,\frac{\left(\mathrm{GradNorm}\right) \cdot \left(\log\left(\mathrm{L2Norm}\right)\right) - \mathrm{Jacov}}{\mathrm{JacobFro}},Grad_Norm L2-Norm Log Mul Jacov Sub Jacob_fro Div <EOS>,(((Grad_Norm * log(L2-Norm)) - Jacov) / Jacob_fro),0.632000000,0.487000000,7,8,5,2067,run_monash_time_unique1000,1,1,TIME__Finland_Traffic__15T/seed_2067/run_monash_time_unique1000/visualizations/archive_latex.tex
17,0.985585586,0.632000000,\frac{\mathrm{JacobFro}}{\frac{\mathrm{GraSP}}{\mathrm{JacobFro}} + \mathrm{Jacov}},Jacob_fro GraSP Jacob_fro Div Jacov Add Div <EOS>,(Jacob_fro / ((GraSP / Jacob_fro) + Jacov)),0.632000000,0.489900000,56,7,4,2076,run_monash_time_unique1000,1,3,TIME__Finland_Traffic__15T/seed_2076/run_monash_time_unique1000/visualizations/archive_latex.tex
18,0.984684685,0.632000000,\frac{\left(\mathrm{JacobFro}\right)^2}{\left(\mathrm{JacobFro}\right) \cdot \left(\mathrm{Jacov}\right) + \mathrm{GraSP}},Jacob_fro Square Jacob_fro Jacov Mul GraSP Add Div <EOS>,(square(Jacob_fro) / ((Jacob_fro * Jacov) + GraSP)),0.632000000,0.489900000,83,8,4,2107,run_monash_time_unique1000,1,1,TIME__Finland_Traffic__15T/seed_2107/run_monash_time_unique1000/visualizations/archive_latex.tex
19,0.983783784,0.632000000,\frac{\mathrm{JacobFro}}{\mathrm{Jacov} + \frac{\mathrm{GraSP}}{\mathrm{JacobFro}}},Jacob_fro Jacov GraSP Jacob_fro Div Add Div <EOS>,(Jacob_fro / (Jacov + (GraSP / Jacob_fro))),0.632000000,0.489900000,24,7,4,2122,run_monash_time_unique1000,1,2,TIME__Finland_Traffic__15T/seed_2122/run_monash_time_unique1000/visualizations/archive_latex.tex
20,0.982882883,0.631800000,\frac{\mathrm{JacobFro}}{\mathrm{Jacov} - \sqrt{\left(\mathrm{GradNorm}\right) \cdot \left(\mathrm{Snip}\right)}},Jacob_fro Jacov Grad_Norm Snip Mul Sqrt Sub Div <EOS>,(Jacob_fro / (Jacov - sqrt((Grad_Norm * Snip)))),0.631800000,0.485900000,145,8,5,2070,run_monash_time_unique1000,1,1,TIME__Finland_Traffic__15T/seed_2070/run_monash_time_unique1000/visualizations/archive_latex.tex
21,0.981981982,0.631800000,\frac{\sqrt{\left(\mathrm{GradNorm}\right) \cdot \left(\mathrm{Snip}\right)} - \mathrm{Jacov}}{\mathrm{JacobFro}},Grad_Norm Snip Mul Sqrt Jacov Sub Jacob_fro Div <EOS>,((sqrt((Grad_Norm * Snip)) - Jacov) / Jacob_fro),0.631800000,0.485900000,128,8,5,2204,run_monash_time_unique1000,1,1,TIME__Finland_Traffic__15T/seed_2204/run_monash_time_unique1000/visualizations/archive_latex.tex
22,0.981081081,0.631600000,\frac{\left(\mathrm{GFLOPs}\right) \cdot \left(\sqrt{\mathrm{Fisher}}\right) - \mathrm{JacobFro}}{-\mathrm{Jacov}},GFLOPs Fisher Sqrt Mul Jacob_fro Sub Jacov Negative Div <EOS>,(((GFLOPs * sqrt(Fisher)) - Jacob_fro) / -(Jacov)),0.631600000,0.490000000,80,9,5,2086,run_monash_time_unique1000,1,1,TIME__Finland_Traffic__15T/seed_2086/run_monash_time_unique1000/visualizations/archive_latex.tex
23,0.980180180,0.629800000,\frac{\sqrt{\left(\mathrm{Jacov}\right) \cdot \left(\mathrm{Jacov} - \left(\mathrm{GradNorm}\right)^2\right)}}{\mathrm{JacobFro}},Jacov Jacov Grad_Norm Square Sub Mul Sqrt Jacob_fro Div <EOS>,(sqrt((Jacov * (Jacov - square(Grad_Norm)))) / Jacob_fro),0.629800000,0.476900000,128,9,6,2193,run_monash_time_unique1000,2,1,TIME__Finland_Traffic__15T/seed_2193/run_monash_time_unique1000/visualizations/archive_latex.tex
24,0.979279279,0.629500000,\frac{\sqrt{\left(\mathrm{ZiCo}\right) \cdot \left(\left(\mathrm{GradNorm}\right)^2\right) - \mathrm{Jacov}}}{\mathrm{JacobFro}},ZiCo Grad_Norm Square Mul Jacov Sub Sqrt Jacob_fro Div <EOS>,(sqrt(((ZiCo * square(Grad_Norm)) - Jacov)) / Jacob_fro),0.629500000,0.481700000,162,9,6,2223,run_monash_time_unique1000,1,1,TIME__Finland_Traffic__15T/seed_2223/run_monash_time_unique1000/visualizations/archive_latex.tex
25,0.978378378,0.629400000,\frac{\left(\mathrm{ZiCo} - \mathrm{plain}\right)^2 - \mathrm{JacobFro}}{\sqrt{\mathrm{Jacov}}},ZiCo plain Sub Square Jacob_fro Sub Jacov Sqrt Div <EOS>,((square((ZiCo - plain)) - Jacob_fro) / sqrt(Jacov)),0.629400000,0.486400000,52,9,5,2032,run_monash_time_unique1000,1,1,TIME__Finland_Traffic__15T/seed_2032/run_monash_time_unique1000/visualizations/archive_latex.tex
26,0.977477477,0.629200000,\frac{\left(\mathrm{ZiCo}\right) \cdot \left(\mathrm{Snip}\right) - \mathrm{Jacov}}{\mathrm{JacobFro}},ZiCo Snip Mul Jacov Sub Jacob_fro Div <EOS>,(((ZiCo * Snip) - Jacov) / Jacob_fro),0.629200000,0.494200000,92,7,4,2073,run_monash_time_unique1000,1,1,TIME__Finland_Traffic__15T/seed_2073/run_monash_time_unique1000/visualizations/archive_latex.tex
27,0.976576577,0.629200000,\frac{\left(\mathrm{Snip}\right) \cdot \left(\mathrm{ZiCo}\right) - \mathrm{Jacov}}{\mathrm{JacobFro}},Snip ZiCo Mul Jacov Sub Jacob_fro Div <EOS>,(((Snip * ZiCo) - Jacov) / Jacob_fro),0.629200000,0.494200000,94,7,4,2149,run_monash_time_unique1000,1,8,TIME__Finland_Traffic__15T/seed_2149/run_monash_time_unique1000/visualizations/archive_latex.tex
28,0.975675676,0.629200000,\frac{\mathrm{JacobFro}}{\mathrm{Jacov} + \left(-\mathrm{Snip}\right) \cdot \left(\mathrm{ZiCo}\right)},Jacob_fro Jacov Snip Negative ZiCo Mul Add Div <EOS>,(Jacob_fro / (Jacov + (-(Snip) * ZiCo))),0.629200000,0.494200000,118,8,5,2070,run_monash_time_unique1000,2,1,TIME__Finland_Traffic__15T/seed_2070/run_monash_time_unique1000/visualizations/archive_latex.tex
29,0.974774775,0.629200000,\frac{\mathrm{JacobFro}}{-\left(\mathrm{Snip}\right) \cdot \left(\mathrm{ZiCo}\right) + \mathrm{Jacov}},Jacob_fro Snip ZiCo Mul Negative Jacov Add Div <EOS>,(Jacob_fro / (-((Snip * ZiCo)) + Jacov)),0.629200000,0.494200000,188,8,5,2076,run_monash_time_unique1000,2,1,TIME__Finland_Traffic__15T/seed_2076/run_monash_time_unique1000/visualizations/archive_latex.tex
30,0.973873874,0.629200000,\frac{\mathrm{JacobFro}}{\mathrm{Jacov} - \left(\mathrm{Snip}\right) \cdot \left(\mathrm{ZiCo}\right)},Jacob_fro Jacov Snip ZiCo Mul Sub Div <EOS>,(Jacob_fro / (Jacov - (Snip * ZiCo))),0.629200000,0.494200000,194,7,4,2083,run_monash_time_unique1000,3,1,TIME__Finland_Traffic__15T/seed_2083/run_monash_time_unique1000/visualizations/archive_latex.tex
31,0.972972973,0.629100000,\log\left(\log\left(\mathrm{Fisher}\right)\right) - \frac{\mathrm{Jacov}}{\mathrm{JacobFro}},Fisher Log Log Jacov Jacob_fro Div Sub <EOS>,(log(log(Fisher)) - (Jacov / Jacob_fro)),0.629100000,0.466500000,52,7,4,2037,run_monash_time_unique1000,1,4,TIME__Finland_Traffic__15T/seed_2037/run_monash_time_unique1000/visualizations/archive_latex.tex
32,0.972072072,0.629100000,\frac{\left(\mathrm{JacobFro}\right)^2}{\mathrm{Jacov}} + \mathrm{Fisher},Jacob_fro Square Jacov Div Fisher Add <EOS>,((square(Jacob_fro) / Jacov) + Fisher),0.629100000,0.463700000,74,6,4,2057,run_monash_time_unique1000,1,1,TIME__Finland_Traffic__15T/seed_2057/run_monash_time_unique1000/visualizations/archive_latex.tex
33,0.971171171,0.628000000,\frac{\mathrm{JacobFro} - \left(\mathrm{plain}\right)^2}{\frac{\mathrm{Jacov}}{\mathrm{ZiCo}}},Jacob_fro plain Square Sub Jacov ZiCo Div Div <EOS>,((Jacob_fro - square(plain)) / (Jacov / ZiCo)),0.628000000,0.476700000,106,8,4,2173,run_monash_time_unique1000,2,1,TIME__Finland_Traffic__15T/seed_2173/run_monash_time_unique1000/visualizations/archive_latex.tex
34,0.970270270,0.627900000,\frac{\sqrt{\mathrm{GraSP}} - \mathrm{Jacov}}{\mathrm{JacobFro} - \left(\mathrm{plain}\right)^2},GraSP Sqrt Jacov Sub Jacob_fro plain Square Sub Div <EOS>,((sqrt(GraSP) - Jacov) / (Jacob_fro - square(plain))),0.627900000,0.499300000,146,9,4,2185,run_monash_time_unique1000,1,1,TIME__Finland_Traffic__15T/seed_2185/run_monash_time_unique1000/visualizations/archive_latex.tex
35,0.969369369,0.627600000,\frac{\mathrm{GFLOPs} - \mathrm{Jacov}}{\mathrm{JacobFro} - \left(\mathrm{plain}\right)^2},GFLOPs Jacov Sub Jacob_fro plain Square Sub Div <EOS>,((GFLOPs - Jacov) / (Jacob_fro - square(plain))),0.627600000,0.497300000,116,8,4,2095,run_monash_time_unique1000,1,2,TIME__Finland_Traffic__15T/seed_2095/run_monash_time_unique1000/visualizations/archive_latex.tex
36,0.968468468,0.627600000,\frac{\left(\mathrm{plain}\right)^2 - \mathrm{JacobFro}}{\mathrm{GFLOPs} - \mathrm{Jacov}},plain Square Jacob_fro Sub GFLOPs Jacov Sub Div <EOS>,((square(plain) - Jacob_fro) / (GFLOPs - Jacov)),0.627600000,0.497300000,128,8,4,2126,run_monash_time_unique1000,1,1,TIME__Finland_Traffic__15T/seed_2126/run_monash_time_unique1000/visualizations/archive_latex.tex
37,0.967567568,0.627400000,\frac{\mathrm{GradNorm} - \mathrm{Jacov}}{\mathrm{JacobFro} - \left(\mathrm{plain}\right)^2},Grad_Norm Jacov Sub Jacob_fro plain Square Sub Div <EOS>,((Grad_Norm - Jacov) / (Jacob_fro - square(plain))),0.627400000,0.504800000,37,8,4,2093,run_monash_time_unique1000,1,1,TIME__Finland_Traffic__15T/seed_2093/run_monash_time_unique1000/visualizations/archive_latex.tex
38,0.966666667,0.627400000,\frac{\mathrm{GradNorm} - \mathrm{JacobFro} - \mathrm{JacobFro}}{-\mathrm{Jacov}},Grad_Norm Jacob_fro Sub Jacob_fro Sub Jacov Negative Div <EOS>,(((Grad_Norm - Jacob_fro) - Jacob_fro) / -(Jacov)),0.627400000,0.496300000,122,8,4,2100,run_monash_time_unique1000,1,3,TIME__Finland_Traffic__15T/seed_2100/run_monash_time_unique1000/visualizations/archive_latex.tex
