rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.803400000,\frac{\left(\frac{\mathrm{Snip}}{\sqrt{\mathrm{MParams}}}\right)^2}{\left(\mathrm{Jacov}\right) \cdot \left(\mathrm{Fisher}\right)},Snip MParams Sqrt Div Square Jacov Fisher Mul Div <EOS>,(square((Snip / sqrt(MParams))) / (Jacov * Fisher)),0.803400000,0.780700000,177,9,5,2097,run_monash_time_unique1000,1,1,TIME__MetroPT-3__5T/seed_2097/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.999099099,0.803200000,\frac{\frac{\mathrm{Snip}}{\log\left(\log\left(\mathrm{GFLOPs}\right) + \mathrm{plain}\right)}}{\mathrm{Jacov}},Snip GFLOPs Log plain Add Log Div Jacov Div <EOS>,((Snip / log((log(GFLOPs) + plain))) / Jacov),0.803200000,0.788500000,106,9,6,2213,run_monash_time_unique1000,1,1,TIME__MetroPT-3__5T/seed_2213/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.998198198,0.799200000,\left(\left(\mathrm{MParams}\right) \cdot \left(\mathrm{plain}\right)\right) \cdot \left(\left(\frac{\mathrm{Jacov}}{\mathrm{Snip}}\right)^2\right),MParams plain Mul Jacov Snip Div Square Mul <EOS>,((MParams * plain) * square((Jacov / Snip))),0.799200000,0.791800000,81,8,4,2031,run_monash_time_unique1000,1,3,TIME__MetroPT-3__5T/seed_2031/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.997297297,0.799200000,\frac{\frac{\mathrm{Snip}}{\sqrt{\mathrm{plain}}}}{\left(\mathrm{Jacov}\right) \cdot \left(\sqrt{\mathrm{MParams}}\right)},Snip plain Sqrt Div Jacov MParams Sqrt Mul Div <EOS>,((Snip / sqrt(plain)) / (Jacov * sqrt(MParams))),0.799200000,0.791800000,88,9,4,2039,run_monash_time_unique1000,1,1,TIME__MetroPT-3__5T/seed_2039/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.996396396,0.799200000,\log\left(\left(\sqrt{\left(\mathrm{plain}\right) \cdot \left(\mathrm{MParams}\right)}\right) \cdot \left(\frac{\mathrm{Jacov}}{\mathrm{Snip}}\right)\right),plain MParams Mul Sqrt Jacov Snip Div Mul Log <EOS>,log((sqrt((plain * MParams)) * (Jacov / Snip))),0.799200000,0.791800000,124,9,5,2049,run_monash_time_unique1000,1,1,TIME__MetroPT-3__5T/seed_2049/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.995495495,0.799200000,\left(\left(\mathrm{plain}\right) \cdot \left(\mathrm{MParams}\right)\right) \cdot \left(\left(\frac{\mathrm{Jacov}}{\mathrm{Snip}}\right)^2\right),plain MParams Mul Jacov Snip Div Square Mul <EOS>,((plain * MParams) * square((Jacov / Snip))),0.799200000,0.791800000,126,8,4,2053,run_monash_time_unique1000,1,2,TIME__MetroPT-3__5T/seed_2053/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.994594595,0.799200000,\left(\left(\frac{\mathrm{Jacov}}{\mathrm{Snip}}\right)^2\right) \cdot \left(\left(\mathrm{MParams}\right) \cdot \left(\mathrm{plain}\right)\right),Jacov Snip Div Square MParams plain Mul Mul <EOS>,(square((Jacov / Snip)) * (MParams * plain)),0.799200000,0.791800000,162,8,4,2061,run_monash_time_unique1000,1,10,TIME__MetroPT-3__5T/seed_2061/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.993693694,0.799200000,\frac{\mathrm{MParams}}{\left(\frac{\mathrm{Snip}}{\left(\sqrt{\mathrm{plain}}\right) \cdot \left(\mathrm{Jacov}\right)}\right)^2},MParams Snip plain Sqrt Jacov Mul Div Square Div <EOS>,(MParams / square((Snip / (sqrt(plain) * Jacov)))),0.799200000,0.791800000,180,9,6,2088,run_monash_time_unique1000,1,1,TIME__MetroPT-3__5T/seed_2088/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.992792793,0.799200000,\left(\mathrm{plain}\right) \cdot \left(\left(\mathrm{MParams}\right) \cdot \left(\left(\frac{\mathrm{Jacov}}{\mathrm{Snip}}\right)^2\right)\right),plain MParams Jacov Snip Div Square Mul Mul <EOS>,(plain * (MParams * square((Jacov / Snip)))),0.799200000,0.791800000,39,8,5,2103,run_monash_time_unique1000,1,3,TIME__MetroPT-3__5T/seed_2103/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.991891892,0.799200000,\left(\mathrm{MParams}\right) \cdot \left(\left(\mathrm{plain}\right) \cdot \left(\left(\frac{\mathrm{Jacov}}{\mathrm{Snip}}\right)^2\right)\right),MParams plain Jacov Snip Div Square Mul Mul <EOS>,(MParams * (plain * square((Jacov / Snip)))),0.799200000,0.791800000,86,8,5,2122,run_monash_time_unique1000,1,2,TIME__MetroPT-3__5T/seed_2122/run_monash_time_unique1000/visualizations/archive_latex.tex
