rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.647900000,\left(\sqrt{\mathrm{Jacov}}\right) \cdot \left(-\mathrm{GFLOPs}\right) + \frac{\mathrm{Snip}}{\mathrm{plain}},Jacov Sqrt GFLOPs Negative Mul Snip plain Div Add <EOS>,((sqrt(Jacov) * -(GFLOPs)) + (Snip / plain)),0.647900000,0.696800000,99,9,4,2190,run_monash_time_unique1000,1,1,TIME__NE_China_Wind__H/seed_2190/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.999099099,0.640100000,\left(\mathrm{GFLOPs} - \frac{\mathrm{MParams}}{\mathrm{ZiCo}}\right) \cdot \left(\mathrm{Jacov}\right),GFLOPs MParams ZiCo Div Sub Jacov Mul <EOS>,((GFLOPs - (MParams / ZiCo)) * Jacov),0.640100000,0.654200000,129,7,4,2092,run_monash_time_unique1000,1,1,TIME__NE_China_Wind__H/seed_2092/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.998198198,0.639600000,\left(\mathrm{GFLOPs} - \left(\frac{\mathrm{MParams}}{\mathrm{plain}}\right)^2\right) \cdot \left(\mathrm{Jacov}\right),GFLOPs MParams plain Div Square Sub Jacov Mul <EOS>,((GFLOPs - square((MParams / plain))) * Jacov),0.639600000,0.639900000,179,8,5,2117,run_monash_time_unique1000,1,1,TIME__NE_China_Wind__H/seed_2117/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.997297297,0.638600000,\left(\left(\mathrm{ZiCo}\right) \cdot \left(\mathrm{GFLOPs}\right) - \mathrm{MParams}\right) \cdot \left(\mathrm{Jacov}\right),ZiCo GFLOPs Mul MParams Sub Jacov Mul <EOS>,(((ZiCo * GFLOPs) - MParams) * Jacov),0.638600000,0.645500000,69,7,4,2160,run_monash_time_unique1000,1,1,TIME__NE_China_Wind__H/seed_2160/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.996396396,0.630700000,\left(\left(\mathrm{plain}\right) \cdot \left(\mathrm{GFLOPs}\right) - \left(\mathrm{MParams}\right)^2\right) \cdot \left(\mathrm{Jacov}\right),plain GFLOPs Mul MParams Square Sub Jacov Mul <EOS>,(((plain * GFLOPs) - square(MParams)) * Jacov),0.630700000,0.661800000,81,8,4,2033,run_monash_time_unique1000,1,1,TIME__NE_China_Wind__H/seed_2033/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.995495495,0.630700000,\left(\mathrm{Jacov}\right) \cdot \left(\left(\mathrm{GFLOPs}\right) \cdot \left(\mathrm{plain}\right) - \left(\mathrm{MParams}\right)^2\right),Jacov GFLOPs plain Mul MParams Square Sub Mul <EOS>,(Jacov * ((GFLOPs * plain) - square(MParams))),0.630700000,0.661800000,33,8,4,2051,run_monash_time_unique1000,1,1,TIME__NE_China_Wind__H/seed_2051/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.994594595,0.630700000,\left(\mathrm{Jacov}\right) \cdot \left(\left(\mathrm{plain}\right) \cdot \left(\mathrm{GFLOPs}\right) - \left(\mathrm{MParams}\right)^2\right),Jacov plain GFLOPs Mul MParams Square Sub Mul <EOS>,(Jacov * ((plain * GFLOPs) - square(MParams))),0.630700000,0.661800000,12,8,4,2071,run_monash_time_unique1000,1,1,TIME__NE_China_Wind__H/seed_2071/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.993693694,0.630700000,\left(\left(\mathrm{GFLOPs}\right) \cdot \left(\mathrm{plain}\right) - \left(\mathrm{MParams}\right)^2\right) \cdot \left(\mathrm{Jacov}\right),GFLOPs plain Mul MParams Square Sub Jacov Mul <EOS>,(((GFLOPs * plain) - square(MParams)) * Jacov),0.630700000,0.661800000,33,8,4,2218,run_monash_time_unique1000,1,1,TIME__NE_China_Wind__H/seed_2218/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.992792793,0.629700000,\left(\mathrm{Jacov}\right) \cdot \left(\log\left(\left(\mathrm{plain}\right) \cdot \left(\mathrm{GFLOPs}\right) - \left(\mathrm{MParams}\right)^2\right)\right),Jacov plain GFLOPs Mul MParams Square Sub Log Mul <EOS>,(Jacov * log(((plain * GFLOPs) - square(MParams)))),0.629700000,0.667400000,28,9,5,2071,run_monash_time_unique1000,2,1,TIME__NE_China_Wind__H/seed_2071/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.991891892,0.629700000,\left(\log\left(\left(\mathrm{GFLOPs}\right) \cdot \left(\mathrm{plain}\right) - \left(\mathrm{MParams}\right)^2\right)\right) \cdot \left(\mathrm{Jacov}\right),GFLOPs plain Mul MParams Square Sub Log Jacov Mul <EOS>,(log(((GFLOPs * plain) - square(MParams))) * Jacov),0.629700000,0.667400000,49,9,5,2218,run_monash_time_unique1000,2,1,TIME__NE_China_Wind__H/seed_2218/run_monash_time_unique1000/visualizations/archive_latex.tex
11,0.990990991,0.618000000,\mathrm{Snip} - \left(\mathrm{GFLOPs}\right) \cdot \left(\left(\mathrm{plain}\right) \cdot \left(\sqrt{\mathrm{Jacov}}\right)\right),Snip GFLOPs plain Jacov Sqrt Mul Mul Sub <EOS>,(Snip - (GFLOPs * (plain * sqrt(Jacov)))),0.618000000,0.655500000,14,8,5,2221,run_monash_time_unique1000,1,1,TIME__NE_China_Wind__H/seed_2221/run_monash_time_unique1000/visualizations/archive_latex.tex
12,0.990090090,0.614500000,\left(\left(\mathrm{GFLOPs}\right) \cdot \left(\sqrt{\mathrm{plain}}\right) - \left(\mathrm{MParams}\right)^2\right) \cdot \left(\mathrm{Jacov}\right),GFLOPs plain Sqrt Mul MParams Square Sub Jacov Mul <EOS>,(((GFLOPs * sqrt(plain)) - square(MParams)) * Jacov),0.614500000,0.654900000,41,9,5,2218,run_monash_time_unique1000,3,1,TIME__NE_China_Wind__H/seed_2218/run_monash_time_unique1000/visualizations/archive_latex.tex
13,0.989189189,0.611000000,\left(\mathrm{Jacov}\right) \cdot \left(\left(\mathrm{MParams} - \left(\mathrm{GFLOPs}\right) \cdot \left(\mathrm{ZiCo}\right)\right)^2\right),Jacov MParams GFLOPs ZiCo Mul Sub Square Mul <EOS>,(Jacov * square((MParams - (GFLOPs * ZiCo)))),0.611000000,0.621500000,132,8,5,2180,run_monash_time_unique1000,1,1,TIME__NE_China_Wind__H/seed_2180/run_monash_time_unique1000/visualizations/archive_latex.tex
14,0.988288288,0.605500000,\left(\left(\mathrm{GFLOPs} - \frac{\mathrm{MParams}}{\mathrm{ZiCo}}\right)^2\right) \cdot \left(\mathrm{Jacov}\right),GFLOPs MParams ZiCo Div Sub Square Jacov Mul <EOS>,(square((GFLOPs - (MParams / ZiCo))) * Jacov),0.605500000,0.611100000,200,8,5,2151,run_monash_time_unique1000,1,1,TIME__NE_China_Wind__H/seed_2151/run_monash_time_unique1000/visualizations/archive_latex.tex
15,0.987387387,0.603500000,\left(\left(\mathrm{Jacov}\right) \cdot \left(\mathrm{plain}\right)\right) \cdot \left(\mathrm{GFLOPs} - \left(\mathrm{MParams}\right)^2\right),Jacov plain Mul GFLOPs MParams Square Sub Mul <EOS>,((Jacov * plain) * (GFLOPs - square(MParams))),0.603500000,0.647400000,15,8,4,2043,run_monash_time_unique1000,1,1,TIME__NE_China_Wind__H/seed_2043/run_monash_time_unique1000/visualizations/archive_latex.tex
16,0.986486486,0.603500000,\left(\mathrm{plain}\right) \cdot \left(\left(\mathrm{GFLOPs} - \left(\mathrm{MParams}\right)^2\right) \cdot \left(\mathrm{Jacov}\right)\right),plain GFLOPs MParams Square Sub Jacov Mul Mul <EOS>,(plain * ((GFLOPs - square(MParams)) * Jacov)),0.603500000,0.647400000,188,8,5,2044,run_monash_time_unique1000,1,2,TIME__NE_China_Wind__H/seed_2044/run_monash_time_unique1000/visualizations/archive_latex.tex
17,0.985585586,0.603500000,\left(\left(\mathrm{plain}\right) \cdot \left(\mathrm{GFLOPs} - \left(\mathrm{MParams}\right)^2\right)\right) \cdot \left(\mathrm{Jacov}\right),plain GFLOPs MParams Square Sub Mul Jacov Mul <EOS>,((plain * (GFLOPs - square(MParams))) * Jacov),0.603500000,0.647400000,25,8,5,2050,run_monash_time_unique1000,1,2,TIME__NE_China_Wind__H/seed_2050/run_monash_time_unique1000/visualizations/archive_latex.tex
18,0.984684685,0.603500000,\left(\mathrm{GFLOPs} - \left(\mathrm{MParams}\right)^2\right) \cdot \left(\left(\mathrm{Jacov}\right) \cdot \left(\mathrm{plain}\right)\right),GFLOPs MParams Square Sub Jacov plain Mul Mul <EOS>,((GFLOPs - square(MParams)) * (Jacov * plain)),0.603500000,0.647400000,181,8,4,2059,run_monash_time_unique1000,1,2,TIME__NE_China_Wind__H/seed_2059/run_monash_time_unique1000/visualizations/archive_latex.tex
19,0.983783784,0.603500000,\left(\mathrm{Jacov}\right) \cdot \left(\left(\mathrm{plain}\right) \cdot \left(\mathrm{GFLOPs} - \left(\mathrm{MParams}\right)^2\right)\right),Jacov plain GFLOPs MParams Square Sub Mul Mul <EOS>,(Jacov * (plain * (GFLOPs - square(MParams)))),0.603500000,0.647400000,39,8,5,2133,run_monash_time_unique1000,1,2,TIME__NE_China_Wind__H/seed_2133/run_monash_time_unique1000/visualizations/archive_latex.tex
20,0.982882883,0.603500000,\left(\left(\mathrm{GFLOPs} - \left(\mathrm{MParams}\right)^2\right) \cdot \left(\mathrm{Jacov}\right)\right) \cdot \left(\mathrm{plain}\right),GFLOPs MParams Square Sub Jacov Mul plain Mul <EOS>,(((GFLOPs - square(MParams)) * Jacov) * plain),0.603500000,0.647400000,49,8,5,2188,run_monash_time_unique1000,1,1,TIME__NE_China_Wind__H/seed_2188/run_monash_time_unique1000/visualizations/archive_latex.tex
21,0.981981982,0.603300000,\left(\frac{\frac{\mathrm{GraSP}}{\mathrm{GFLOPs}}}{\left(\mathrm{plain}\right)^2}\right)^2 + \mathrm{Jacov},GraSP GFLOPs Div plain Square Div Square Jacov Add <EOS>,(square(((GraSP / GFLOPs) / square(plain))) + Jacov),0.603300000,0.676100000,81,9,5,2046,run_monash_time_unique1000,1,1,TIME__NE_China_Wind__H/seed_2046/run_monash_time_unique1000/visualizations/archive_latex.tex
22,0.981081081,0.602000000,\mathrm{Jacov} + \frac{\mathrm{MParams}}{\left(\frac{\mathrm{GFLOPs}}{\mathrm{L2Norm}}\right)^2},Jacov MParams GFLOPs L2-Norm Div Square Div Add <EOS>,(Jacov + (MParams / square((GFLOPs / L2-Norm)))),0.602000000,0.615500000,119,8,5,2129,run_monash_time_unique1000,1,1,TIME__NE_China_Wind__H/seed_2129/run_monash_time_unique1000/visualizations/archive_latex.tex
23,0.980180180,0.599500000,\left(\left(\left(\mathrm{plain}\right)^2\right) \cdot \left(\frac{\mathrm{Jacov}}{\mathrm{Snip}}\right)\right) \cdot \left(\log\left(\mathrm{GFLOPs}\right)\right),plain Square Jacov Snip Div Mul GFLOPs Log Mul <EOS>,((square(plain) * (Jacov / Snip)) * log(GFLOPs)),0.599500000,0.683100000,47,9,4,2028,run_monash_time_unique1000,1,3,TIME__NE_China_Wind__H/seed_2028/run_monash_time_unique1000/visualizations/archive_latex.tex
24,0.979279279,0.599500000,\left(\log\left(\mathrm{GFLOPs}\right)\right) \cdot \left(\left(\frac{\mathrm{Jacov}}{\mathrm{Snip}}\right) \cdot \left(\left(\mathrm{plain}\right)^2\right)\right),GFLOPs Log Jacov Snip Div plain Square Mul Mul <EOS>,(log(GFLOPs) * ((Jacov / Snip) * square(plain))),0.599500000,0.683100000,22,9,4,2036,run_monash_time_unique1000,1,6,TIME__NE_China_Wind__H/seed_2036/run_monash_time_unique1000/visualizations/archive_latex.tex
25,0.978378378,0.599500000,\left(\log\left(\mathrm{GFLOPs}\right)\right) \cdot \left(\frac{\mathrm{Jacov}}{\frac{\mathrm{Snip}}{\left(\mathrm{plain}\right)^2}}\right),GFLOPs Log Jacov Snip plain Square Div Div Mul <EOS>,(log(GFLOPs) * (Jacov / (Snip / square(plain)))),0.599500000,0.683100000,41,9,5,2048,run_monash_time_unique1000,1,1,TIME__NE_China_Wind__H/seed_2048/run_monash_time_unique1000/visualizations/archive_latex.tex
26,0.977477477,0.599500000,\left(\frac{\left(\mathrm{plain}\right)^2}{\mathrm{Snip}}\right) \cdot \left(\left(\log\left(\mathrm{GFLOPs}\right)\right) \cdot \left(\mathrm{Jacov}\right)\right),plain Square Snip Div GFLOPs Log Jacov Mul Mul <EOS>,((square(plain) / Snip) * (log(GFLOPs) * Jacov)),0.599500000,0.683100000,117,9,4,2049,run_monash_time_unique1000,1,4,TIME__NE_China_Wind__H/seed_2049/run_monash_time_unique1000/visualizations/archive_latex.tex
