rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.537000000,\left(\mathrm{Snip}\right)^2 - \left(\mathrm{Jacov}\right) \cdot \left(\log\left(\frac{\mathrm{Snip}}{\mathrm{GSynFlow}}\right)\right),Snip Square Jacov Snip GSynFlow Div Log Mul Sub <EOS>,(square(Snip) - (Jacov * log((Snip / GSynFlow)))),0.537000000,0.487500000,147,9,5,2194,run_monash_time_unique1000,1,1,TIME__Oil_Price__B/seed_2194/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.999099099,0.537000000,\left(\mathrm{Snip}\right)^2 + \left(\log\left(\frac{\mathrm{GSynFlow}}{\mathrm{Snip}}\right)\right) \cdot \left(\mathrm{Jacov}\right),Snip Square GSynFlow Snip Div Log Jacov Mul Add <EOS>,(square(Snip) + (log((GSynFlow / Snip)) * Jacov)),0.537000000,0.487500000,194,9,5,2200,run_monash_time_unique1000,1,1,TIME__Oil_Price__B/seed_2200/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.998198198,0.526800000,\left(\mathrm{Snip}\right)^2 - \left(\mathrm{Jacov}\right) \cdot \left(\log\left(\frac{\mathrm{L2Norm}}{\mathrm{GSynFlow}}\right)\right),Snip Square Jacov L2-Norm GSynFlow Div Log Mul Sub <EOS>,(square(Snip) - (Jacov * log((L2-Norm / GSynFlow)))),0.526800000,0.494400000,165,9,5,2194,run_monash_time_unique1000,2,1,TIME__Oil_Price__B/seed_2194/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.997297297,0.526800000,\left(\mathrm{Snip}\right)^2 + \left(\log\left(\frac{\mathrm{GSynFlow}}{\mathrm{L2Norm}}\right)\right) \cdot \left(\mathrm{Jacov}\right),Snip Square GSynFlow L2-Norm Div Log Jacov Mul Add <EOS>,(square(Snip) + (log((GSynFlow / L2-Norm)) * Jacov)),0.526800000,0.494400000,192,9,5,2200,run_monash_time_unique1000,2,1,TIME__Oil_Price__B/seed_2200/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.996396396,0.506500000,\left(\mathrm{Snip}\right)^2 + \left(\log\left(\mathrm{GSynFlow}\right)\right) \cdot \left(\mathrm{L2Norm} + \mathrm{Jacov}\right),Snip Square GSynFlow Log L2-Norm Jacov Add Mul Add <EOS>,(square(Snip) + (log(GSynFlow) * (L2-Norm + Jacov))),0.506500000,0.489900000,122,9,4,2052,run_monash_time_unique1000,1,1,TIME__Oil_Price__B/seed_2052/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.995495495,0.505800000,\left(\mathrm{Snip}\right)^2 - \left(\mathrm{Jacov}\right) \cdot \left(\log\left(\frac{\mathrm{JacobFro}}{\mathrm{GSynFlow}}\right)\right),Snip Square Jacov Jacob_fro GSynFlow Div Log Mul Sub <EOS>,(square(Snip) - (Jacov * log((Jacob_fro / GSynFlow)))),0.505800000,0.482300000,155,9,5,2194,run_monash_time_unique1000,3,1,TIME__Oil_Price__B/seed_2194/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.994594595,0.493600000,\mathrm{Snip} + \frac{\mathrm{JacobFro}}{\log\left(\frac{\mathrm{Jacov}}{\mathrm{GSynFlow}}\right)},Snip Jacob_fro Jacov GSynFlow Div Log Div Add <EOS>,(Snip + (Jacob_fro / log((Jacov / GSynFlow)))),0.493600000,0.419000000,54,8,5,2194,run_monash_time_unique1000,4,1,TIME__Oil_Price__B/seed_2194/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.993693694,0.490100000,\left(\mathrm{Snip}\right)^2 + \left(\log\left(\mathrm{GSynFlow}\right)\right) \cdot \left(\mathrm{Snip} + \mathrm{Jacov}\right),Snip Square GSynFlow Log Snip Jacov Add Mul Add <EOS>,(square(Snip) + (log(GSynFlow) * (Snip + Jacov))),0.490100000,0.485100000,123,9,4,2052,run_monash_time_unique1000,2,1,TIME__Oil_Price__B/seed_2052/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.992792793,0.488600000,\left(\mathrm{Snip}\right)^2 - \left(\mathrm{Jacov}\right) \cdot \left(\log\left(\frac{\mathrm{GFLOPs}}{\mathrm{GSynFlow}}\right)\right),Snip Square Jacov GFLOPs GSynFlow Div Log Mul Sub <EOS>,(square(Snip) - (Jacov * log((GFLOPs / GSynFlow)))),0.488600000,0.499300000,171,9,5,2194,run_monash_time_unique1000,5,1,TIME__Oil_Price__B/seed_2194/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.991891892,0.484900000,\left(\sqrt{\mathrm{GSynFlow}}\right) \cdot \left(\mathrm{L2Norm} - \mathrm{JacobFro}\right) + \left(\mathrm{Snip}\right)^2,GSynFlow Sqrt L2-Norm Jacob_fro Sub Mul Snip Square Add <EOS>,((sqrt(GSynFlow) * (L2-Norm - Jacob_fro)) + square(Snip)),0.484900000,0.359000000,136,9,4,2091,run_monash_time_unique1000,1,1,TIME__Oil_Price__B/seed_2091/run_monash_time_unique1000/visualizations/archive_latex.tex
11,0.990990991,0.484900000,\left(\mathrm{Snip}\right)^2 - \left(\sqrt{\mathrm{GSynFlow}}\right) \cdot \left(\mathrm{JacobFro} - \mathrm{L2Norm}\right),Snip Square GSynFlow Sqrt Jacob_fro L2-Norm Sub Mul Sub <EOS>,(square(Snip) - (sqrt(GSynFlow) * (Jacob_fro - L2-Norm))),0.484900000,0.359000000,71,9,4,2134,run_monash_time_unique1000,1,2,TIME__Oil_Price__B/seed_2134/run_monash_time_unique1000/visualizations/archive_latex.tex
12,0.990090090,0.479900000,\frac{\mathrm{GSynFlow}}{\left(\mathrm{JacobFro}\right) \cdot \left(\mathrm{GFLOPs}\right) + \mathrm{Jacov}},GSynFlow Jacob_fro GFLOPs Mul Jacov Add Div <EOS>,(GSynFlow / ((Jacob_fro * GFLOPs) + Jacov)),0.479900000,0.368500000,26,7,4,2078,run_monash_time_unique1000,1,1,TIME__Oil_Price__B/seed_2078/run_monash_time_unique1000/visualizations/archive_latex.tex
13,0.989189189,0.470000000,\mathrm{GradNorm} + \frac{\mathrm{Fisher}}{\log\left(\mathrm{MParams}\right)} - \mathrm{plain},Grad_Norm Fisher MParams Log Div Add plain Sub <EOS>,((Grad_Norm + (Fisher / log(MParams))) - plain),0.470000000,0.362200000,10,8,5,2172,run_monash_time_unique1000,1,1,TIME__Oil_Price__B/seed_2172/run_monash_time_unique1000/visualizations/archive_latex.tex
14,0.988288288,0.469700000,\frac{\mathrm{GSynFlow} + \mathrm{Jacov}}{\log\left(\frac{\mathrm{L2Norm}}{\mathrm{JacobFro}}\right)},GSynFlow Jacov Add L2-Norm Jacob_fro Div Log Div <EOS>,((GSynFlow + Jacov) / log((L2-Norm / Jacob_fro))),0.469700000,0.608100000,158,8,4,2042,run_monash_time_unique1000,1,1,TIME__Oil_Price__B/seed_2042/run_monash_time_unique1000/visualizations/archive_latex.tex
15,0.987387387,0.469700000,\frac{-\mathrm{Jacov} - \mathrm{GSynFlow}}{\log\left(\frac{\mathrm{JacobFro}}{\mathrm{L2Norm}}\right)},Jacov Negative GSynFlow Sub Jacob_fro L2-Norm Div Log Div <EOS>,((-(Jacov) - GSynFlow) / log((Jacob_fro / L2-Norm))),0.469700000,0.608100000,200,9,4,2088,run_monash_time_unique1000,1,3,TIME__Oil_Price__B/seed_2088/run_monash_time_unique1000/visualizations/archive_latex.tex
16,0.986486486,0.469700000,\frac{\mathrm{GSynFlow} + \mathrm{Jacov}}{-\log\left(\frac{\mathrm{JacobFro}}{\mathrm{L2Norm}}\right)},GSynFlow Jacov Add Jacob_fro L2-Norm Div Log Negative Div <EOS>,((GSynFlow + Jacov) / -(log((Jacob_fro / L2-Norm)))),0.469700000,0.608100000,185,9,5,2216,run_monash_time_unique1000,1,1,TIME__Oil_Price__B/seed_2216/run_monash_time_unique1000/visualizations/archive_latex.tex
17,0.985585586,0.468400000,\mathrm{L2Norm} - \frac{\mathrm{Jacov}}{\log\left(\left(\frac{\mathrm{Jacov}}{\mathrm{GSynFlow}}\right)^2\right)},L2-Norm Jacov Jacov GSynFlow Div Square Log Div Sub <EOS>,(L2-Norm - (Jacov / log(square((Jacov / GSynFlow))))),0.468400000,0.383700000,140,9,6,2194,run_monash_time_unique1000,6,1,TIME__Oil_Price__B/seed_2194/run_monash_time_unique1000/visualizations/archive_latex.tex
18,0.984684685,0.461300000,\left(\mathrm{GraSP}\right)^2 + \left(\sqrt{\mathrm{GSynFlow}}\right) \cdot \left(\mathrm{L2Norm} - \mathrm{JacobFro}\right),GraSP Square GSynFlow Sqrt L2-Norm Jacob_fro Sub Mul Add <EOS>,(square(GraSP) + (sqrt(GSynFlow) * (L2-Norm - Jacob_fro))),0.461300000,0.420200000,100,9,4,2050,run_monash_time_unique1000,1,3,TIME__Oil_Price__B/seed_2050/run_monash_time_unique1000/visualizations/archive_latex.tex
19,0.983783784,0.461300000,\left(\sqrt{\mathrm{GSynFlow}}\right) \cdot \left(\mathrm{L2Norm} - \mathrm{JacobFro}\right) + \left(\mathrm{GraSP}\right)^2,GSynFlow Sqrt L2-Norm Jacob_fro Sub Mul GraSP Square Add <EOS>,((sqrt(GSynFlow) * (L2-Norm - Jacob_fro)) + square(GraSP)),0.461300000,0.420200000,166,9,4,2135,run_monash_time_unique1000,1,1,TIME__Oil_Price__B/seed_2135/run_monash_time_unique1000/visualizations/archive_latex.tex
20,0.982882883,0.461300000,\left(\mathrm{GraSP}\right)^2 - \left(\sqrt{\mathrm{GSynFlow}}\right) \cdot \left(\mathrm{JacobFro} - \mathrm{L2Norm}\right),GraSP Square GSynFlow Sqrt Jacob_fro L2-Norm Sub Mul Sub <EOS>,(square(GraSP) - (sqrt(GSynFlow) * (Jacob_fro - L2-Norm))),0.461300000,0.420200000,64,9,4,2181,run_monash_time_unique1000,1,3,TIME__Oil_Price__B/seed_2181/run_monash_time_unique1000/visualizations/archive_latex.tex
21,0.981981982,0.460500000,\frac{\mathrm{GradNorm} + \frac{\mathrm{Fisher}}{\log\left(\mathrm{MParams}\right)}}{\mathrm{plain}},Grad_Norm Fisher MParams Log Div Add plain Div <EOS>,((Grad_Norm + (Fisher / log(MParams))) / plain),0.460500000,0.380000000,8,8,5,2172,run_monash_time_unique1000,2,1,TIME__Oil_Price__B/seed_2172/run_monash_time_unique1000/visualizations/archive_latex.tex
22,0.981081081,0.454600000,\frac{-\mathrm{Jacov} - \mathrm{GSynFlow}}{\mathrm{JacobFro} - \mathrm{L2Norm}},Jacov Negative GSynFlow Sub Jacob_fro L2-Norm Sub Div <EOS>,((-(Jacov) - GSynFlow) / (Jacob_fro - L2-Norm)),0.454600000,0.602800000,23,8,4,2030,run_monash_time_unique1000,1,16,TIME__Oil_Price__B/seed_2030/run_monash_time_unique1000/visualizations/archive_latex.tex
23,0.980180180,0.454600000,\frac{\mathrm{GSynFlow} + \mathrm{Jacov}}{\mathrm{L2Norm} - \mathrm{JacobFro}},GSynFlow Jacov Add L2-Norm Jacob_fro Sub Div <EOS>,((GSynFlow + Jacov) / (L2-Norm - Jacob_fro)),0.454600000,0.602800000,175,7,3,2045,run_monash_time_unique1000,1,8,TIME__Oil_Price__B/seed_2045/run_monash_time_unique1000/visualizations/archive_latex.tex
24,0.979279279,0.454600000,\frac{-\mathrm{Jacov} + -\mathrm{GSynFlow}}{\mathrm{JacobFro} - \mathrm{L2Norm}},Jacov Negative GSynFlow Negative Add Jacob_fro L2-Norm Sub Div <EOS>,((-(Jacov) + -(GSynFlow)) / (Jacob_fro - L2-Norm)),0.454600000,0.602800000,181,9,4,2065,run_monash_time_unique1000,1,1,TIME__Oil_Price__B/seed_2065/run_monash_time_unique1000/visualizations/archive_latex.tex
25,0.978378378,0.454600000,\frac{\mathrm{Jacov} + \mathrm{GSynFlow}}{\mathrm{L2Norm} - \mathrm{JacobFro}},Jacov GSynFlow Add L2-Norm Jacob_fro Sub Div <EOS>,((Jacov + GSynFlow) / (L2-Norm - Jacob_fro)),0.454600000,0.602800000,77,7,3,2072,run_monash_time_unique1000,1,5,TIME__Oil_Price__B/seed_2072/run_monash_time_unique1000/visualizations/archive_latex.tex
26,0.977477477,0.454600000,\frac{-\mathrm{GSynFlow} + \mathrm{Jacov}}{\mathrm{JacobFro} - \mathrm{L2Norm}},GSynFlow Jacov Add Negative Jacob_fro L2-Norm Sub Div <EOS>,(-((GSynFlow + Jacov)) / (Jacob_fro - L2-Norm)),0.454600000,0.602800000,186,8,4,2122,run_monash_time_unique1000,1,1,TIME__Oil_Price__B/seed_2122/run_monash_time_unique1000/visualizations/archive_latex.tex
27,0.976576577,0.454600000,\frac{-\mathrm{GSynFlow} - -\mathrm{Jacov}}{\mathrm{JacobFro} - \mathrm{L2Norm}},GSynFlow Jacov Negative Sub Negative Jacob_fro L2-Norm Sub Div <EOS>,(-((GSynFlow - -(Jacov))) / (Jacob_fro - L2-Norm)),0.454600000,0.602800000,198,9,5,2195,run_monash_time_unique1000,1,2,TIME__Oil_Price__B/seed_2195/run_monash_time_unique1000/visualizations/archive_latex.tex
28,0.975675676,0.454600000,\frac{\mathrm{GSynFlow} - -\mathrm{Jacov}}{\mathrm{L2Norm} - \mathrm{JacobFro}},GSynFlow Jacov Negative Sub L2-Norm Jacob_fro Sub Div <EOS>,((GSynFlow - -(Jacov)) / (L2-Norm - Jacob_fro)),0.454600000,0.602800000,186,8,4,2212,run_monash_time_unique1000,1,1,TIME__Oil_Price__B/seed_2212/run_monash_time_unique1000/visualizations/archive_latex.tex
29,0.974774775,0.451700000,\mathrm{Jacov} + \left(\mathrm{GFLOPs}\right)^2 + \left(\log\left(\mathrm{ZiCo}\right)\right) \cdot \left(\mathrm{Jacov}\right),Jacov GFLOPs Square Add ZiCo Log Jacov Mul Add <EOS>,((Jacov + square(GFLOPs)) + (log(ZiCo) * Jacov)),0.451700000,0.402300000,126,9,4,2102,run_monash_time_unique1000,1,1,TIME__Oil_Price__B/seed_2102/run_monash_time_unique1000/visualizations/archive_latex.tex
30,0.973873874,0.448300000,\frac{\mathrm{GSynFlow}}{\mathrm{L2Norm} - \mathrm{JacobFro}} + \left(\mathrm{GraSP}\right)^2,GSynFlow L2-Norm Jacob_fro Sub Div GraSP Square Add <EOS>,((GSynFlow / (L2-Norm - Jacob_fro)) + square(GraSP)),0.448300000,0.308600000,61,8,4,2135,run_monash_time_unique1000,2,1,TIME__Oil_Price__B/seed_2135/run_monash_time_unique1000/visualizations/archive_latex.tex
31,0.972972973,0.448300000,\left(\mathrm{GraSP}\right)^2 - \frac{\mathrm{GSynFlow}}{\mathrm{JacobFro} - \mathrm{L2Norm}},GraSP Square GSynFlow Jacob_fro L2-Norm Sub Div Sub <EOS>,(square(GraSP) - (GSynFlow / (Jacob_fro - L2-Norm))),0.448300000,0.308600000,51,8,4,2134,run_monash_time_unique1000,3,1,TIME__Oil_Price__B/seed_2134/run_monash_time_unique1000/visualizations/archive_latex.tex
32,0.972072072,0.445500000,\mathrm{GradNorm} - \log\left(\left(\mathrm{plain}\right) \cdot \left(-\mathrm{Fisher}\right)\right),Grad_Norm plain Fisher Negative Mul Log Sub <EOS>,(Grad_Norm - log((plain * -(Fisher)))),0.445500000,0.321600000,41,7,5,2178,run_monash_time_unique1000,1,1,TIME__Oil_Price__B/seed_2178/run_monash_time_unique1000/visualizations/archive_latex.tex
