rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.883000000,\left(\mathrm{ZiCo}\right) \cdot \left(\left(\sqrt{\left(\mathrm{Snip}\right) \cdot \left(\mathrm{Jacov}\right)}\right) \cdot \left(\mathrm{JacobFro}\right)\right),ZiCo Snip Jacov Mul Sqrt Jacob_fro Mul Mul <EOS>,(ZiCo * (sqrt((Snip * Jacov)) * Jacob_fro)),0.883000000,0.864300000,115,8,5,2029,run_monash_time_unique1000,1,1,TIME__OpenElectricity_NEM__5T/seed_2029/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.999099099,0.883000000,\left(\left(\sqrt{\left(\mathrm{Snip}\right) \cdot \left(\mathrm{Jacov}\right)}\right) \cdot \left(\mathrm{JacobFro}\right)\right) \cdot \left(\mathrm{ZiCo}\right),Snip Jacov Mul Sqrt Jacob_fro Mul ZiCo Mul <EOS>,((sqrt((Snip * Jacov)) * Jacob_fro) * ZiCo),0.883000000,0.864300000,61,8,5,2049,run_monash_time_unique1000,1,1,TIME__OpenElectricity_NEM__5T/seed_2049/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.998198198,0.883000000,\left(\sqrt{\left(\mathrm{Snip}\right) \cdot \left(\mathrm{Jacov}\right)}\right) \cdot \left(\left(\mathrm{ZiCo}\right) \cdot \left(\mathrm{JacobFro}\right)\right),Snip Jacov Mul Sqrt ZiCo Jacob_fro Mul Mul <EOS>,(sqrt((Snip * Jacov)) * (ZiCo * Jacob_fro)),0.883000000,0.864300000,141,8,4,2114,run_monash_time_unique1000,1,1,TIME__OpenElectricity_NEM__5T/seed_2114/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.997297297,0.883000000,\left(\sqrt{\left(\mathrm{Snip}\right) \cdot \left(\mathrm{Jacov}\right)}\right) \cdot \left(\left(\mathrm{JacobFro}\right) \cdot \left(\mathrm{ZiCo}\right)\right),Snip Jacov Mul Sqrt Jacob_fro ZiCo Mul Mul <EOS>,(sqrt((Snip * Jacov)) * (Jacob_fro * ZiCo)),0.883000000,0.864300000,191,8,4,2134,run_monash_time_unique1000,1,1,TIME__OpenElectricity_NEM__5T/seed_2134/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.996396396,0.882200000,\left(\mathrm{ZiCo}\right) \cdot \left(\mathrm{JacobFro} + \sqrt{\left(\mathrm{Jacov}\right) \cdot \left(\mathrm{GradNorm}\right)}\right),ZiCo Jacob_fro Jacov Grad_Norm Mul Sqrt Add Mul <EOS>,(ZiCo * (Jacob_fro + sqrt((Jacov * Grad_Norm)))),0.882200000,0.867500000,172,8,5,2029,run_monash_time_unique1000,2,1,TIME__OpenElectricity_NEM__5T/seed_2029/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.995495495,0.882100000,\left(\left(\mathrm{JacobFro}\right) \cdot \left(\mathrm{ZiCo}\right)\right) \cdot \left(\log\left(\left(\mathrm{GradNorm}\right) \cdot \left(\mathrm{Jacov}\right)\right)\right),Jacob_fro ZiCo Mul Grad_Norm Jacov Mul Log Mul <EOS>,((Jacob_fro * ZiCo) * log((Grad_Norm * Jacov))),0.882100000,0.860500000,40,8,4,2029,run_monash_time_unique1000,3,1,TIME__OpenElectricity_NEM__5T/seed_2029/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.994594595,0.881400000,\left(\left(\log\left(\mathrm{Jacov}\right)\right)^2\right) \cdot \left(\mathrm{JacobFro} + \mathrm{Snip}\right),Jacov Log Square Jacob_fro Snip Add Mul <EOS>,(square(log(Jacov)) * (Jacob_fro + Snip)),0.881400000,0.870400000,163,7,4,2076,run_monash_time_unique1000,1,1,TIME__OpenElectricity_NEM__5T/seed_2076/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.993693694,0.881300000,\frac{\mathrm{plain}}{\left(\mathrm{GradNorm}\right) \cdot \left(\left(\mathrm{Jacov}\right) \cdot \left(\mathrm{ZiCo}\right)\right)},plain Grad_Norm Jacov ZiCo Mul Mul Div <EOS>,(plain / (Grad_Norm * (Jacov * ZiCo))),0.881300000,0.846100000,33,7,4,2088,run_monash_time_unique1000,1,1,TIME__OpenElectricity_NEM__5T/seed_2088/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.992792793,0.881300000,\frac{\frac{\frac{\mathrm{plain}}{\mathrm{Jacov}}}{\mathrm{ZiCo}}}{\mathrm{GradNorm}},plain Jacov Div ZiCo Div Grad_Norm Div <EOS>,(((plain / Jacov) / ZiCo) / Grad_Norm),0.881300000,0.846100000,82,7,4,2117,run_monash_time_unique1000,1,1,TIME__OpenElectricity_NEM__5T/seed_2117/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.991891892,0.881300000,\frac{\frac{\mathrm{plain}}{\left(\mathrm{Jacov}\right) \cdot \left(\mathrm{GradNorm}\right)}}{\mathrm{ZiCo}},plain Jacov Grad_Norm Mul Div ZiCo Div <EOS>,((plain / (Jacov * Grad_Norm)) / ZiCo),0.881300000,0.846100000,70,7,4,2176,run_monash_time_unique1000,1,1,TIME__OpenElectricity_NEM__5T/seed_2176/run_monash_time_unique1000/visualizations/archive_latex.tex
11,0.990990991,0.881300000,\left(\mathrm{Jacov}\right) \cdot \left(\frac{-\left(\mathrm{ZiCo}\right) \cdot \left(\mathrm{GradNorm}\right)}{\mathrm{plain}}\right),Jacov ZiCo Grad_Norm Mul Negative plain Div Mul <EOS>,(Jacov * (-((ZiCo * Grad_Norm)) / plain)),0.881300000,0.846100000,25,8,5,2179,run_monash_time_unique1000,1,1,TIME__OpenElectricity_NEM__5T/seed_2179/run_monash_time_unique1000/visualizations/archive_latex.tex
12,0.990090090,0.881300000,\frac{\frac{\mathrm{plain}}{\mathrm{ZiCo}}}{\left(\mathrm{GradNorm}\right) \cdot \left(\mathrm{Jacov}\right)},plain ZiCo Div Grad_Norm Jacov Mul Div <EOS>,((plain / ZiCo) / (Grad_Norm * Jacov)),0.881300000,0.846100000,44,7,3,2220,run_monash_time_unique1000,1,1,TIME__OpenElectricity_NEM__5T/seed_2220/run_monash_time_unique1000/visualizations/archive_latex.tex
13,0.989189189,0.880600000,\frac{\frac{\mathrm{Jacov}}{\frac{\log\left(\mathrm{ZiCo}\right)}{\mathrm{GradNorm}}}}{\mathrm{plain}},Jacov ZiCo Log Grad_Norm Div Div plain Div <EOS>,((Jacov / (log(ZiCo) / Grad_Norm)) / plain),0.880600000,0.844700000,44,8,5,2123,run_monash_time_unique1000,1,1,TIME__OpenElectricity_NEM__5T/seed_2123/run_monash_time_unique1000/visualizations/archive_latex.tex
14,0.988288288,0.879200000,\left(\mathrm{JacobFro}\right) \cdot \left(\left(\mathrm{plain} - \sqrt{\mathrm{Snip}}\right) \cdot \left(\mathrm{Jacov}\right)\right),Jacob_fro plain Snip Sqrt Sub Jacov Mul Mul <EOS>,(Jacob_fro * ((plain - sqrt(Snip)) * Jacov)),0.879200000,0.853200000,106,8,5,2028,run_monash_time_unique1000,1,1,TIME__OpenElectricity_NEM__5T/seed_2028/run_monash_time_unique1000/visualizations/archive_latex.tex
15,0.987387387,0.879200000,\left(\left(\mathrm{Jacov}\right) \cdot \left(\mathrm{JacobFro}\right)\right) \cdot \left(\mathrm{plain} - \sqrt{\mathrm{Snip}}\right),Jacov Jacob_fro Mul plain Snip Sqrt Sub Mul <EOS>,((Jacov * Jacob_fro) * (plain - sqrt(Snip))),0.879200000,0.853200000,23,8,4,2153,run_monash_time_unique1000,1,1,TIME__OpenElectricity_NEM__5T/seed_2153/run_monash_time_unique1000/visualizations/archive_latex.tex
16,0.986486486,0.879100000,\left(\mathrm{JacobFro}\right) \cdot \left(\left(\left(\mathrm{GradNorm}\right) \cdot \left(\sqrt{\mathrm{Jacov}}\right)\right) \cdot \left(\left(\mathrm{ZiCo}\right)^2\right)\right),Jacob_fro Grad_Norm Jacov Sqrt Mul ZiCo Square Mul Mul <EOS>,(Jacob_fro * ((Grad_Norm * sqrt(Jacov)) * square(ZiCo))),0.879100000,0.884500000,104,9,5,2121,run_monash_time_unique1000,1,1,TIME__OpenElectricity_NEM__5T/seed_2121/run_monash_time_unique1000/visualizations/archive_latex.tex
17,0.985585586,0.879100000,\left(\sqrt{\mathrm{Jacov}}\right) \cdot \left(\left(\left(\left(\mathrm{ZiCo}\right)^2\right) \cdot \left(\mathrm{GradNorm}\right)\right) \cdot \left(\mathrm{JacobFro}\right)\right),Jacov Sqrt ZiCo Square Grad_Norm Mul Jacob_fro Mul Mul <EOS>,(sqrt(Jacov) * ((square(ZiCo) * Grad_Norm) * Jacob_fro)),0.879100000,0.884500000,122,9,5,2114,run_monash_time_unique1000,2,1,TIME__OpenElectricity_NEM__5T/seed_2114/run_monash_time_unique1000/visualizations/archive_latex.tex
18,0.984684685,0.878700000,\left(\left(-\mathrm{Snip}\right) \cdot \left(\mathrm{Jacov}\right) + \left(\mathrm{JacobFro}\right)^2\right) \cdot \left(\mathrm{ZiCo}\right),Snip Negative Jacov Mul Jacob_fro Square Add ZiCo Mul <EOS>,(((-(Snip) * Jacov) + square(Jacob_fro)) * ZiCo),0.878700000,0.861100000,168,9,5,2170,run_monash_time_unique1000,1,1,TIME__OpenElectricity_NEM__5T/seed_2170/run_monash_time_unique1000/visualizations/archive_latex.tex
