rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.784400000,\sqrt{\log\left(\frac{\left(\mathrm{GradNorm}\right) \cdot \left(\mathrm{L2Norm}\right)}{\mathrm{Snip}}\right)} + \mathrm{ZiCo},Grad_Norm L2-Norm Mul Snip Div Log Sqrt ZiCo Add <EOS>,(sqrt(log(((Grad_Norm * L2-Norm) / Snip))) + ZiCo),0.784400000,0.766300000,22,9,6,2175,run_monash_time_unique1000,1,1,TIME__Port_Activity__D/seed_2175/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.999099099,0.767500000,\log\left(\left(-\mathrm{ZiCo}\right) \cdot \left(\left(\mathrm{L2Norm}\right) \cdot \left(\frac{\mathrm{GradNorm}}{\mathrm{Snip}}\right)\right)\right),ZiCo Negative L2-Norm Grad_Norm Snip Div Mul Mul Log <EOS>,log((-(ZiCo) * (L2-Norm * (Grad_Norm / Snip)))),0.767500000,0.697800000,102,9,5,2030,run_monash_time_unique1000,1,1,TIME__Port_Activity__D/seed_2030/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.998198198,0.767500000,\frac{\left(\left(\mathrm{ZiCo}\right) \cdot \left(\mathrm{GradNorm}\right)\right) \cdot \left(\mathrm{L2Norm}\right)}{\mathrm{Snip}},ZiCo Grad_Norm Mul L2-Norm Mul Snip Div <EOS>,(((ZiCo * Grad_Norm) * L2-Norm) / Snip),0.767500000,0.697800000,101,7,4,2037,run_monash_time_unique1000,1,1,TIME__Port_Activity__D/seed_2037/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.997297297,0.767500000,\frac{\left(\mathrm{ZiCo}\right) \cdot \left(\left(\mathrm{GradNorm}\right) \cdot \left(\mathrm{L2Norm}\right)\right)}{\mathrm{Snip}},ZiCo Grad_Norm L2-Norm Mul Mul Snip Div <EOS>,((ZiCo * (Grad_Norm * L2-Norm)) / Snip),0.767500000,0.697800000,9,7,4,2043,run_monash_time_unique1000,1,2,TIME__Port_Activity__D/seed_2043/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.996396396,0.767500000,\left(\frac{\mathrm{ZiCo}}{\frac{\mathrm{Snip}}{\mathrm{GradNorm}}}\right) \cdot \left(\mathrm{L2Norm}\right),ZiCo Snip Grad_Norm Div Div L2-Norm Mul <EOS>,((ZiCo / (Snip / Grad_Norm)) * L2-Norm),0.767500000,0.697800000,82,7,4,2054,run_monash_time_unique1000,1,1,TIME__Port_Activity__D/seed_2054/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.995495495,0.767500000,\left(\left(\mathrm{GradNorm}\right) \cdot \left(\mathrm{ZiCo}\right)\right) \cdot \left(\frac{\mathrm{L2Norm}}{\mathrm{Snip}}\right),Grad_Norm ZiCo Mul L2-Norm Snip Div Mul <EOS>,((Grad_Norm * ZiCo) * (L2-Norm / Snip)),0.767500000,0.697800000,124,7,3,2064,run_monash_time_unique1000,1,1,TIME__Port_Activity__D/seed_2064/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.994594595,0.767500000,\left(\left(\mathrm{ZiCo}\right) \cdot \left(\mathrm{L2Norm}\right)\right) \cdot \left(\frac{\mathrm{GradNorm}}{\mathrm{Snip}}\right),ZiCo L2-Norm Mul Grad_Norm Snip Div Mul <EOS>,((ZiCo * L2-Norm) * (Grad_Norm / Snip)),0.767500000,0.697800000,130,7,3,2086,run_monash_time_unique1000,1,2,TIME__Port_Activity__D/seed_2086/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.993693694,0.767500000,\frac{\mathrm{L2Norm}}{\frac{\mathrm{Snip}}{\left(\mathrm{GradNorm}\right) \cdot \left(\mathrm{ZiCo}\right)}},L2-Norm Snip Grad_Norm ZiCo Mul Div Div <EOS>,(L2-Norm / (Snip / (Grad_Norm * ZiCo))),0.767500000,0.697800000,96,7,4,2093,run_monash_time_unique1000,1,1,TIME__Port_Activity__D/seed_2093/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.992792793,0.767500000,\frac{\frac{-\mathrm{Snip}}{\left(\mathrm{GradNorm}\right) \cdot \left(\mathrm{ZiCo}\right)}}{\mathrm{L2Norm}},Snip Negative Grad_Norm ZiCo Mul Div L2-Norm Div <EOS>,((-(Snip) / (Grad_Norm * ZiCo)) / L2-Norm),0.767500000,0.697800000,72,8,4,2099,run_monash_time_unique1000,1,1,TIME__Port_Activity__D/seed_2099/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.991891892,0.767500000,\left(\left(\frac{\mathrm{L2Norm}}{\mathrm{Snip}}\right) \cdot \left(\mathrm{GradNorm}\right)\right) \cdot \left(\mathrm{ZiCo}\right),L2-Norm Snip Div Grad_Norm Mul ZiCo Mul <EOS>,(((L2-Norm / Snip) * Grad_Norm) * ZiCo),0.767500000,0.697800000,133,7,4,2106,run_monash_time_unique1000,1,1,TIME__Port_Activity__D/seed_2106/run_monash_time_unique1000/visualizations/archive_latex.tex
