rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.604900000,\frac{\sqrt{\frac{\mathrm{L2Norm}}{\log\left(\mathrm{GFLOPs}\right)} - \mathrm{JacobFro}}}{\mathrm{Jacov}},L2-Norm GFLOPs Log Div Jacob_fro Sub Sqrt Jacov Div <EOS>,(sqrt(((L2-Norm / log(GFLOPs)) - Jacob_fro)) / Jacov),0.604900000,0.517400000,124,9,6,2087,run_monash_time_unique1000,1,1,TIME__SG_Carpark__15T/seed_2087/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.999099099,0.603900000,\frac{\log\left(\mathrm{L2Norm} + \mathrm{Jacov}\right) + \mathrm{GSynFlow}}{\mathrm{JacobFro}},L2-Norm Jacov Add Log GSynFlow Add Jacob_fro Div <EOS>,((log((L2-Norm + Jacov)) + GSynFlow) / Jacob_fro),0.603900000,0.448400000,182,8,5,2070,run_monash_time_unique1000,1,1,TIME__SG_Carpark__15T/seed_2070/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.998198198,0.602300000,\frac{\log\left(\left(\mathrm{GSynFlow} - \mathrm{plain}\right) \cdot \left(\mathrm{Jacov}\right)\right)}{\mathrm{JacobFro}},GSynFlow plain Sub Jacov Mul Log Jacob_fro Div <EOS>,(log(((GSynFlow - plain) * Jacov)) / Jacob_fro),0.602300000,0.460700000,106,8,5,2043,run_monash_time_unique1000,1,1,TIME__SG_Carpark__15T/seed_2043/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.997297297,0.599700000,\frac{\mathrm{GSynFlow} + \log\left(\frac{\left(\mathrm{Jacov}\right)^2}{\mathrm{JacobFro}}\right)}{\mathrm{JacobFro}},GSynFlow Jacov Square Jacob_fro Div Log Add Jacob_fro Div <EOS>,((GSynFlow + log((square(Jacov) / Jacob_fro))) / Jacob_fro),0.599700000,0.435500000,43,9,6,2160,run_monash_time_unique1000,1,1,TIME__SG_Carpark__15T/seed_2160/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.996396396,0.599600000,\frac{\mathrm{JacobFro}}{-\sqrt{\mathrm{Jacov}}} + \mathrm{GSynFlow},Jacob_fro Jacov Sqrt Negative Div GSynFlow Add <EOS>,((Jacob_fro / -(sqrt(Jacov))) + GSynFlow),0.599600000,0.460500000,72,7,5,2055,run_monash_time_unique1000,1,1,TIME__SG_Carpark__15T/seed_2055/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.995495495,0.596500000,\frac{\left(\mathrm{GSynFlow}\right) \cdot \left(\mathrm{Fisher}\right) + \left(\log\left(\mathrm{Jacov}\right)\right)^2}{\mathrm{JacobFro}},GSynFlow Fisher Mul Jacov Log Square Add Jacob_fro Div <EOS>,(((GSynFlow * Fisher) + square(log(Jacov))) / Jacob_fro),0.596500000,0.432000000,106,9,5,2070,run_monash_time_unique1000,2,1,TIME__SG_Carpark__15T/seed_2070/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.994594595,0.596300000,\frac{\mathrm{JacobFro}}{\mathrm{ZiCo} - \sqrt{\mathrm{Jacov}}} + \mathrm{GSynFlow},Jacob_fro ZiCo Jacov Sqrt Sub Div GSynFlow Add <EOS>,((Jacob_fro / (ZiCo - sqrt(Jacov))) + GSynFlow),0.596300000,0.461600000,51,8,5,2224,run_monash_time_unique1000,1,1,TIME__SG_Carpark__15T/seed_2224/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.993693694,0.594800000,\frac{\frac{\left(\mathrm{JacobFro}\right)^2}{\mathrm{GSynFlow} + \log\left(\mathrm{Snip}\right)}}{\mathrm{Jacov}},Jacob_fro Square GSynFlow Snip Log Add Div Jacov Div <EOS>,((square(Jacob_fro) / (GSynFlow + log(Snip))) / Jacov),0.594800000,0.461500000,21,9,5,2179,run_monash_time_unique1000,1,1,TIME__SG_Carpark__15T/seed_2179/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.992792793,0.594600000,\frac{\mathrm{GSynFlow} + \mathrm{plain} + \log\left(\mathrm{Jacov}\right)}{\mathrm{JacobFro}},GSynFlow plain Add Jacov Log Add Jacob_fro Div <EOS>,(((GSynFlow + plain) + log(Jacov)) / Jacob_fro),0.594600000,0.434300000,24,8,4,2059,run_monash_time_unique1000,1,1,TIME__SG_Carpark__15T/seed_2059/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.991891892,0.594600000,\frac{\left(\log\left(\mathrm{Jacov}\right)\right)^2 + \left(\mathrm{GSynFlow}\right)^2}{\mathrm{JacobFro}},Jacov Log Square GSynFlow Square Add Jacob_fro Div <EOS>,((square(log(Jacov)) + square(GSynFlow)) / Jacob_fro),0.594600000,0.443200000,25,8,5,2059,run_monash_time_unique1000,2,1,TIME__SG_Carpark__15T/seed_2059/run_monash_time_unique1000/visualizations/archive_latex.tex
11,0.990990991,0.594500000,\frac{\left(\frac{\mathrm{GSynFlow}}{\mathrm{ZiCo}}\right)^2 - \mathrm{Jacov}}{\left(\mathrm{JacobFro}\right)^2},GSynFlow ZiCo Div Square Jacov Sub Jacob_fro Square Div <EOS>,((square((GSynFlow / ZiCo)) - Jacov) / square(Jacob_fro)),0.594500000,0.448500000,179,9,5,2168,run_monash_time_unique1000,1,1,TIME__SG_Carpark__15T/seed_2168/run_monash_time_unique1000/visualizations/archive_latex.tex
12,0.990090090,0.594400000,\left(\frac{\sqrt{\mathrm{Jacov}}}{\mathrm{JacobFro}}\right) \cdot \left(\sqrt{\mathrm{Snip}} + \mathrm{GSynFlow}\right),Jacov Sqrt Jacob_fro Div Snip Sqrt GSynFlow Add Mul <EOS>,((sqrt(Jacov) / Jacob_fro) * (sqrt(Snip) + GSynFlow)),0.594400000,0.448000000,100,9,4,2208,run_monash_time_unique1000,1,1,TIME__SG_Carpark__15T/seed_2208/run_monash_time_unique1000/visualizations/archive_latex.tex
13,0.989189189,0.593800000,\frac{\log\left(\mathrm{GFLOPs}\right)}{\frac{\left(\mathrm{JacobFro}\right)^2}{\left(\mathrm{Jacov}\right)^2}},GFLOPs Log Jacob_fro Square Jacov Square Div Div <EOS>,(log(GFLOPs) / (square(Jacob_fro) / square(Jacov))),0.593800000,0.467200000,25,8,4,2105,run_monash_time_unique1000,1,1,TIME__SG_Carpark__15T/seed_2105/run_monash_time_unique1000/visualizations/archive_latex.tex
14,0.988288288,0.593800000,\left(\left(\frac{\mathrm{Jacov}}{\mathrm{JacobFro}}\right)^2\right) \cdot \left(\log\left(-\mathrm{GFLOPs}\right)\right),Jacov Jacob_fro Div Square GFLOPs Negative Log Mul <EOS>,(square((Jacov / Jacob_fro)) * log(-(GFLOPs))),0.593800000,0.467200000,130,8,4,2162,run_monash_time_unique1000,1,1,TIME__SG_Carpark__15T/seed_2162/run_monash_time_unique1000/visualizations/archive_latex.tex
15,0.987387387,0.593100000,\frac{\log\left(\frac{\mathrm{Jacov} - \mathrm{GSynFlow}}{\mathrm{JacobFro}}\right)}{\mathrm{JacobFro}},Jacov GSynFlow Sub Jacob_fro Div Log Jacob_fro Div <EOS>,(log(((Jacov - GSynFlow) / Jacob_fro)) / Jacob_fro),0.593100000,0.459200000,15,8,5,2040,run_monash_time_unique1000,1,4,TIME__SG_Carpark__15T/seed_2040/run_monash_time_unique1000/visualizations/archive_latex.tex
16,0.986486486,0.593100000,\frac{\log\left(\frac{\mathrm{GSynFlow} - \mathrm{Jacov}}{\mathrm{JacobFro}}\right)}{\mathrm{JacobFro}},GSynFlow Jacov Sub Jacob_fro Div Log Jacob_fro Div <EOS>,(log(((GSynFlow - Jacov) / Jacob_fro)) / Jacob_fro),0.593100000,0.459200000,19,8,5,2052,run_monash_time_unique1000,1,2,TIME__SG_Carpark__15T/seed_2052/run_monash_time_unique1000/visualizations/archive_latex.tex
