rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.591200000,\frac{\left(\log\left(\mathrm{Fisher}\right) + \mathrm{GFLOPs}\right)^2}{\mathrm{JacobFro} + \mathrm{GSynFlow}},Fisher Log GFLOPs Add Square Jacob_fro GSynFlow Add Div <EOS>,(square((log(Fisher) + GFLOPs)) / (Jacob_fro + GSynFlow)),0.591200000,0.477900000,62,9,5,2125,run_monash_time_unique1000,1,1,TIME__SG_PM25__H/seed_2125/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.999099099,0.557300000,\left(\mathrm{plain}\right) \cdot \left(\mathrm{GFLOPs} - \sqrt{\mathrm{JacobFro} + \sqrt{\mathrm{GSynFlow}}}\right),plain GFLOPs Jacob_fro GSynFlow Sqrt Add Sqrt Sub Mul <EOS>,(plain * (GFLOPs - sqrt((Jacob_fro + sqrt(GSynFlow))))),0.557300000,0.448900000,127,9,6,2143,run_monash_time_unique1000,1,1,TIME__SG_PM25__H/seed_2143/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.998198198,0.556700000,\left(\left(\mathrm{Snip}\right) \cdot \left(\mathrm{MParams}\right)\right) \cdot \left(\log\left(\mathrm{MParams}\right)\right) - \sqrt{\mathrm{GSynFlow}},Snip MParams Mul MParams Log Mul GSynFlow Sqrt Sub <EOS>,(((Snip * MParams) * log(MParams)) - sqrt(GSynFlow)),0.556700000,0.426900000,57,9,4,2071,run_monash_time_unique1000,1,1,TIME__SG_PM25__H/seed_2071/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.997297297,0.556200000,\left(\mathrm{Snip}\right) \cdot \left(\mathrm{GFLOPs} - \sqrt{\sqrt{\mathrm{GSynFlow}} + \mathrm{JacobFro}}\right),Snip GFLOPs GSynFlow Sqrt Jacob_fro Add Sqrt Sub Mul <EOS>,(Snip * (GFLOPs - sqrt((sqrt(GSynFlow) + Jacob_fro)))),0.556200000,0.464500000,80,9,6,2204,run_monash_time_unique1000,1,1,TIME__SG_PM25__H/seed_2204/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.996396396,0.556200000,\left(\mathrm{GFLOPs} - \sqrt{\sqrt{\mathrm{GSynFlow}} + \mathrm{JacobFro}}\right) \cdot \left(\mathrm{Snip}\right),GFLOPs GSynFlow Sqrt Jacob_fro Add Sqrt Sub Snip Mul <EOS>,((GFLOPs - sqrt((sqrt(GSynFlow) + Jacob_fro))) * Snip),0.556200000,0.464500000,135,9,6,2071,run_monash_time_unique1000,2,1,TIME__SG_PM25__H/seed_2071/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.995495495,0.553500000,\left(\left(\left(\mathrm{GFLOPs}\right)^2\right) \cdot \left(\mathrm{MParams}\right)\right)^2 - \mathrm{GSynFlow} - \mathrm{GraSP},GFLOPs Square MParams Mul Square GSynFlow GraSP Sub Sub <EOS>,(square((square(GFLOPs) * MParams)) - (GSynFlow - GraSP)),0.553500000,0.428700000,39,9,5,2114,run_monash_time_unique1000,1,1,TIME__SG_PM25__H/seed_2114/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.994594595,0.547600000,\left(\mathrm{GFLOPs}\right)^2 - \sqrt{\mathrm{GSynFlow} + \left(\mathrm{JacobFro}\right) \cdot \left(\mathrm{Snip}\right)},GFLOPs Square GSynFlow Jacob_fro Snip Mul Add Sqrt Sub <EOS>,(square(GFLOPs) - sqrt((GSynFlow + (Jacob_fro * Snip)))),0.547600000,0.415500000,56,9,5,2122,run_monash_time_unique1000,1,1,TIME__SG_PM25__H/seed_2122/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.993693694,0.547600000,\left(\mathrm{GFLOPs}\right)^2 - \sqrt{\mathrm{GSynFlow} + \left(\mathrm{Snip}\right) \cdot \left(\mathrm{JacobFro}\right)},GFLOPs Square GSynFlow Snip Jacob_fro Mul Add Sqrt Sub <EOS>,(square(GFLOPs) - sqrt((GSynFlow + (Snip * Jacob_fro)))),0.547600000,0.415500000,112,9,5,2144,run_monash_time_unique1000,1,1,TIME__SG_PM25__H/seed_2144/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.992792793,0.547600000,\left(\mathrm{GFLOPs}\right)^2 - \sqrt{\left(\mathrm{Snip}\right) \cdot \left(\mathrm{JacobFro}\right) + \mathrm{GSynFlow}},GFLOPs Square Snip Jacob_fro Mul GSynFlow Add Sqrt Sub <EOS>,(square(GFLOPs) - sqrt(((Snip * Jacob_fro) + GSynFlow))),0.547600000,0.415500000,28,9,5,2172,run_monash_time_unique1000,1,1,TIME__SG_PM25__H/seed_2172/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.991891892,0.545900000,\mathrm{MParams} - \log\left(\left(\mathrm{Snip}\right) \cdot \left(\mathrm{JacobFro}\right) + \mathrm{GSynFlow}\right),MParams Snip Jacob_fro Mul GSynFlow Add Log Sub <EOS>,(MParams - log(((Snip * Jacob_fro) + GSynFlow))),0.545900000,0.445100000,97,8,5,2107,run_monash_time_unique1000,1,1,TIME__SG_PM25__H/seed_2107/run_monash_time_unique1000/visualizations/archive_latex.tex
