rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.741200000,\frac{\left(\mathrm{MParams}\right) \cdot \left(\mathrm{plain}\right)}{\frac{\mathrm{Snip}}{\mathrm{ZiCo}}},MParams plain Mul Snip ZiCo Div Div <EOS>,((MParams * plain) / (Snip / ZiCo)),0.741200000,0.683600000,95,7,3,2209,run_monash_time_unique1000,1,1,TIME__SG_Weather__D/seed_2209/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.999099099,0.738600000,\frac{\mathrm{ZiCo} + \mathrm{plain}}{\frac{\mathrm{GradNorm}}{\mathrm{MParams}}},ZiCo plain Add Grad_Norm MParams Div Div <EOS>,((ZiCo + plain) / (Grad_Norm / MParams)),0.738600000,0.678200000,50,7,3,2057,run_monash_time_unique1000,1,2,TIME__SG_Weather__D/seed_2057/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.998198198,0.738600000,\left(\mathrm{ZiCo} + \mathrm{plain}\right) \cdot \left(\frac{\mathrm{MParams}}{\mathrm{GradNorm}}\right),ZiCo plain Add MParams Grad_Norm Div Mul <EOS>,((ZiCo + plain) * (MParams / Grad_Norm)),0.738600000,0.678200000,112,7,3,2071,run_monash_time_unique1000,1,2,TIME__SG_Weather__D/seed_2071/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.997297297,0.738600000,\frac{\mathrm{plain} + \mathrm{ZiCo}}{\frac{\mathrm{GradNorm}}{\mathrm{MParams}}},plain ZiCo Add Grad_Norm MParams Div Div <EOS>,((plain + ZiCo) / (Grad_Norm / MParams)),0.738600000,0.678200000,156,7,3,2111,run_monash_time_unique1000,1,1,TIME__SG_Weather__D/seed_2111/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.996396396,0.738600000,\left(\frac{\mathrm{MParams}}{\mathrm{GradNorm}}\right) \cdot \left(\mathrm{ZiCo} + \mathrm{plain}\right),MParams Grad_Norm Div ZiCo plain Add Mul <EOS>,((MParams / Grad_Norm) * (ZiCo + plain)),0.738600000,0.678200000,21,7,3,2124,run_monash_time_unique1000,1,1,TIME__SG_Weather__D/seed_2124/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.995495495,0.738600000,\left(\mathrm{plain} + \mathrm{ZiCo}\right) \cdot \left(\frac{\mathrm{MParams}}{\mathrm{GradNorm}}\right),plain ZiCo Add MParams Grad_Norm Div Mul <EOS>,((plain + ZiCo) * (MParams / Grad_Norm)),0.738600000,0.678200000,190,7,3,2209,run_monash_time_unique1000,2,1,TIME__SG_Weather__D/seed_2209/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.994594595,0.738500000,\frac{\sqrt{\left(\mathrm{Fisher}\right) \cdot \left(\mathrm{MParams}\right)}}{\mathrm{GradNorm}},Fisher MParams Mul Sqrt Grad_Norm Div <EOS>,(sqrt((Fisher * MParams)) / Grad_Norm),0.738500000,0.635800000,39,6,4,2027,run_monash_time_unique1000,1,1,TIME__SG_Weather__D/seed_2027/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.993693694,0.738500000,\left(\mathrm{Fisher}\right) \cdot \left(\frac{\mathrm{MParams}}{\left(\mathrm{GradNorm}\right)^2}\right),Fisher MParams Grad_Norm Square Div Mul <EOS>,(Fisher * (MParams / square(Grad_Norm))),0.738500000,0.635800000,23,6,4,2035,run_monash_time_unique1000,1,2,TIME__SG_Weather__D/seed_2035/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.992792793,0.738500000,\frac{\mathrm{MParams}}{\frac{\left(\mathrm{GradNorm}\right)^2}{\mathrm{Fisher}}},MParams Grad_Norm Square Fisher Div Div <EOS>,(MParams / (square(Grad_Norm) / Fisher)),0.738500000,0.635800000,184,6,4,2037,run_monash_time_unique1000,1,1,TIME__SG_Weather__D/seed_2037/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.991891892,0.738500000,\frac{\frac{\mathrm{MParams}}{\frac{\mathrm{GradNorm}}{\mathrm{Fisher}}}}{\mathrm{GradNorm}},MParams Grad_Norm Fisher Div Div Grad_Norm Div <EOS>,((MParams / (Grad_Norm / Fisher)) / Grad_Norm),0.738500000,0.635800000,34,7,4,2043,run_monash_time_unique1000,1,1,TIME__SG_Weather__D/seed_2043/run_monash_time_unique1000/visualizations/archive_latex.tex
