rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.430300000,\left(\left(\mathrm{Jacov}\right) \cdot \left(\log\left(\left(\mathrm{GradNorm}\right)^2 - \mathrm{GFLOPs}\right)\right)\right)^2,Jacov Grad_Norm Square GFLOPs Sub Log Mul Square <EOS>,square((Jacov * log((square(Grad_Norm) - GFLOPs)))),0.430300000,0.331400000,137,8,6,2131,run_monash_time_unique1000,1,1,TIME__US_Term_Structure__B/seed_2131/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.999099099,0.430300000,\left(\left(\mathrm{Jacov}\right) \cdot \left(\log\left(\mathrm{GFLOPs} - \left(\mathrm{GradNorm}\right)^2\right)\right)\right)^2,Jacov GFLOPs Grad_Norm Square Sub Log Mul Square <EOS>,square((Jacov * log((GFLOPs - square(Grad_Norm))))),0.430300000,0.331400000,168,8,6,2162,run_monash_time_unique1000,1,1,TIME__US_Term_Structure__B/seed_2162/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.998198198,0.423700000,\frac{\mathrm{GSynFlow}}{\frac{\sqrt{\log\left(\mathrm{Fisher}\right)}}{\mathrm{Jacov}} + \mathrm{Fisher}},GSynFlow Fisher Log Sqrt Jacov Div Fisher Add Div <EOS>,(GSynFlow / ((sqrt(log(Fisher)) / Jacov) + Fisher)),0.423700000,0.311900000,29,9,6,2095,run_monash_time_unique1000,1,1,TIME__US_Term_Structure__B/seed_2095/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.997297297,0.423600000,\left(\frac{\mathrm{L2Norm}}{\mathrm{Jacov}} + \mathrm{GradNorm}\right) \cdot \left(\left(\mathrm{plain}\right)^2\right),L2-Norm Jacov Div Grad_Norm Add plain Square Mul <EOS>,(((L2-Norm / Jacov) + Grad_Norm) * square(plain)),0.423600000,0.302700000,151,8,4,2114,run_monash_time_unique1000,1,1,TIME__US_Term_Structure__B/seed_2114/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.996396396,0.423600000,\left(\mathrm{plain}\right) \cdot \left(\sqrt{\frac{\mathrm{L2Norm}}{\mathrm{Jacov}} + \mathrm{GradNorm}}\right),plain L2-Norm Jacov Div Grad_Norm Add Sqrt Mul <EOS>,(plain * sqrt(((L2-Norm / Jacov) + Grad_Norm))),0.423600000,0.302700000,127,8,5,2150,run_monash_time_unique1000,1,1,TIME__US_Term_Structure__B/seed_2150/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.995495495,0.421300000,\frac{\mathrm{GSynFlow}}{\frac{\sqrt{\log\left(\mathrm{Snip}\right)}}{\mathrm{Jacov}} + \mathrm{Fisher}},GSynFlow Snip Log Sqrt Jacov Div Fisher Add Div <EOS>,(GSynFlow / ((sqrt(log(Snip)) / Jacov) + Fisher)),0.421300000,0.308300000,30,9,6,2095,run_monash_time_unique1000,2,1,TIME__US_Term_Structure__B/seed_2095/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.994594595,0.419800000,\frac{\log\left(\mathrm{Jacov}\right)}{\mathrm{L2Norm} + \mathrm{plain} - \mathrm{Snip}},Jacov Log L2-Norm plain Add Snip Sub Div <EOS>,(log(Jacov) / ((L2-Norm + plain) - Snip)),0.419800000,0.260600000,76,8,4,2205,run_monash_time_unique1000,1,1,TIME__US_Term_Structure__B/seed_2205/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.993693694,0.417500000,\frac{\mathrm{GSynFlow}}{\frac{\log\left(\log\left(\mathrm{JacobFro}\right)\right)}{\mathrm{Jacov}} + \mathrm{Fisher}},GSynFlow Jacob_fro Log Log Jacov Div Fisher Add Div <EOS>,(GSynFlow / ((log(log(Jacob_fro)) / Jacov) + Fisher)),0.417500000,0.307700000,66,9,6,2095,run_monash_time_unique1000,3,1,TIME__US_Term_Structure__B/seed_2095/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.992792793,0.417000000,\frac{\frac{\mathrm{GFLOPs}}{\left(\mathrm{GraSP}\right)^2 - \sqrt{\mathrm{GSynFlow}}}}{\mathrm{Jacov}},GFLOPs GraSP Square GSynFlow Sqrt Sub Div Jacov Div <EOS>,((GFLOPs / (square(GraSP) - sqrt(GSynFlow))) / Jacov),0.417000000,0.344700000,196,9,5,2124,run_monash_time_unique1000,1,1,TIME__US_Term_Structure__B/seed_2124/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.991891892,0.417000000,\frac{\mathrm{GFLOPs}}{\left(\left(\mathrm{GraSP}\right)^2 - \sqrt{\mathrm{GSynFlow}}\right) \cdot \left(\mathrm{Jacov}\right)},GFLOPs GraSP Square GSynFlow Sqrt Sub Jacov Mul Div <EOS>,(GFLOPs / ((square(GraSP) - sqrt(GSynFlow)) * Jacov)),0.417000000,0.344700000,51,9,5,2127,run_monash_time_unique1000,1,1,TIME__US_Term_Structure__B/seed_2127/run_monash_time_unique1000/visualizations/archive_latex.tex
