rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.779600000,\frac{\sqrt{\left(\log\left(\mathrm{Jacov}\right)\right) \cdot \left(\mathrm{MParams}\right)}}{\left(\mathrm{L2Norm}\right)^2},Jacov Log MParams Mul Sqrt L2-Norm Square Div <EOS>,(sqrt((log(Jacov) * MParams)) / square(L2-Norm)),0.779600000,0.761100000,157,8,5,2168,run_monash_time_unique1000,1,1,TIME__Water_Quality_Darwin__15T/seed_2168/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.999099099,0.762100000,\sqrt{\frac{\mathrm{GFLOPs}}{\mathrm{GSynFlow}} - \mathrm{Jacov}} + \sqrt{\mathrm{JacobFro}},GFLOPs GSynFlow Div Jacov Sub Sqrt Jacob_fro Sqrt Add <EOS>,(sqrt(((GFLOPs / GSynFlow) - Jacov)) + sqrt(Jacob_fro)),0.762100000,0.811700000,60,9,5,2113,run_monash_time_unique1000,1,1,TIME__Water_Quality_Darwin__15T/seed_2113/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.998198198,0.761500000,\left(\sqrt{\mathrm{JacobFro}}\right) \cdot \left(\frac{\mathrm{GFLOPs}}{\mathrm{GSynFlow}} - \mathrm{Jacov}\right),Jacob_fro Sqrt GFLOPs GSynFlow Div Jacov Sub Mul <EOS>,(sqrt(Jacob_fro) * ((GFLOPs / GSynFlow) - Jacov)),0.761500000,0.808900000,12,8,4,2041,run_monash_time_unique1000,1,3,TIME__Water_Quality_Darwin__15T/seed_2041/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.997297297,0.761500000,\left(\frac{\mathrm{GFLOPs}}{\mathrm{GSynFlow}} - \mathrm{Jacov}\right) \cdot \left(\sqrt{\mathrm{JacobFro}}\right),GFLOPs GSynFlow Div Jacov Sub Jacob_fro Sqrt Mul <EOS>,(((GFLOPs / GSynFlow) - Jacov) * sqrt(Jacob_fro)),0.761500000,0.808900000,59,8,4,2114,run_monash_time_unique1000,1,4,TIME__Water_Quality_Darwin__15T/seed_2114/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.996396396,0.761400000,\left(\left(\log\left(\mathrm{JacobFro}\right)\right)^2\right) \cdot \left(\frac{\mathrm{GFLOPs}}{\mathrm{GSynFlow}} - \mathrm{Jacov}\right),Jacob_fro Log Square GFLOPs GSynFlow Div Jacov Sub Mul <EOS>,(square(log(Jacob_fro)) * ((GFLOPs / GSynFlow) - Jacov)),0.761400000,0.809300000,82,9,4,2206,run_monash_time_unique1000,2,1,TIME__Water_Quality_Darwin__15T/seed_2206/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.995495495,0.761400000,\left(\frac{\mathrm{GFLOPs}}{\mathrm{GSynFlow}} - \mathrm{Jacov}\right) \cdot \left(\left(\log\left(\mathrm{JacobFro}\right)\right)^2\right),GFLOPs GSynFlow Div Jacov Sub Jacob_fro Log Square Mul <EOS>,(((GFLOPs / GSynFlow) - Jacov) * square(log(Jacob_fro))),0.761400000,0.809300000,97,9,4,2113,run_monash_time_unique1000,3,1,TIME__Water_Quality_Darwin__15T/seed_2113/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.994594595,0.761200000,\left(\log\left(\mathrm{plain}\right) + \frac{\mathrm{GraSP}}{\mathrm{Snip}}\right) \cdot \left(\mathrm{Jacov}\right),plain Log GraSP Snip Div Add Jacov Mul <EOS>,((log(plain) + (GraSP / Snip)) * Jacov),0.761200000,0.809100000,105,8,4,2049,run_monash_time_unique1000,1,2,TIME__Water_Quality_Darwin__15T/seed_2049/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.993693694,0.761200000,\left(\frac{\mathrm{GraSP}}{\mathrm{Snip}} + \log\left(\mathrm{plain}\right)\right) \cdot \left(\mathrm{Jacov}\right),GraSP Snip Div plain Log Add Jacov Mul <EOS>,(((GraSP / Snip) + log(plain)) * Jacov),0.761200000,0.809100000,161,8,4,2138,run_monash_time_unique1000,1,1,TIME__Water_Quality_Darwin__15T/seed_2138/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.992792793,0.760500000,\left(\frac{\mathrm{GFLOPs}}{\mathrm{GSynFlow}} - \mathrm{Jacov}\right) \cdot \left(\mathrm{JacobFro}\right),GFLOPs GSynFlow Div Jacov Sub Jacob_fro Mul <EOS>,(((GFLOPs / GSynFlow) - Jacov) * Jacob_fro),0.760500000,0.799500000,69,7,4,2068,run_monash_time_unique1000,1,6,TIME__Water_Quality_Darwin__15T/seed_2068/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.991891892,0.760500000,\left(\mathrm{JacobFro}\right) \cdot \left(\frac{\mathrm{GFLOPs}}{\mathrm{GSynFlow}} - \mathrm{Jacov}\right),Jacob_fro GFLOPs GSynFlow Div Jacov Sub Mul <EOS>,(Jacob_fro * ((GFLOPs / GSynFlow) - Jacov)),0.760500000,0.799500000,85,7,4,2195,run_monash_time_unique1000,1,4,TIME__Water_Quality_Darwin__15T/seed_2195/run_monash_time_unique1000/visualizations/archive_latex.tex
11,0.990990991,0.760200000,\sqrt{\frac{\left(\mathrm{GraSP}\right) \cdot \left(\mathrm{Jacov}\right)}{\left(\mathrm{plain}\right)^2}} - \mathrm{L2Norm},GraSP Jacov Mul plain Square Div Sqrt L2-Norm Sub <EOS>,(sqrt(((GraSP * Jacov) / square(plain))) - L2-Norm),0.760200000,0.793700000,188,9,5,2027,run_monash_time_unique1000,1,1,TIME__Water_Quality_Darwin__15T/seed_2027/run_monash_time_unique1000/visualizations/archive_latex.tex
12,0.990090090,0.760200000,\frac{\sqrt{\left(\mathrm{GraSP}\right) \cdot \left(\mathrm{Jacov}\right)}}{\mathrm{plain}} - \mathrm{L2Norm},GraSP Jacov Mul Sqrt plain Div L2-Norm Sub <EOS>,((sqrt((GraSP * Jacov)) / plain) - L2-Norm),0.760200000,0.793700000,175,8,5,2040,run_monash_time_unique1000,1,2,TIME__Water_Quality_Darwin__15T/seed_2040/run_monash_time_unique1000/visualizations/archive_latex.tex
