rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.749500000,\mathrm{ZiCo} + \frac{\sqrt{\left(\log\left(\mathrm{plain}\right)\right) \cdot \left(\mathrm{L2Norm}\right)}}{\mathrm{GraSP}},ZiCo plain Log L2-Norm Mul Sqrt GraSP Div Add <EOS>,(ZiCo + (sqrt((log(plain) * L2-Norm)) / GraSP)),0.749500000,0.718600000,115,9,6,2264,run_monash_time_unique1000,1,1,TIME__azure2019_D__5T/seed_2264/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.999099099,0.749000000,\mathrm{ZiCo} + \frac{\log\left(\mathrm{Snip} - \mathrm{L2Norm}\right)}{\mathrm{GraSP}},ZiCo Snip L2-Norm Sub Log GraSP Div Add <EOS>,(ZiCo + (log((Snip - L2-Norm)) / GraSP)),0.749000000,0.722400000,25,8,5,2114,run_monash_time_unique1000,1,2,TIME__azure2019_D__5T/seed_2114/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.998198198,0.749000000,\frac{\log\left(\mathrm{Snip} - \mathrm{L2Norm}\right)}{\mathrm{GraSP}} + \mathrm{ZiCo},Snip L2-Norm Sub Log GraSP Div ZiCo Add <EOS>,((log((Snip - L2-Norm)) / GraSP) + ZiCo),0.749000000,0.722400000,19,8,5,2123,run_monash_time_unique1000,1,1,TIME__azure2019_D__5T/seed_2123/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.997297297,0.749000000,\mathrm{ZiCo} + \frac{\log\left(\mathrm{L2Norm} - \mathrm{Snip}\right)}{\mathrm{GraSP}},ZiCo L2-Norm Snip Sub Log GraSP Div Add <EOS>,(ZiCo + (log((L2-Norm - Snip)) / GraSP)),0.749000000,0.722400000,30,8,5,2232,run_monash_time_unique1000,1,1,TIME__azure2019_D__5T/seed_2232/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.996396396,0.749000000,\left(\mathrm{ZiCo} + \frac{\log\left(\mathrm{L2Norm} - \mathrm{Snip}\right)}{\mathrm{GraSP}}\right)^2,ZiCo L2-Norm Snip Sub Log GraSP Div Add Square <EOS>,square((ZiCo + (log((L2-Norm - Snip)) / GraSP))),0.749000000,0.683400000,66,9,6,2254,run_monash_time_unique1000,1,1,TIME__azure2019_D__5T/seed_2254/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.995495495,0.749000000,\frac{\log\left(\mathrm{L2Norm} - \mathrm{Snip}\right)}{\mathrm{GraSP}} + \mathrm{ZiCo},L2-Norm Snip Sub Log GraSP Div ZiCo Add <EOS>,((log((L2-Norm - Snip)) / GraSP) + ZiCo),0.749000000,0.722400000,100,8,5,2266,run_monash_time_unique1000,1,1,TIME__azure2019_D__5T/seed_2266/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.994594595,0.744600000,\mathrm{ZiCo} + \frac{\log\left(\left(\log\left(\mathrm{plain}\right)\right) \cdot \left(\mathrm{JacobFro}\right)\right)}{\mathrm{GraSP}},ZiCo plain Log Jacob_fro Mul Log GraSP Div Add <EOS>,(ZiCo + (log((log(plain) * Jacob_fro)) / GraSP)),0.744600000,0.712600000,40,9,6,2267,run_monash_time_unique1000,1,1,TIME__azure2019_D__5T/seed_2267/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.993693694,0.743300000,\mathrm{ZiCo} + \frac{\log\left(\left(\log\left(\mathrm{plain}\right)\right) \cdot \left(\mathrm{L2Norm}\right)\right)}{\mathrm{GraSP}},ZiCo plain Log L2-Norm Mul Log GraSP Div Add <EOS>,(ZiCo + (log((log(plain) * L2-Norm)) / GraSP)),0.743300000,0.667600000,109,9,6,2049,run_monash_time_unique1000,1,3,TIME__azure2019_D__5T/seed_2049/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.992792793,0.743300000,\mathrm{ZiCo} + \frac{\log\left(\left(\mathrm{L2Norm}\right) \cdot \left(\log\left(\mathrm{plain}\right)\right)\right)}{\mathrm{GraSP}},ZiCo L2-Norm plain Log Mul Log GraSP Div Add <EOS>,(ZiCo + (log((L2-Norm * log(plain))) / GraSP)),0.743300000,0.667600000,68,9,6,2192,run_monash_time_unique1000,1,1,TIME__azure2019_D__5T/seed_2192/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.991891892,0.743300000,\frac{\log\left(\left(\log\left(\mathrm{plain}\right)\right) \cdot \left(\mathrm{L2Norm}\right)\right)}{\mathrm{GraSP}} + \mathrm{ZiCo},plain Log L2-Norm Mul Log GraSP Div ZiCo Add <EOS>,((log((log(plain) * L2-Norm)) / GraSP) + ZiCo),0.743300000,0.667600000,85,9,6,2209,run_monash_time_unique1000,1,1,TIME__azure2019_D__5T/seed_2209/run_monash_time_unique1000/visualizations/archive_latex.tex
