rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.532000000,\sqrt{\mathrm{Jacov}} + \frac{\mathrm{L2Norm}}{\log\left(\frac{\mathrm{GradNorm}}{\mathrm{plain}}\right)},Jacov Sqrt L2-Norm Grad_Norm plain Div Log Div Add <EOS>,(sqrt(Jacov) + (L2-Norm / log((Grad_Norm / plain)))),0.532000000,0.634200000,160,9,5,2200,run_monash_time_unique1000,1,1,TIME__azure2019_I__5T/seed_2200/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.999099099,0.525700000,\frac{\left(\log\left(\mathrm{JacobFro}\right)\right)^2}{\frac{\mathrm{GradNorm} - \mathrm{plain}}{\mathrm{Snip}}},Jacob_fro Log Square Grad_Norm plain Sub Snip Div Div <EOS>,(square(log(Jacob_fro)) / ((Grad_Norm - plain) / Snip)),0.525700000,0.651600000,140,9,4,2053,run_monash_time_unique1000,1,1,TIME__azure2019_I__5T/seed_2053/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.998198198,0.525700000,\left(\left(\log\left(\mathrm{JacobFro}\right)\right)^2\right) \cdot \left(\frac{\mathrm{Snip}}{\mathrm{GradNorm} - \mathrm{plain}}\right),Jacob_fro Log Square Snip Grad_Norm plain Sub Div Mul <EOS>,(square(log(Jacob_fro)) * (Snip / (Grad_Norm - plain))),0.525700000,0.651600000,66,9,4,2213,run_monash_time_unique1000,1,1,TIME__azure2019_I__5T/seed_2213/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.997297297,0.521800000,\left(\log\left(\mathrm{GraSP}\right)\right) \cdot \left(\frac{\sqrt{\mathrm{Snip}}}{\mathrm{GradNorm} - \mathrm{plain}}\right),GraSP Log Snip Sqrt Grad_Norm plain Sub Div Mul <EOS>,(log(GraSP) * (sqrt(Snip) / (Grad_Norm - plain))),0.521800000,0.630200000,107,9,4,2213,run_monash_time_unique1000,2,1,TIME__azure2019_I__5T/seed_2213/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.996396396,0.521700000,\frac{\sqrt{\mathrm{JacobFro}}}{\left(\frac{\mathrm{GradNorm} - \mathrm{plain}}{\mathrm{Snip}}\right)^2},Jacob_fro Sqrt Grad_Norm plain Sub Snip Div Square Div <EOS>,(sqrt(Jacob_fro) / square(((Grad_Norm - plain) / Snip))),0.521700000,0.675700000,107,9,5,2053,run_monash_time_unique1000,2,1,TIME__azure2019_I__5T/seed_2053/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.995495495,0.521700000,\left(\sqrt{\mathrm{JacobFro}}\right) \cdot \left(\left(\frac{\mathrm{Snip}}{\mathrm{GradNorm} - \mathrm{plain}}\right)^2\right),Jacob_fro Sqrt Snip Grad_Norm plain Sub Div Square Mul <EOS>,(sqrt(Jacob_fro) * square((Snip / (Grad_Norm - plain)))),0.521700000,0.675700000,82,9,5,2213,run_monash_time_unique1000,3,1,TIME__azure2019_I__5T/seed_2213/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.994594595,0.521200000,\frac{\log\left(\mathrm{JacobFro}\right)}{\frac{\mathrm{GradNorm} - \mathrm{plain}}{\mathrm{Snip}}},Jacob_fro Log Grad_Norm plain Sub Snip Div Div <EOS>,(log(Jacob_fro) / ((Grad_Norm - plain) / Snip)),0.521200000,0.665700000,110,8,4,2053,run_monash_time_unique1000,3,1,TIME__azure2019_I__5T/seed_2053/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.993693694,0.521200000,\left(\log\left(\mathrm{JacobFro}\right)\right) \cdot \left(\frac{\mathrm{Snip}}{\mathrm{GradNorm} - \mathrm{plain}}\right),Jacob_fro Log Snip Grad_Norm plain Sub Div Mul <EOS>,(log(Jacob_fro) * (Snip / (Grad_Norm - plain))),0.521200000,0.665700000,61,8,4,2213,run_monash_time_unique1000,4,1,TIME__azure2019_I__5T/seed_2213/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.992792793,0.520400000,\sqrt{\mathrm{JacobFro}} + \frac{\mathrm{Snip}}{\mathrm{GradNorm} - \mathrm{plain}},Jacob_fro Sqrt Snip Grad_Norm plain Sub Div Add <EOS>,(sqrt(Jacob_fro) + (Snip / (Grad_Norm - plain))),0.520400000,0.656200000,89,8,4,2213,run_monash_time_unique1000,5,1,TIME__azure2019_I__5T/seed_2213/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.991891892,0.518900000,\frac{\left(\log\left(\mathrm{Jacov}\right)\right)^2}{\frac{\mathrm{GradNorm} - \mathrm{plain}}{\mathrm{Snip}}},Jacov Log Square Grad_Norm plain Sub Snip Div Div <EOS>,(square(log(Jacov)) / ((Grad_Norm - plain) / Snip)),0.518900000,0.670500000,133,9,4,2053,run_monash_time_unique1000,4,1,TIME__azure2019_I__5T/seed_2053/run_monash_time_unique1000/visualizations/archive_latex.tex
