rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.836700000,\frac{\left(\frac{\mathrm{Snip}}{\mathrm{plain} + \mathrm{MParams}}\right)^2}{\mathrm{Jacov}},Snip plain MParams Add Div Square Jacov Div <EOS>,(square((Snip / (plain + MParams))) / Jacov),0.836700000,0.842300000,58,8,5,2034,run_monash_time_unique1000,1,2,TIME__current_velocity__10T/seed_2034/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.999099099,0.836700000,\left(\sqrt{\mathrm{Jacov}}\right) \cdot \left(\frac{\mathrm{plain} + \mathrm{MParams}}{\mathrm{Snip}}\right),Jacov Sqrt plain MParams Add Snip Div Mul <EOS>,(sqrt(Jacov) * ((plain + MParams) / Snip)),0.836700000,0.842300000,152,8,4,2055,run_monash_time_unique1000,1,1,TIME__current_velocity__10T/seed_2055/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.998198198,0.836700000,\frac{\left(\frac{\mathrm{Snip}}{\mathrm{MParams} + \mathrm{plain}}\right)^2}{\mathrm{Jacov}},Snip MParams plain Add Div Square Jacov Div <EOS>,(square((Snip / (MParams + plain))) / Jacov),0.836700000,0.842300000,28,8,5,2067,run_monash_time_unique1000,1,2,TIME__current_velocity__10T/seed_2067/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.997297297,0.836400000,\frac{\frac{\left(\mathrm{Snip}\right)^2}{\log\left(\mathrm{plain}\right) + \mathrm{MParams}}}{\mathrm{Jacov}},Snip Square plain Log MParams Add Div Jacov Div <EOS>,((square(Snip) / (log(plain) + MParams)) / Jacov),0.836400000,0.845700000,163,9,5,2034,run_monash_time_unique1000,2,1,TIME__current_velocity__10T/seed_2034/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.996396396,0.836400000,\frac{\frac{\left(\mathrm{Snip}\right)^2}{\mathrm{MParams} + \log\left(\mathrm{plain}\right)}}{\mathrm{Jacov}},Snip Square MParams plain Log Add Div Jacov Div <EOS>,((square(Snip) / (MParams + log(plain))) / Jacov),0.836400000,0.845700000,131,9,5,2203,run_monash_time_unique1000,2,1,TIME__current_velocity__10T/seed_2203/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.995495495,0.836300000,-\log\left(\mathrm{GSynFlow}\right) - \left(\mathrm{Jacov}\right) \cdot \left(\frac{\mathrm{plain}}{\mathrm{GradNorm}}\right),GSynFlow Log Negative Jacov plain Grad_Norm Div Mul Sub <EOS>,(-(log(GSynFlow)) - (Jacov * (plain / Grad_Norm))),0.836300000,0.831500000,177,9,4,2037,run_monash_time_unique1000,1,3,TIME__current_velocity__10T/seed_2037/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.994594595,0.836300000,-\log\left(\mathrm{GSynFlow}\right) - \left(\mathrm{plain}\right) \cdot \left(\frac{\mathrm{Jacov}}{\mathrm{GradNorm}}\right),GSynFlow Log Negative plain Jacov Grad_Norm Div Mul Sub <EOS>,(-(log(GSynFlow)) - (plain * (Jacov / Grad_Norm))),0.836300000,0.831500000,114,9,4,2040,run_monash_time_unique1000,1,6,TIME__current_velocity__10T/seed_2040/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.993693694,0.836300000,-\log\left(\mathrm{GSynFlow}\right) - \frac{\mathrm{Jacov}}{\frac{\mathrm{GradNorm}}{\mathrm{plain}}},GSynFlow Log Negative Jacov Grad_Norm plain Div Div Sub <EOS>,(-(log(GSynFlow)) - (Jacov / (Grad_Norm / plain))),0.836300000,0.831500000,138,9,4,2041,run_monash_time_unique1000,1,3,TIME__current_velocity__10T/seed_2041/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.992792793,0.836300000,-\log\left(\mathrm{GSynFlow}\right) - \frac{\left(\mathrm{Jacov}\right) \cdot \left(\mathrm{plain}\right)}{\mathrm{GradNorm}},GSynFlow Log Negative Jacov plain Mul Grad_Norm Div Sub <EOS>,(-(log(GSynFlow)) - ((Jacov * plain) / Grad_Norm)),0.836300000,0.831500000,110,9,4,2049,run_monash_time_unique1000,1,4,TIME__current_velocity__10T/seed_2049/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.991891892,0.836300000,-\log\left(\mathrm{GSynFlow}\right) - \left(\frac{\mathrm{Jacov}}{\mathrm{GradNorm}}\right) \cdot \left(\mathrm{plain}\right),GSynFlow Log Negative Jacov Grad_Norm Div plain Mul Sub <EOS>,(-(log(GSynFlow)) - ((Jacov / Grad_Norm) * plain)),0.836300000,0.831500000,151,9,4,2054,run_monash_time_unique1000,1,2,TIME__current_velocity__10T/seed_2054/run_monash_time_unique1000/visualizations/archive_latex.tex
