rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.808900000,\frac{\left(\mathrm{plain}\right) \cdot \left(\mathrm{GFLOPs}\right)}{\mathrm{Snip}} + \log\left(\sqrt{\mathrm{ZiCo}}\right),plain GFLOPs Mul Snip Div ZiCo Sqrt Log Add <EOS>,(((plain * GFLOPs) / Snip) + log(sqrt(ZiCo))),0.808900000,0.681800000,60,9,4,2182,run_monash_time_unique1000,1,1,TIME__current_velocity__H/seed_2182/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.999099099,0.808600000,\sqrt{\frac{\mathrm{GFLOPs}}{\frac{\mathrm{Snip}}{\mathrm{plain}}}} + \log\left(\mathrm{ZiCo}\right),GFLOPs Snip plain Div Div Sqrt ZiCo Log Add <EOS>,(sqrt((GFLOPs / (Snip / plain))) + log(ZiCo)),0.808600000,0.689500000,63,9,5,2121,run_monash_time_unique1000,1,1,TIME__current_velocity__H/seed_2121/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.998198198,0.805900000,\frac{\left(\mathrm{GFLOPs}\right) \cdot \left(\sqrt{\mathrm{plain}}\right)}{\mathrm{Snip}} + \mathrm{ZiCo},GFLOPs plain Sqrt Mul Snip Div ZiCo Add <EOS>,(((GFLOPs * sqrt(plain)) / Snip) + ZiCo),0.805900000,0.693800000,61,8,5,2027,run_monash_time_unique1000,1,11,TIME__current_velocity__H/seed_2027/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.997297297,0.805900000,\frac{\left(\sqrt{\mathrm{plain}}\right) \cdot \left(\mathrm{GFLOPs}\right)}{\mathrm{Snip}} + \mathrm{ZiCo},plain Sqrt GFLOPs Mul Snip Div ZiCo Add <EOS>,(((sqrt(plain) * GFLOPs) / Snip) + ZiCo),0.805900000,0.693800000,178,8,5,2048,run_monash_time_unique1000,1,10,TIME__current_velocity__H/seed_2048/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.996396396,0.805900000,\frac{\mathrm{GFLOPs}}{\frac{\mathrm{Snip}}{\sqrt{\mathrm{plain}}}} + \mathrm{ZiCo},GFLOPs Snip plain Sqrt Div Div ZiCo Add <EOS>,((GFLOPs / (Snip / sqrt(plain))) + ZiCo),0.805900000,0.693800000,38,8,5,2071,run_monash_time_unique1000,1,6,TIME__current_velocity__H/seed_2071/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.995495495,0.805900000,\mathrm{ZiCo} + \frac{\left(\mathrm{GFLOPs}\right) \cdot \left(\sqrt{\mathrm{plain}}\right)}{\mathrm{Snip}},ZiCo GFLOPs plain Sqrt Mul Snip Div Add <EOS>,(ZiCo + ((GFLOPs * sqrt(plain)) / Snip)),0.805900000,0.693800000,97,8,5,2075,run_monash_time_unique1000,1,6,TIME__current_velocity__H/seed_2075/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.994594595,0.805900000,\mathrm{ZiCo} + \frac{\mathrm{GFLOPs}}{\frac{\mathrm{Snip}}{\sqrt{\mathrm{plain}}}},ZiCo GFLOPs Snip plain Sqrt Div Div Add <EOS>,(ZiCo + (GFLOPs / (Snip / sqrt(plain)))),0.805900000,0.693800000,81,8,5,2110,run_monash_time_unique1000,1,1,TIME__current_velocity__H/seed_2110/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.993693694,0.805900000,\mathrm{ZiCo} + \frac{\left(\sqrt{\mathrm{plain}}\right) \cdot \left(\mathrm{GFLOPs}\right)}{\mathrm{Snip}},ZiCo plain Sqrt GFLOPs Mul Snip Div Add <EOS>,(ZiCo + ((sqrt(plain) * GFLOPs) / Snip)),0.805900000,0.693800000,71,8,5,2111,run_monash_time_unique1000,1,2,TIME__current_velocity__H/seed_2111/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.992792793,0.805900000,\left(\frac{\mathrm{GFLOPs}}{\mathrm{Snip}}\right) \cdot \left(\sqrt{\mathrm{plain}}\right) + \mathrm{ZiCo},GFLOPs Snip Div plain Sqrt Mul ZiCo Add <EOS>,(((GFLOPs / Snip) * sqrt(plain)) + ZiCo),0.805900000,0.693800000,19,8,4,2116,run_monash_time_unique1000,1,1,TIME__current_velocity__H/seed_2116/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.991891892,0.805900000,\mathrm{ZiCo} + \frac{\mathrm{GFLOPs}}{\frac{\mathrm{Snip}}{\sqrt{-\mathrm{plain}}}},ZiCo GFLOPs Snip plain Negative Sqrt Div Div Add <EOS>,(ZiCo + (GFLOPs / (Snip / sqrt(-(plain))))),0.805900000,0.693800000,76,9,6,2140,run_monash_time_unique1000,1,1,TIME__current_velocity__H/seed_2140/run_monash_time_unique1000/visualizations/archive_latex.tex
11,0.990990991,0.805900000,\mathrm{ZiCo} + \frac{\sqrt{\mathrm{plain}}}{\frac{\mathrm{Snip}}{\mathrm{GFLOPs}}},ZiCo plain Sqrt Snip GFLOPs Div Div Add <EOS>,(ZiCo + (sqrt(plain) / (Snip / GFLOPs))),0.805900000,0.693800000,66,8,4,2153,run_monash_time_unique1000,1,1,TIME__current_velocity__H/seed_2153/run_monash_time_unique1000/visualizations/archive_latex.tex
12,0.990090090,0.805900000,\mathrm{ZiCo} + \frac{\sqrt{\left(\left(\mathrm{GFLOPs}\right)^2\right) \cdot \left(\mathrm{plain}\right)}}{\mathrm{Snip}},ZiCo GFLOPs Square plain Mul Sqrt Snip Div Add <EOS>,(ZiCo + (sqrt((square(GFLOPs) * plain)) / Snip)),0.805900000,0.693800000,107,9,6,2154,run_monash_time_unique1000,1,1,TIME__current_velocity__H/seed_2154/run_monash_time_unique1000/visualizations/archive_latex.tex
13,0.989189189,0.805900000,\mathrm{ZiCo} - \frac{-\mathrm{GFLOPs}}{\frac{\mathrm{Snip}}{\sqrt{\mathrm{plain}}}},ZiCo GFLOPs Negative Snip plain Sqrt Div Div Sub <EOS>,(ZiCo - (-(GFLOPs) / (Snip / sqrt(plain)))),0.805900000,0.693800000,32,9,5,2207,run_monash_time_unique1000,1,1,TIME__current_velocity__H/seed_2207/run_monash_time_unique1000/visualizations/archive_latex.tex
14,0.988288288,0.805900000,\frac{\left(\sqrt{-\mathrm{plain}}\right) \cdot \left(\mathrm{GFLOPs}\right)}{\mathrm{Snip}} + \mathrm{ZiCo},plain Negative Sqrt GFLOPs Mul Snip Div ZiCo Add <EOS>,(((sqrt(-(plain)) * GFLOPs) / Snip) + ZiCo),0.805900000,0.693800000,190,9,6,2228,run_monash_time_unique1000,1,1,TIME__current_velocity__H/seed_2228/run_monash_time_unique1000/visualizations/archive_latex.tex
