rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.607200000,\mathrm{GradNorm} - \mathrm{Jacov} - \frac{\mathrm{GFLOPs}}{-\mathrm{GSynFlow}},Grad_Norm Jacov GFLOPs GSynFlow Negative Div Sub Sub <EOS>,(Grad_Norm - (Jacov - (GFLOPs / -(GSynFlow)))),0.607200000,0.537100000,21,8,5,2124,run_monash_time_unique1000,1,1,TIME__epf_electricity_price__H/seed_2124/run_monash_time_unique1000/visualizations/archive_latex.tex
2,0.999099099,0.607200000,\mathrm{GradNorm} - \frac{\mathrm{GFLOPs}}{\mathrm{GSynFlow}} - \mathrm{Jacov},Grad_Norm GFLOPs GSynFlow Div Sub Jacov Sub <EOS>,((Grad_Norm - (GFLOPs / GSynFlow)) - Jacov),0.607200000,0.537100000,58,7,4,2216,run_monash_time_unique1000,1,1,TIME__epf_electricity_price__H/seed_2216/run_monash_time_unique1000/visualizations/archive_latex.tex
3,0.998198198,0.606700000,-\mathrm{Fisher} - \frac{\mathrm{GFLOPs}}{\mathrm{GSynFlow}} - \mathrm{Jacov},Fisher Negative GFLOPs GSynFlow Div Sub Jacov Sub <EOS>,((-(Fisher) - (GFLOPs / GSynFlow)) - Jacov),0.606700000,0.530800000,13,8,4,2212,run_monash_time_unique1000,1,1,TIME__epf_electricity_price__H/seed_2212/run_monash_time_unique1000/visualizations/archive_latex.tex
4,0.997297297,0.606000000,-\mathrm{Jacov} - \frac{\sqrt{\left(\mathrm{GFLOPs}\right)^2}}{\mathrm{GSynFlow}},Jacov Negative GFLOPs Square Sqrt GSynFlow Div Sub <EOS>,(-(Jacov) - (sqrt(square(GFLOPs)) / GSynFlow)),0.606000000,0.530900000,189,8,5,2061,run_monash_time_unique1000,1,1,TIME__epf_electricity_price__H/seed_2061/run_monash_time_unique1000/visualizations/archive_latex.tex
5,0.996396396,0.606000000,-\frac{\mathrm{GFLOPs}}{\mathrm{GSynFlow}} - \mathrm{Jacov},GFLOPs GSynFlow Div Negative Jacov Sub <EOS>,(-((GFLOPs / GSynFlow)) - Jacov),0.606000000,0.530900000,181,6,4,2066,run_monash_time_unique1000,1,3,TIME__epf_electricity_price__H/seed_2066/run_monash_time_unique1000/visualizations/archive_latex.tex
6,0.995495495,0.606000000,-\mathrm{Jacov} + \frac{\mathrm{GFLOPs}}{\mathrm{GSynFlow}},Jacov GFLOPs GSynFlow Div Add Negative <EOS>,-((Jacov + (GFLOPs / GSynFlow))),0.606000000,0.530900000,19,6,4,2076,run_monash_time_unique1000,1,1,TIME__epf_electricity_price__H/seed_2076/run_monash_time_unique1000/visualizations/archive_latex.tex
7,0.994594595,0.606000000,-\mathrm{Jacov} - \frac{\mathrm{GFLOPs}}{\mathrm{GSynFlow}},Jacov Negative GFLOPs GSynFlow Div Sub <EOS>,(-(Jacov) - (GFLOPs / GSynFlow)),0.606000000,0.530900000,73,6,3,2131,run_monash_time_unique1000,1,1,TIME__epf_electricity_price__H/seed_2131/run_monash_time_unique1000/visualizations/archive_latex.tex
8,0.993693694,0.606000000,\frac{-\mathrm{GFLOPs}}{\mathrm{GSynFlow}} - \mathrm{Jacov},GFLOPs Negative GSynFlow Div Jacov Sub <EOS>,((-(GFLOPs) / GSynFlow) - Jacov),0.606000000,0.530900000,197,6,4,2213,run_monash_time_unique1000,1,2,TIME__epf_electricity_price__H/seed_2213/run_monash_time_unique1000/visualizations/archive_latex.tex
9,0.992792793,0.606000000,-\frac{\mathrm{GFLOPs}}{\mathrm{GSynFlow}} + \mathrm{Jacov},GFLOPs GSynFlow Div Jacov Add Negative <EOS>,-(((GFLOPs / GSynFlow) + Jacov)),0.606000000,0.530900000,145,6,4,2217,run_monash_time_unique1000,1,1,TIME__epf_electricity_price__H/seed_2217/run_monash_time_unique1000/visualizations/archive_latex.tex
10,0.991891892,0.605400000,\mathrm{ZiCo} - \frac{\mathrm{GFLOPs}}{\mathrm{GSynFlow}} - \mathrm{Jacov},ZiCo GFLOPs GSynFlow Div Sub Jacov Sub <EOS>,((ZiCo - (GFLOPs / GSynFlow)) - Jacov),0.605400000,0.530900000,166,7,4,2130,run_monash_time_unique1000,1,1,TIME__epf_electricity_price__H/seed_2130/run_monash_time_unique1000/visualizations/archive_latex.tex
11,0.990990991,0.605200000,\sqrt{\mathrm{JacobFro}} - \mathrm{Jacov} + \frac{\mathrm{GFLOPs}}{\mathrm{GSynFlow}},Jacob_fro Sqrt Jacov GFLOPs GSynFlow Div Add Sub <EOS>,(sqrt(Jacob_fro) - (Jacov + (GFLOPs / GSynFlow))),0.605200000,0.531400000,37,8,4,2124,run_monash_time_unique1000,2,1,TIME__epf_electricity_price__H/seed_2124/run_monash_time_unique1000/visualizations/archive_latex.tex
12,0.990090090,0.605100000,\mathrm{Fisher} - \frac{\mathrm{GFLOPs}}{\mathrm{GSynFlow}} + \mathrm{Jacov},Fisher GFLOPs GSynFlow Div Jacov Add Sub <EOS>,(Fisher - ((GFLOPs / GSynFlow) + Jacov)),0.605100000,0.530100000,91,7,4,2027,run_monash_time_unique1000,1,1,TIME__epf_electricity_price__H/seed_2027/run_monash_time_unique1000/visualizations/archive_latex.tex
13,0.989189189,0.605000000,\sqrt{\mathrm{plain}} - \mathrm{Jacov} - \frac{\mathrm{GFLOPs}}{\mathrm{GSynFlow}},plain Sqrt Jacov Sub GFLOPs GSynFlow Div Sub <EOS>,((sqrt(plain) - Jacov) - (GFLOPs / GSynFlow)),0.605000000,0.530800000,39,8,4,2145,run_monash_time_unique1000,1,1,TIME__epf_electricity_price__H/seed_2145/run_monash_time_unique1000/visualizations/archive_latex.tex
