rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.573900000,\left(\left(\mathrm{L2Norm} - \log\left(\mathrm{GSynFlow}\right)\right) \cdot \left(\left(\mathrm{ZiCo}\right)^2\right)\right) \cdot \left(\mathrm{plain}\right),L2-Norm GSynFlow Log Sub ZiCo Square Mul plain Mul <EOS>,(((L2-Norm - log(GSynFlow)) * square(ZiCo)) * plain),0.573900000,0.691600000,172,9,5,2031,run_20260618_142728,1,4,Traffic/seed_2031/run_20260618_142728/visualizations/archive_latex.tex
2,0.999099099,0.573900000,\left(\mathrm{L2Norm} - \log\left(\mathrm{GSynFlow}\right)\right) \cdot \left(\left(\left(\mathrm{ZiCo}\right)^2\right) \cdot \left(\mathrm{plain}\right)\right),L2-Norm GSynFlow Log Sub ZiCo Square plain Mul Mul <EOS>,((L2-Norm - log(GSynFlow)) * (square(ZiCo) * plain)),0.573900000,0.691600000,29,9,4,2093,run_20260618_142728,1,2,Traffic/seed_2093/run_20260618_142728/visualizations/archive_latex.tex
3,0.998198198,0.573900000,\left(\left(\mathrm{ZiCo}\right)^2\right) \cdot \left(\left(\mathrm{plain}\right) \cdot \left(\mathrm{L2Norm} - \log\left(\mathrm{GSynFlow}\right)\right)\right),ZiCo Square plain L2-Norm GSynFlow Log Sub Mul Mul <EOS>,(square(ZiCo) * (plain * (L2-Norm - log(GSynFlow)))),0.573900000,0.691600000,107,9,5,2104,run_20260618_142728,1,1,Traffic/seed_2104/run_20260618_142728/visualizations/archive_latex.tex
4,0.997297297,0.573900000,\left(\sqrt{\left(\log\left(\mathrm{GSynFlow}\right) - \mathrm{L2Norm}\right) \cdot \left(\mathrm{plain}\right)}\right) \cdot \left(\mathrm{ZiCo}\right),GSynFlow Log L2-Norm Sub plain Mul Sqrt ZiCo Mul <EOS>,(sqrt(((log(GSynFlow) - L2-Norm) * plain)) * ZiCo),0.573900000,0.691600000,95,9,6,2120,run_20260618_142728,1,1,Traffic/seed_2120/run_20260618_142728/visualizations/archive_latex.tex
5,0.996396396,0.573900000,\left(\mathrm{plain}\right) \cdot \left(\left(\mathrm{L2Norm} - \log\left(\mathrm{GSynFlow}\right)\right) \cdot \left(\left(\mathrm{ZiCo}\right)^2\right)\right),plain L2-Norm GSynFlow Log Sub ZiCo Square Mul Mul <EOS>,(plain * ((L2-Norm - log(GSynFlow)) * square(ZiCo))),0.573900000,0.691600000,104,9,5,2151,run_20260620_142858,1,1,Traffic/seed_2151/run_20260620_142858/visualizations/archive_latex.tex
6,0.995495495,0.573900000,\left(\left(\left(\mathrm{ZiCo}\right)^2\right) \cdot \left(\mathrm{L2Norm} - \log\left(\mathrm{GSynFlow}\right)\right)\right) \cdot \left(\mathrm{plain}\right),ZiCo Square L2-Norm GSynFlow Log Sub Mul plain Mul <EOS>,((square(ZiCo) * (L2-Norm - log(GSynFlow))) * plain),0.573900000,0.691600000,151,9,5,2217,run_20260620_142858,1,1,Traffic/seed_2217/run_20260620_142858/visualizations/archive_latex.tex
7,0.994594595,0.545200000,\left(\mathrm{ZiCo}\right) \cdot \left(\log\left(\mathrm{L2Norm} - \log\left(\mathrm{GSynFlow}\right)\right) - \mathrm{ZiCo}\right),ZiCo L2-Norm GSynFlow Log Sub Log ZiCo Sub Mul <EOS>,(ZiCo * (log((L2-Norm - log(GSynFlow))) - ZiCo)),0.545200000,0.579900000,176,9,6,2054,run_20260618_142728,1,2,Traffic/seed_2054/run_20260618_142728/visualizations/archive_latex.tex
8,0.993693694,0.545200000,\left(\log\left(\mathrm{L2Norm} - \log\left(\mathrm{GSynFlow}\right)\right) - \mathrm{ZiCo}\right) \cdot \left(\mathrm{ZiCo}\right),L2-Norm GSynFlow Log Sub Log ZiCo Sub ZiCo Mul <EOS>,((log((L2-Norm - log(GSynFlow))) - ZiCo) * ZiCo),0.545200000,0.579900000,82,9,6,2103,run_20260618_142728,1,2,Traffic/seed_2103/run_20260618_142728/visualizations/archive_latex.tex
9,0.992792793,0.544400000,\left(\log\left(\log\left(\log\left(\mathrm{GSynFlow}\right) - \mathrm{L2Norm}\right)\right)\right) \cdot \left(\sqrt{\mathrm{ZiCo}}\right),GSynFlow Log L2-Norm Sub Log Log ZiCo Sqrt Mul <EOS>,(log(log((log(GSynFlow) - L2-Norm))) * sqrt(ZiCo)),0.544400000,0.578100000,131,9,6,2057,run_20260618_142728,1,1,Traffic/seed_2057/run_20260618_142728/visualizations/archive_latex.tex
10,0.991891892,0.544400000,\left(\sqrt{\mathrm{ZiCo}}\right) \cdot \left(\log\left(\log\left(\mathrm{L2Norm} - \log\left(\mathrm{GSynFlow}\right)\right)\right)\right),ZiCo Sqrt L2-Norm GSynFlow Log Sub Log Log Mul <EOS>,(sqrt(ZiCo) * log(log((L2-Norm - log(GSynFlow))))),0.544400000,0.578100000,116,9,6,2062,run_20260618_142728,1,2,Traffic/seed_2062/run_20260618_142728/visualizations/archive_latex.tex
11,0.990990991,0.544400000,\left(\log\left(\log\left(\mathrm{L2Norm} - \log\left(\mathrm{GSynFlow}\right)\right)\right)\right) \cdot \left(\sqrt{\mathrm{ZiCo}}\right),L2-Norm GSynFlow Log Sub Log Log ZiCo Sqrt Mul <EOS>,(log(log((L2-Norm - log(GSynFlow)))) * sqrt(ZiCo)),0.544400000,0.578100000,19,9,6,2066,run_20260618_142728,1,4,Traffic/seed_2066/run_20260618_142728/visualizations/archive_latex.tex
12,0.990090090,0.543400000,\left(\mathrm{ZiCo}\right) \cdot \left(\sqrt{\left(\mathrm{ZiCo}\right) \cdot \left(\log\left(\mathrm{GSynFlow}\right) - \mathrm{L2Norm}\right)}\right),ZiCo ZiCo GSynFlow Log L2-Norm Sub Mul Sqrt Mul <EOS>,(ZiCo * sqrt((ZiCo * (log(GSynFlow) - L2-Norm)))),0.543400000,0.590100000,33,9,6,2052,run_20260618_142728,1,1,Traffic/seed_2052/run_20260618_142728/visualizations/archive_latex.tex
13,0.989189189,0.543400000,\left(\left(\mathrm{L2Norm} - \log\left(\mathrm{GSynFlow}\right)\right) \cdot \left(\mathrm{ZiCo}\right)\right) \cdot \left(\left(\mathrm{ZiCo}\right)^2\right),L2-Norm GSynFlow Log Sub ZiCo Mul ZiCo Square Mul <EOS>,(((L2-Norm - log(GSynFlow)) * ZiCo) * square(ZiCo)),0.543400000,0.590100000,108,9,5,2085,run_20260618_142728,1,1,Traffic/seed_2085/run_20260618_142728/visualizations/archive_latex.tex
14,0.988288288,0.543400000,\left(\left(\mathrm{ZiCo}\right)^2\right) \cdot \left(\left(\mathrm{ZiCo}\right) \cdot \left(\mathrm{L2Norm} - \log\left(\mathrm{GSynFlow}\right)\right)\right),ZiCo Square ZiCo L2-Norm GSynFlow Log Sub Mul Mul <EOS>,(square(ZiCo) * (ZiCo * (L2-Norm - log(GSynFlow)))),0.543400000,0.590100000,42,9,5,2152,run_20260620_142858,1,1,Traffic/seed_2152/run_20260620_142858/visualizations/archive_latex.tex
