rank,weight,validation_fitness,formula,rpn_tokens,infix,score,train_fitness,generation,token_count,depth,source_seed,source_run,source_rank,occurrence_count,source_archive_latex
1,1.000000000,0.554400000,\left(\frac{\mathrm{Fisher}}{\mathrm{JacobFro}}\right) \cdot \left(\log\left(\mathrm{Jacov}\right) - \left(\mathrm{plain}\right)^2\right),Fisher Jacob_fro Div Jacov Log plain Square Sub Mul <EOS>,((Fisher / Jacob_fro) * (log(Jacov) - square(plain))),0.554400000,0.554900000,50,9,4,2191,run_20260620_142858,1,1,Weather/seed_2191/run_20260620_142858/visualizations/archive_latex.tex
2,0.999099099,0.545000000,\left(\frac{\mathrm{Fisher}}{\mathrm{JacobFro}}\right) \cdot \left(\sqrt{\log\left(\mathrm{Jacov}\right)} - \mathrm{plain}\right),Fisher Jacob_fro Div Jacov Log Sqrt plain Sub Mul <EOS>,((Fisher / Jacob_fro) * (sqrt(log(Jacov)) - plain)),0.545000000,0.537700000,171,9,5,2083,run_20260618_142728,1,3,Weather/seed_2083/run_20260618_142728/visualizations/archive_latex.tex
3,0.998198198,0.545000000,\frac{\sqrt{\log\left(\mathrm{Jacov}\right)} - \mathrm{plain}}{\frac{\mathrm{JacobFro}}{\mathrm{Fisher}}},Jacov Log Sqrt plain Sub Jacob_fro Fisher Div Div <EOS>,((sqrt(log(Jacov)) - plain) / (Jacob_fro / Fisher)),0.545000000,0.537700000,151,9,5,2084,run_20260618_142728,1,3,Weather/seed_2084/run_20260618_142728/visualizations/archive_latex.tex
4,0.997297297,0.545000000,\left(\frac{\sqrt{\log\left(\mathrm{Jacov}\right)} - \mathrm{plain}}{\mathrm{JacobFro}}\right) \cdot \left(\mathrm{Fisher}\right),Jacov Log Sqrt plain Sub Jacob_fro Div Fisher Mul <EOS>,(((sqrt(log(Jacov)) - plain) / Jacob_fro) * Fisher),0.545000000,0.537700000,182,9,6,2133,run_20260620_142858,1,3,Weather/seed_2133/run_20260620_142858/visualizations/archive_latex.tex
5,0.996396396,0.545000000,\frac{\frac{\mathrm{JacobFro}}{\mathrm{Fisher}}}{\mathrm{plain} - \sqrt{\log\left(\mathrm{Jacov}\right)}},Jacob_fro Fisher Div plain Jacov Log Sqrt Sub Div <EOS>,((Jacob_fro / Fisher) / (plain - sqrt(log(Jacov)))),0.545000000,0.537700000,139,9,5,2147,run_20260620_142858,1,1,Weather/seed_2147/run_20260620_142858/visualizations/archive_latex.tex
6,0.995495495,0.545000000,\frac{\left(\sqrt{\log\left(\mathrm{Jacov}\right)} - \mathrm{plain}\right) \cdot \left(\mathrm{Fisher}\right)}{\mathrm{JacobFro}},Jacov Log Sqrt plain Sub Fisher Mul Jacob_fro Div <EOS>,(((sqrt(log(Jacov)) - plain) * Fisher) / Jacob_fro),0.545000000,0.537700000,66,9,6,2221,run_20260620_142858,1,1,Weather/seed_2221/run_20260620_142858/visualizations/archive_latex.tex
7,0.994594595,0.536000000,\frac{\left(\frac{\left(\left(\mathrm{plain}\right) \cdot \left(\mathrm{JacobFro}\right)\right)^2}{\mathrm{Fisher}}\right)^2}{\mathrm{Jacov}},plain Jacob_fro Mul Square Fisher Div Square Jacov Div <EOS>,(square((square((plain * Jacob_fro)) / Fisher)) / Jacov),0.536000000,0.549600000,186,9,6,2027,run_20260618_142728,1,13,Weather/seed_2027/run_20260618_142728/visualizations/archive_latex.tex
8,0.993693694,0.536000000,\left(\mathrm{Fisher}\right) \cdot \left(\frac{\sqrt{\mathrm{Jacov}}}{\left(\left(\mathrm{JacobFro}\right) \cdot \left(\mathrm{plain}\right)\right)^2}\right),Fisher Jacov Sqrt Jacob_fro plain Mul Square Div Mul <EOS>,(Fisher * (sqrt(Jacov) / square((Jacob_fro * plain)))),0.536000000,0.549600000,30,9,5,2030,run_20260618_142728,1,3,Weather/seed_2030/run_20260618_142728/visualizations/archive_latex.tex
9,0.992792793,0.536000000,\frac{\left(\frac{\left(\left(\mathrm{JacobFro}\right) \cdot \left(\mathrm{plain}\right)\right)^2}{\mathrm{Fisher}}\right)^2}{\mathrm{Jacov}},Jacob_fro plain Mul Square Fisher Div Square Jacov Div <EOS>,(square((square((Jacob_fro * plain)) / Fisher)) / Jacov),0.536000000,0.549600000,77,9,6,2031,run_20260618_142728,1,20,Weather/seed_2031/run_20260618_142728/visualizations/archive_latex.tex
10,0.991891892,0.536000000,\frac{\left(\mathrm{Fisher}\right) \cdot \left(\sqrt{\mathrm{Jacov}}\right)}{\left(\left(\mathrm{plain}\right) \cdot \left(\mathrm{JacobFro}\right)\right)^2},Fisher Jacov Sqrt Mul plain Jacob_fro Mul Square Div <EOS>,((Fisher * sqrt(Jacov)) / square((plain * Jacob_fro))),0.536000000,0.549600000,130,9,4,2036,run_20260618_142728,1,7,Weather/seed_2036/run_20260618_142728/visualizations/archive_latex.tex
